county,number of campgrounds/rv parks,Categorical Amount of Forest
Alameda,74,1
Amador,52,4
Butte,58,2
Calaveras,46,3
Colusa,52,2
Contra Costa,80,1
Del Norte,40,4
El Dorado,55,4
Fresno,28,2
Glenn,40,2
Humboldt,27,4
Inyo,2,2
Kings,17,1
Lake,40,2
Lassen,26,2
Madera,38,3
Mariposa,37,3
Mendocino,41,4
Merced,24,1
Modoc,10,3
Monterey,28,2
Napa,90,2
Nevada,59,4
Placer,64,3
Plumas,45,4
Riverside,52,1
Sacramento,82,1
San Benito,36,1
San Bernardino,6,1
San Diego,86,1
San Joaquin,58,1
San Luis Obispo,28,1
San Mateo,61,1
Santa Clara,60,1
Santa Cruz,57,2
Shasta,48,4
Sierra,55,4
Siskiyou,22,4
Solano,96,1
Sonoma,58,2
Stanislaus,56,1
Tehama,45,3
Trinity,39,4
Tulare,25,2
Tuolumne,33,4
Yolo,86,1
