county,gdp_k
Alameda,99928765.5
Alpine,87603.75
Amador,1160297.75
Butte,6678497
Calaveras,768045.25
Colusa,1214575.75
Contra Costa,66978000.5
Del Norte,592422.5
El Dorado,5795148.5
Fresno,36534802.5
Glenn,909131
Humboldt,3934144.75
Imperial,6141306.25
Inyo,875895.5
Kern,41301393.5
Kings,5367041
Lake,1384407
Lassen,1011905.5
Los Angeles,621520323.3
Madera,4838777
Marin,18791533
Mariposa,434307.25
Mendocino,2536154.75
Merced,7353280.25
Modoc,222925.75
Mono,667572
Monterey,20303259.25
Napa,7816084.75
Nevada,3550967
Orange,226436128
Placer,17364772.5
Plumas,684400
Riverside,64831845
Sacramento,71781179.75
San Benito,1672773.25
San Bernardino,66233580.25
San Diego,196443845.3
San Francisco,131021376
San Joaquin,23076161.75
San Luis Obispo,13407970
San Mateo,87487317
Santa Barbara,22751104.5
Santa Clara,222853226
Santa Cruz,11263772.75
Shasta,5922948.5
Sierra,49612.5
Siskiyou,1160478.25
Solano,20207805
Sonoma,22096377.5
Stanislaus,17884690.5
Sutter,2958510
Tehama,1409837.25
Trinity,260289.75
Tulare,13785199
Tuolumne,1754509
Ventura,48611636.25
Yolo,10953965.5
Yuba,2306284.5
