county,per_cap_income,med_house_income,med_fam_income
Alameda,36439.00,73775.00,90822.00
Alpine,24375.00,61343.00,71932.00
Amador,27373.00,52964.00,68765.00
Butte,24430.00,43165.00,56934.00
Calaveras,29296.00,54936.00,67100.00
Colusa,22211.00,50503.00,56472.00
Contra Costa,38770.00,79799.00,95087.00
Del Norte,19424.00,39302.00,52452.00
El Dorado,35128.00,68507.00,84690.00
Fresno,20231.00,45201.00,50046.00
Glenn,21698.00,40106.00,51940.00
Humboldt,23516.00,42153.00,53532.00
Imperial,16409.00,41772.00,46555.00
Inyo,27028.00,45625.00,69041.00
Kern,20467.00,48574.00,52541.00
Kings,18518.00,47341.00,50202.00
Lake,21310.00,35997.00,47773.00
Lassen,19847.00,53351.00,66717.00
Los Angeles,27987.00,55870.00,62289.00
Madera,17797.00,45490.00,49964.00
Marin,58004.00,91529.00,120030.00
Mariposa,28327.00,50560.00,63520.00
Mendocino,23712.00,43290.00,53996.00
Merced,18464.00,43066.00,47729.00
Modoc,21830.00,38560.00,46536.00
Mono,29578.00,61814.00,73494.00
Monterey,25048.00,58582.00,62370.00
Napa,35092.00,70925.00,81275.00
Nevada,32117.00,56949.00,69649.00
Orange,34416.00,75998.00,85472.00
Placer,35711.00,73747.00,88615.00
Plumas,29167.00,48032.00,60709.00
Riverside,23660.00,56592.00,63523.00
Sacramento,27071.00,55615.00,64496.00
San Benito,26317.00,67874.00,71124.00
San Bernardino,21384.00,54100.00,59626.00
San Diego,31043.00,63996.00,74569.00
San Francisco,49986.00,78378.00,93391.00
San Joaquin,22642.00,53253.00,59614.00
San Luis Obispo,30392.00,59454.00,75828.00
San Mateo,47198.00,91421.00,108088.00
Santa Barbara,30526.00,63409.00,73636.00
Santa Clara,42666.00,93854.00,106401.00
Santa Cruz,33050.00,66923.00,81495.00
Shasta,23763.00,44556.00,55028.00
Sierra,28030.00,43107.00,57708.00
Siskiyou,22482.00,37495.00,46079.00
Solano,29132.00,67341.00,77634.00
Sonoma,33361.00,63799.00,76614.00
Stanislaus,21729.00,49573.00,55357.00
Sutter,23828.00,51527.00,58434.00
Tehama,21002.00,42369.00,49731.00
Trinity,23145.00,36862.00,49221.00
Tulare,17888.00,42863.00,45296.00
Tuolumne,26063.00,48493.00,58355.00
Ventura,33308.00,77335.00,86890.00
Yolo,28080.00,55508.00,75225.00
Yuba,19586.00,45470.00,49560.00
