county,forest_acr,_percent_forest_acr
Alameda,103910.40,0.22
Amador,137270.18,0.35
Butte,237591.23,0.23
Calaveras,140871.93,0.22
Colusa,114082.46,0.15
Contra Costa,69120.00,0.15
Del Norte,811740.35,1.03
El Dorado,879610.53,0.80
Fresno,1731308.77,0.45
Glenn,358080.70,0.43
Humboldt,591642.11,0.26
Inyo,1369682.46,0.21
Kings,17792.00,0.02
Lake,450198.25,0.56
Lassen,1088519.30,0.37
Madera,734859.65,0.54
Mariposa,315533.33,0.34
Mendocino,314533.33,0.14
Merced,18518.40,0.02
Modoc,2427619.30,0.96
Monterey,546750.88,0.26
Napa,135599.36,0.28
Nevada,319414.04,0.52
Placer,603226.32,0.67
Plumas,2033564.91,1.24
Riverside,516771.93,0.11
Sacramento,3091.20,0.01
San Benito,96007.68,0.11
San Bernardino,828884.21,0.06
San Diego,530973.68,0.20
San Luis Obispo,336061.40,0.16
San Mateo,91380.48,0.32
Santa Clara,322233.60,0.39
Santa Cruz,274266.88,0.71
Shasta,1311185.96,0.54
Sierra,785426.32,1.29
Siskiyou,4193156.14,1.04
Solano,18547.20,0.04
Sonoma,426654.72,0.42
Tehama,694882.46,0.37
Tulare,1563449.12,0.51
Tuolumne,1074554.39,0.75
Yolo,20725.76,0.03
Yuba,76071.93,0.19
San Joaquin,9126.40,0.01
Stanislaus,55267.20,0.06
Trinity,1482352.64,0.72
