,county,pop,area
0,Alameda,1663190,738.00
1,Alpine,1120,739.00
2,Amador,38626,606.00
3,Butte,229294,1640.00
4,Calaveras,45670,1020.00
5,Colusa,21805,1151.00
6,Contra Costa,1147439,720.00
7,Del Notre,27470,1008.00
8,El Dorado,188987,1712.00
9,Fresno,989255,5963.00
10,Glenn,28094,1315.00
11,Humboldt,136754,3573.00
12,Imperial,182830,4175.00
13,Inyo,18026,10192.00
14,Kern,893119,8142.00
15,Kings,150101,1390.00
16,Lake,64246,1258.00
17,Lassen,31163,4558.00
18,Los Angeles,10163507,4060.00
19,Madera,156890,2138.00
20,Marin,260955,520.00
21,Mariposa,17569,1451.00
22,Mendocino,88018,3509.00
23,Merced,272673,1929.00
24,Modoc,8859,3944.00
25,Mono,14168,3044.00
26,Monterey,437907,3322.00
27,Napa,140973,754.00
28,Nevada,99814,958.00
29,Orange,3190400,948.00
30,Placer,386166,1407.00
31,Plumas,18742,2554.00
32,Riverside,2423266,7208.00
33,Sacramento,1530615,966.00
34,San Benito,60310,1389.00
35,San Bernardino,2157404,20062.00
36,San Diego,3337685,4204.00
37,San Francisco,884363,47.00
38,San Joaquin,745424,1399.00
39,San Luis Obispo,283405,3304.00
40,San Mateo,771410,449.00
41,Santa Barbara,448150,2738.00
42,Santa Clara,1938153,1291.00
43,Santa Cruz ,275897,446.00
44,Shasta,179921,3786.00
45,Sierra,2999,953.00
46,Siskiyou,43853,6287.00
47,Solano,445458,828.00
48,Sonoma,504217,1576.00
49,Stanislaus,547899,1495.00
50,Sutter,96648,603.00
51,Tehama,63926,2951.00
52,Trinity,12709,3179.00
53,Tulare,464493,4824.00
54,Tuolumne,54248,2236.00
55,Ventura,854223,1846.00
56,Yolo,219116,1012.00
57,Yuba,77031,630.00
