"STATION","NAME","DATE","AWND","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","2010",,,"29.34","0.0",,,
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","2011",,,"21.29",,,,
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","2012",,,"27.43",,,,
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","2013",,,"6.46",,,,
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","2014",,,"26.65",,,,
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","2015",,,"13.27",,,,
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","2016",,,"32.87",,,,
"USW00023230","OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US","2010","8.3",,"22.71",,"58.1","65.9",
"USW00023230","OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US","2011","7.8",,"16.09",,,"65.4",
"USW00023230","OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US","2012","8.3",,"22.94","0.0","57.0","65.6",
"USW00023230","OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US","2013","7.4",,"4.89","0.0","58.4","67.7",
"USW00023230","OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US","2014","7.8",,"19.63","0.0","60.5","68.9",
"USW00023230","OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US","2015","7.8",,"8.59",,"59.6","68.3",
"USW00023230","OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US","2016","8.7",,"19.79","0.0","60.2","68.1",
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2010","5.8",,"17.17",,"59.0","70.9",
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2011","5.8",,"11.69",,"58.8","71.4",
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2012","6.0",,"15.36",,"60.6","73.7",
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2013","5.8",,"4.63",,"61.0","74.7",
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2014","5.8",,"14.65",,"63.8","76.9",
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2015","5.8",,"9.15",,"63.3","76.3",
"USW00023285","LIVERMORE MUNICIPAL AIRPORT, CA US","2016","6.0",,"17.02",,"61.4","74.1",
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2014",,,"25.15",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2015",,,"13.74",,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","2016",,,"27.09",,,,
"US1CAAL0004","PLEASANTON 1.8 SSE, CA US","2013",,,"3.44",,,,
"USC00049001","TRACY PUMPING PLANT, CA US","2010",,,"13.33","0.0","62.4","73.3",
"USC00049001","TRACY PUMPING PLANT, CA US","2011",,"78.7","10.52",,"61.6","73.1",
"USC00049001","TRACY PUMPING PLANT, CA US","2012",,"93.2","13.24",,"63.7","76.0",
"USC00049001","TRACY PUMPING PLANT, CA US","2013",,"100.6","4.29",,"63.8","76.5",
"USC00049001","TRACY PUMPING PLANT, CA US","2014",,"101.2","12.67",,"66.3","78.5",
"USC00049001","TRACY PUMPING PLANT, CA US","2015",,"96.8","7.25",,"65.2","77.3",
"USC00049001","TRACY PUMPING PLANT, CA US","2016",,"99.0","15.02",,"64.7","76.6",
"US1CAAL0011","SAN LORENZO 0.5 NNW, CA US","2013",,,"4.43","0.0",,,
"US1CAAL0022","FREMONT 1.9 SE, CA US","2014",,,"19.90",,,,
"US1CAAL0022","FREMONT 1.9 SE, CA US","2015",,,"9.67",,,,
"US1CAAL0001","PIEDMONT 1.0 SE, CA US","2010",,,"28.49",,,,
"US1CAAL0001","PIEDMONT 1.0 SE, CA US","2011",,,"19.78",,,,
"US1CAAL0001","PIEDMONT 1.0 SE, CA US","2012",,,"32.94",,,,
"US1CAAL0001","PIEDMONT 1.0 SE, CA US","2013",,,"6.43",,,,
"US1CAAL0001","PIEDMONT 1.0 SE, CA US","2015",,,"12.12",,,,
"US1CAAL0001","PIEDMONT 1.0 SE, CA US","2016",,,"32.55",,,,
"US1CAAL0012","PLEASANTON 0.4 ESE, CA US","2011",,,"16.50",,,,
"US1CAAL0012","PLEASANTON 0.4 ESE, CA US","2012",,,"22.79",,,,
"US1CAAL0012","PLEASANTON 0.4 ESE, CA US","2013",,,"5.36","0.0",,,
"US1CAAL0012","PLEASANTON 0.4 ESE, CA US","2014",,,"19.16",,,,
"US1CAAL0030","OAKLAND 1.2 ENE, CA US","2016",,,"27.76",,,,
"USR0000COKS","OAKLAND SOUTH CALIFORNIA, CA US","2010",,,,,"55.5","63.2",
"USR0000COKS","OAKLAND SOUTH CALIFORNIA, CA US","2011",,,,,"55.3","62.9",
"USR0000COKS","OAKLAND SOUTH CALIFORNIA, CA US","2013",,,,,"57.2","65.8",
"USR0000COKS","OAKLAND SOUTH CALIFORNIA, CA US","2014",,,,,"59.2","67.2",
"USR0000COKS","OAKLAND SOUTH CALIFORNIA, CA US","2015",,,,,"58.6","66.5",
"USR0000COKS","OAKLAND SOUTH CALIFORNIA, CA US","2016",,,,,"57.7","65.3",
"USC00044997","LIVERMORE, CA US","2010",,,"16.69","0.0","59.7","71.8",
"USC00044997","LIVERMORE, CA US","2011",,,"11.37",,"59.3","72.1",
"USC00044997","LIVERMORE, CA US","2012",,,"14.67",,"60.8","74.4",
"USC00044997","LIVERMORE, CA US","2013",,,"4.50",,"60.6","74.6",
"USC00044997","LIVERMORE, CA US","2014",,,"14.73",,"63.4","76.8",
"USC00044997","LIVERMORE, CA US","2015",,,"8.61",,"61.9","75.1",
"USC00044997","LIVERMORE, CA US","2016",,,"17.63",,"61.4","74.2",
"USR0000CRSP","ROSE PEAK CALIFORNIA, CA US","2010",,,,,"54.9","61.4",
"USR0000CRSP","ROSE PEAK CALIFORNIA, CA US","2011",,,,,"55.1","61.9",
"USR0000CRSP","ROSE PEAK CALIFORNIA, CA US","2012",,,,,"56.8","63.7",
"USR0000CRSP","ROSE PEAK CALIFORNIA, CA US","2013",,,,,"57.7","65.0",
"USR0000CRSP","ROSE PEAK CALIFORNIA, CA US","2014",,,,,"59.5","66.3",
"USR0000CRSP","ROSE PEAK CALIFORNIA, CA US","2015",,,,,"58.6","65.6",
"USR0000CRSP","ROSE PEAK CALIFORNIA, CA US","2016",,,,,"58.2","65.0",
"USR0000CCLV","CALAVERAS ROAD CALIFORNIA, CA US","2012",,,,,"58.7","67.7",
"USR0000CCLV","CALAVERAS ROAD CALIFORNIA, CA US","2014",,,,,"61.3","70.0",
"USR0000CCLV","CALAVERAS ROAD CALIFORNIA, CA US","2015",,,,,"60.5","69.0",
"USR0000CCLV","CALAVERAS ROAD CALIFORNIA, CA US","2016",,,,,"60.1","68.9",
"USC00046144","NEWARK, CA US","2010",,,"17.17","0.0","59.1","67.5",
"USC00046144","NEWARK, CA US","2011",,"63.2",,,"58.6","67.4","27923.2"
"USC00046144","NEWARK, CA US","2012",,,,,"58.8","68.0",
"USC00046144","NEWARK, CA US","2013",,"66.4","3.36",,"59.5","68.5","24563.4"
"USC00046144","NEWARK, CA US","2014",,"69.5","16.56",,"62.1","70.8","25162.4"
"USC00046144","NEWARK, CA US","2015",,"69.4","7.78",,"61.6","70.2","34578.1"
"USC00046144","NEWARK, CA US","2016",,"67.9","15.34",,"60.2","69.5","34927.9"
"US1CAAL0017","OAKLAND 5.0 NNE, CA US","2014",,,"33.87",,,,
"US1CAAL0007","FREMONT 2.6 ESE, CA US","2016",,,"17.58",,,,
"US1CAAL0018","BERKELEY 4.0 E, CA US","2015",,,"11.56",,,,
"US1CAAL0018","BERKELEY 4.0 E, CA US","2016",,,"31.75",,,,
"USC00046336","OAKLAND MUSEUM, CA US","2010",,,"30.49","0.0","58.7","66.3",
"USC00046336","OAKLAND MUSEUM, CA US","2011",,,,,"58.5","66.5",
"USC00046336","OAKLAND MUSEUM, CA US","2012",,,"27.06",,"59.0","67.4",
"USC00046336","OAKLAND MUSEUM, CA US","2013",,,"4.11",,"59.9","69.1",
"USC00046336","OAKLAND MUSEUM, CA US","2014",,,"22.41",,"62.2","70.7",
