"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX"
"USC00043038","FIDDLETOWN DEXTER RANCH, CA US","38.5236","-120.7061","658.4","2010","53.32","0.0",,
"USC00043038","FIDDLETOWN DEXTER RANCH, CA US","38.5236","-120.7061","658.4","2013","10.78",,,
"USC00043038","FIDDLETOWN DEXTER RANCH, CA US","38.5236","-120.7061","658.4","2014","34.25",,,
"USC00043038","FIDDLETOWN DEXTER RANCH, CA US","38.5236","-120.7061","658.4","2015","27.77","0.0",,
"USC00043038","FIDDLETOWN DEXTER RANCH, CA US","38.5236","-120.7061","658.4","2016","43.97","0.0",,
"USC00048713","SUTTER HILL CDF, CA US","38.3772","-120.8008","483.4","2010","45.19","0.0","59.4","70.2"
"US1CAAM0003","VOLCANO 6.4 NE, CA US","38.4986","-120.5364","1115.3","2013","16.02",,,
"US1CAAM0003","VOLCANO 6.4 NE, CA US","38.4986","-120.5364","1115.3","2014","46.02",,,
"US1CAAM0003","VOLCANO 6.4 NE, CA US","38.4986","-120.5364","1115.3","2015","36.47",,,
"US1CAAM0003","VOLCANO 6.4 NE, CA US","38.4986","-120.5364","1115.3","2016","60.20",,,
"USR0000CBVR","BEAVER CAMP LOC CALIFORNIA, CA US","38.4883","-120.325","1524.0","2010",,,"55.2","66.8"
"USR0000CBVR","BEAVER CAMP LOC CALIFORNIA, CA US","38.4883","-120.325","1524.0","2011",,,"55.5","67.6"
"USR0000CBVR","BEAVER CAMP LOC CALIFORNIA, CA US","38.4883","-120.325","1524.0","2012",,,,
"USR0000CBVR","BEAVER CAMP LOC CALIFORNIA, CA US","38.4883","-120.325","1524.0","2013",,,"58.7","71.0"
"USR0000CBVR","BEAVER CAMP LOC CALIFORNIA, CA US","38.4883","-120.325","1524.0","2014",,,"59.6","71.1"
"USR0000CBVR","BEAVER CAMP LOC CALIFORNIA, CA US","38.4883","-120.325","1524.0","2015",,,"59.2","70.6"
"USR0000CBVR","BEAVER CAMP LOC CALIFORNIA, CA US","38.4883","-120.325","1524.0","2016",,,"58.0","69.2"
"USR0000CMTZ","MOUNT ZION CALIFORNIA, CA US","38.3894","-120.6511","902.2","2010",,,"58.5","66.6"
"USR0000CMTZ","MOUNT ZION CALIFORNIA, CA US","38.3894","-120.6511","902.2","2011",,,"58.7","67.0"
"USR0000CMTZ","MOUNT ZION CALIFORNIA, CA US","38.3894","-120.6511","902.2","2012",,,"60.8","69.3"
"USR0000CMTZ","MOUNT ZION CALIFORNIA, CA US","38.3894","-120.6511","902.2","2013",,,"61.7","70.7"
"USR0000CMTZ","MOUNT ZION CALIFORNIA, CA US","38.3894","-120.6511","902.2","2014",,,"63.5","72.2"
"USR0000CMTZ","MOUNT ZION CALIFORNIA, CA US","38.3894","-120.6511","902.2","2015",,,"62.7","71.5"
"USR0000CMTZ","MOUNT ZION CALIFORNIA, CA US","38.3894","-120.6511","902.2","2016",,,"61.5","70.0"
"US1CAAM0009","VOLCANO 3.2 N, CA US","38.4882","-120.6313","739.4","2014","38.25",,,
"US1CAAM0009","VOLCANO 3.2 N, CA US","38.4882","-120.6313","739.4","2015","32.44",,,
"US1CAAM0009","VOLCANO 3.2 N, CA US","38.4882","-120.6313","739.4","2016","52.06",,,
