"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","WDMV"
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2010",,,,"61.0","68.8",
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2011",,,,"61.2","69.1",
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2013",,,,"64.2","73.1",
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2014",,,,"65.6","73.5",
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2015",,,,"65.2","73.7",
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","2016",,,,"63.7","71.7",
"US1CABT0002","OROVILLE 2.7 ENE, CA US","39.514","-121.518","163.1","2011",,"27.43",,,,
"US1CABT0002","OROVILLE 2.7 ENE, CA US","39.514","-121.518","163.1","2012",,"36.98",,,,
"US1CABT0002","OROVILLE 2.7 ENE, CA US","39.514","-121.518","163.1","2013",,"11.58",,,,
"US1CABT0002","OROVILLE 2.7 ENE, CA US","39.514","-121.518","163.1","2014",,"36.88",,,,
"US1CABT0002","OROVILLE 2.7 ENE, CA US","39.514","-121.518","163.1","2015",,"16.80",,,,
"US1CABT0002","OROVILLE 2.7 ENE, CA US","39.514","-121.518","163.1","2016",,"39.44",,,,
"USR0000CJAR","JARBO GAP CALIFORNIA, CA US","39.7358","-121.4889","759.0","2010",,,,"57.9","66.9",
"USR0000CJAR","JARBO GAP CALIFORNIA, CA US","39.7358","-121.4889","759.0","2011",,,,"57.8","66.9",
"USR0000CJAR","JARBO GAP CALIFORNIA, CA US","39.7358","-121.4889","759.0","2012",,,,"59.8","69.2",
"USR0000CJAR","JARBO GAP CALIFORNIA, CA US","39.7358","-121.4889","759.0","2013",,,,"60.9","70.8",
"USR0000CJAR","JARBO GAP CALIFORNIA, CA US","39.7358","-121.4889","759.0","2014",,,,"62.1","71.5",
"USR0000CJAR","JARBO GAP CALIFORNIA, CA US","39.7358","-121.4889","759.0","2015",,,,"62.2","72.0",
"USR0000CJAR","JARBO GAP CALIFORNIA, CA US","39.7358","-121.4889","759.0","2016",,,,"60.3","69.6",
"US1CABT0032","BANGOR 0.4 N, CA US","39.3946","-121.4047","249.9","2016",,"36.96",,,,
"US1CABT0005","OROVILLE 4.8 E, CA US","39.4932","-121.477","203.6","2012",,"40.64",,,,
"US1CABT0005","OROVILLE 4.8 E, CA US","39.4932","-121.477","203.6","2013",,"11.15",,,,
"US1CABT0005","OROVILLE 4.8 E, CA US","39.4932","-121.477","203.6","2014",,"38.95",,,,
"US1CABT0005","OROVILLE 4.8 E, CA US","39.4932","-121.477","203.6","2016",,"41.74",,,,
"US1CABT0016","MAGALIA 2.3 SE, CA US","39.8036","-121.5819","709.3","2013",,"18.59",,,,
"USR0000CCHC","CHICO CALIFORNIA, CA US","39.7119","-121.7789","70.1","2010",,,,"61.1","72.9",
"USR0000CCHC","CHICO CALIFORNIA, CA US","39.7119","-121.7789","70.1","2011",,,,"60.4","73.0",
"USR0000CCHC","CHICO CALIFORNIA, CA US","39.7119","-121.7789","70.1","2012",,,,"62.2","75.4",
"USR0000CCHC","CHICO CALIFORNIA, CA US","39.7119","-121.7789","70.1","2013",,,,"62.1","76.9",
"USW00093210","OROVILLE MUNICIPAL AIRPORT, CA US","39.49","-121.61833","57.9","2010","6.0","31.83",,"61.9","72.7",
"USW00093210","OROVILLE MUNICIPAL AIRPORT, CA US","39.49","-121.61833","57.9","2011","5.6","21.87",,"60.8","72.1",
"USW00093210","OROVILLE MUNICIPAL AIRPORT, CA US","39.49","-121.61833","57.9","2012",,,,,,
"USW00093210","OROVILLE MUNICIPAL AIRPORT, CA US","39.49","-121.61833","57.9","2013","5.6","7.65",,"62.6","75.9",
"USW00093210","OROVILLE MUNICIPAL AIRPORT, CA US","39.49","-121.61833","57.9","2014","5.8","26.14",,"65.7","77.8",
"USW00093210","OROVILLE MUNICIPAL AIRPORT, CA US","39.49","-121.61833","57.9","2015","5.8","10.48",,"64.9","77.3",
"USW00093210","OROVILLE MUNICIPAL AIRPORT, CA US","39.49","-121.61833","57.9","2016","6.0","27.29",,"64.1","75.8",
"US1CABT0026","GRIDLEY 3.3 SE, CA US","39.3348","-121.6458","28.0","2015",,"9.96",,,,
"US1CABT0026","GRIDLEY 3.3 SE, CA US","39.3348","-121.6458","28.0","2016",,"26.14",,,,
"US1CABT0009","CHICO 2.9 W, CA US","39.7494","-121.8614","57.9","2013",,"7.00",,,,
