"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"USC00041277","CALAVERAS BIG TREES, CA US","38.2769","-120.3113","1431.0","2015",,"37.41",,"53.1","63.3",
"USC00041277","CALAVERAS BIG TREES, CA US","38.2769","-120.3113","1431.0","2016",,"57.17","33.1","51.0","61.1",
"USC00049582","WEST POINT, CA US","38.3775","-120.5452","845.8","2010",,"63.52","0.0",,,
"USC00049582","WEST POINT, CA US","38.3775","-120.5452","845.8","2013",,"12.83",,,,
"USC00049582","WEST POINT, CA US","38.3775","-120.5452","845.8","2014",,"34.54",,,,
"USC00049582","WEST POINT, CA US","38.3775","-120.5452","845.8","2015",,"32.52",,,,
"USC00049582","WEST POINT, CA US","38.3775","-120.5452","845.8","2016",,"51.91","0.0",,,
"US1CACV0002","WALLACE 0.3 NE, CA US","38.1967","-120.9728","90.8","2012",,"23.76",,,,
"USC00041428","CAMP PARDEE, CA US","38.2486","-120.8433","200.6","2010",,"30.55","0.0","61.1","72.0",
"USC00041428","CAMP PARDEE, CA US","38.2486","-120.8433","200.6","2011",,"20.60",,"60.5","71.6",
"USC00041428","CAMP PARDEE, CA US","38.2486","-120.8433","200.6","2012",,,,,,
"USC00041428","CAMP PARDEE, CA US","38.2486","-120.8433","200.6","2014",,"21.34",,,,
"USC00041428","CAMP PARDEE, CA US","38.2486","-120.8433","200.6","2015",,"15.40","0.0",,,
"USC00041428","CAMP PARDEE, CA US","38.2486","-120.8433","200.6","2016",,"33.59","0.0",,,
"USR0000CESP","ESPERANZA CALIFORNIA, CA US","38.2428","-120.515","780.0","2010",,,,"56.6","68.4",
"USR0000CESP","ESPERANZA CALIFORNIA, CA US","38.2428","-120.515","780.0","2011",,,,"56.6","69.1",
"USR0000CESP","ESPERANZA CALIFORNIA, CA US","38.2428","-120.515","780.0","2012",,,,"58.5","71.3",
"USR0000CESP","ESPERANZA CALIFORNIA, CA US","38.2428","-120.515","780.0","2013",,,,"59.1","72.8",
