,date,awnd,prcp,snow,tavg,tmax
madera_2010,2010.0,5.8,16.905,0.0,59.975,72.0
madera_2011,2011.0,5.4,23.23,,59.65,72.05
madera_2012,2012.0,,29.680000000000003,45.7,62.56666666666666,74.7
madera_2013,2013.0,,7.633333333333334,15.45,62.725,76.35
madera_2014,2014.0,,11.054,0.0,64.64,77.74
madera_2015,2015.0,5.8,14.6025,1.05,63.58,76.03999999999999
madera_2016,2016.0,5.8,27.696666666666662,0.0,62.825,75.52
inyo_2010,2010.0,7.6,8.012,1.7666666666666666,62.91111111111112,76.15555555555557
inyo_2011,2011.0,,2.17,0.6,63.271428571428565,76.60000000000001
inyo_2012,2012.0,8.1,2.376,3.85,65.36666666666666,79.35555555555555
inyo_2013,2013.0,8.3,2.3428571428571425,0.16666666666666666,63.64000000000001,77.33
inyo_2014,2014.0,8.1,3.2028571428571424,0.05,64.78999999999999,78.22999999999999
inyo_2015,2015.0,8.1,3.1050000000000004,0.0,64.48888888888888,77.8111111111111
inyo_2016,2016.0,8.1,3.762857142857143,1.0,65.1,78.8
glenn_2010,2010.0,,28.675,0.0,60.63333333333333,72.93333333333334
glenn_2012,2012.0,,20.31,0.0,60.8,74.0
glenn_2014,2014.0,,23.439999999999998,,63.339999999999996,76.36000000000001
glenn_2015,2015.0,,9.775,,62.5,75.32499999999999
glenn_2016,2016.0,,21.88333333333333,0.0,61.54,73.82000000000001
glenn_2011,2011.0,,17.14,,60.4,73.46666666666667
glenn_2013,2013.0,,5.256666666666667,,62.36666666666667,77.36666666666667
plumas_2010,2010.0,,45.27,88.2,48.775000000000006,62.375
plumas_2011,2011.0,,23.05,128.6,48.60000000000001,62.67142857142857
plumas_2012,2012.0,,41.69,,51.525,66.14000000000001
plumas_2015,2015.0,,22.033333333333335,30.73333333333333,52.51666666666666,68.31666666666666
plumas_2016,2016.0,,46.419999999999995,49.9,51.20000000000001,65.86666666666666
plumas_2013,2013.0,,9.863999999999999,22.0,49.18,66.24
plumas_2014,2014.0,,31.44333333333334,12.2,52.98,68.96000000000001
kings_2010,2010.0,6.25,13.469999999999999,0.0,63.15,75.25
