"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","2011",,,"58.8","73.3"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","2012",,,"60.5","75.2"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","2013",,,"61.1","77.0"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","2014",,,"63.3","78.2"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","2015",,,"62.8","78.1"
"USR0000CSTO","STONYFORD CALIFORNIA, CA US","2016",,,"61.3","75.3"
"USC00041948","COLUSA 2 SSW, CA US","2010",,,,
"USC00041948","COLUSA 2 SSW, CA US","2011",,,"60.1","72.8"
"USC00041948","COLUSA 2 SSW, CA US","2012",,,,
"USC00041948","COLUSA 2 SSW, CA US","2015","6.73",,"63.6","77.5"
"USC00041948","COLUSA 2 SSW, CA US","2016","16.81",,"63.3","76.6"
