"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2010",,,,"57.6","64.5"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2011",,,,"57.7","64.7"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2012",,,,"59.5","67.3"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2013",,,,,
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2014",,,,"61.6","69.2"
"USR0000CBKD","BLACK DIAMOND CALIFORNIA, CA US","2015",,,,"61.1","68.6"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2010","6.7","20.82",,"60.2","71.3"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2011","6.7","14.12",,"59.5","71.2"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2012","6.7","19.27",,"60.2","72.7"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2013","6.5","4.51",,"60.0","73.0"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2014","6.9","17.66",,"63.2","75.4"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2015","7.4","7.96",,"63.4","75.6"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","2016","7.2","17.63",,"62.9","74.6"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","2010",,,,"56.9","66.0"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","2011",,,,"57.1","66.2"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","2012",,,,"58.5","68.3"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","2013",,,,"59.0","69.0"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","2014",,,,"61.1","70.7"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","2015",,,,"60.2","69.5"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","2016",,,,"59.6","68.9"
"USR0000CMTD","MOUNT DIABLO CALIFORNIA, CA US","2010",,,,,
"USR0000CMTD","MOUNT DIABLO CALIFORNIA, CA US","2012",,,,"54.8","60.2"
"USR0000CMTD","MOUNT DIABLO CALIFORNIA, CA US","2013",,,,,
"US1CACC0011","MARTINEZ 2.2 SW, CA US","2010",,"28.87",,,
"US1CACC0011","MARTINEZ 2.2 SW, CA US","2012",,"29.09",,,
"US1CACC0011","MARTINEZ 2.2 SW, CA US","2013",,"5.91",,,
"US1CACC0011","MARTINEZ 2.2 SW, CA US","2015",,"10.48",,,
"US1CACC0011","MARTINEZ 2.2 SW, CA US","2016",,"25.91",,,
"USC00041967","CONCORD WASTEWATER PLANT, CA US","2010",,"23.34","0.0",,
"USC00041967","CONCORD WASTEWATER PLANT, CA US","2011",,"15.43",,"60.7","72.2"
"USC00041967","CONCORD WASTEWATER PLANT, CA US","2012",,,,,
"USC00041967","CONCORD WASTEWATER PLANT, CA US","2013",,"5.05",,"62.1","74.3"
"USC00041967","CONCORD WASTEWATER PLANT, CA US","2014",,"19.39",,"64.4","76.0"
"USC00041967","CONCORD WASTEWATER PLANT, CA US","2015",,"8.79",,"63.8","75.9"
"USC00041967","CONCORD WASTEWATER PLANT, CA US","2016",,"21.24",,"63.3","75.1"
"US1CACC0010","LAFAYETTE 1.9 WSW, CA US","2010",,"31.86",,,
"US1CACC0010","LAFAYETTE 1.9 WSW, CA US","2011",,"25.40",,,
"US1CACC0010","LAFAYETTE 1.9 WSW, CA US","2012",,"34.37",,,
"US1CACC0010","LAFAYETTE 1.9 WSW, CA US","2013",,"5.46",,,
"US1CACC0010","LAFAYETTE 1.9 WSW, CA US","2014",,"29.28",,,
"US1CACC0010","LAFAYETTE 1.9 WSW, CA US","2015",,"14.22",,,
"US1CACC0010","LAFAYETTE 1.9 WSW, CA US","2016",,"34.80",,,
"USR0000CMLR","MALLORY RIDGE CALIFORNIA, CA US","2010",,,,"58.0","65.6"
"USR0000CMLR","MALLORY RIDGE CALIFORNIA, CA US","2011",,,,"57.8","65.5"
"USR0000CMLR","MALLORY RIDGE CALIFORNIA, CA US","2012",,,,"59.9","68.0"
"USR0000CMLR","MALLORY RIDGE CALIFORNIA, CA US","2013",,,,"60.6","69.0"
"USR0000CMLR","MALLORY RIDGE CALIFORNIA, CA US","2014",,,,"62.4","70.3"
"USR0000CMLR","MALLORY RIDGE CALIFORNIA, CA US","2015",,,,,
"USR0000CMLR","MALLORY RIDGE CALIFORNIA, CA US","2016",,,,"60.8","68.6"
"US1CACC0031","WALNUT CREEK 2.3 WSW, CA US","2016",,"29.49",,,
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2011",,,,"54.9","62.0"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2013",,,,"56.9","64.8"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2014",,,,"58.5","65.9"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2015",,,,"58.2","65.7"
"USR0000COKN","OAKLAND NORTH CALIFORNIA, CA US","2016",,,,"57.1","64.5"
"US1CACC0008","CROCKETT 0.7 WNW, CA US","2010",,"20.74","0.0",,
"US1CACC0018","WALNUT CREEK 1.4 SSE, CA US","2010",,"25.82",,,
"US1CACC0018","WALNUT CREEK 1.4 SSE, CA US","2011",,"18.63","0.0",,
"US1CACC0018","WALNUT CREEK 1.4 SSE, CA US","2012",,"26.25",,,
"US1CACC0018","WALNUT CREEK 1.4 SSE, CA US","2013",,"4.72",,,
"US1CACC0018","WALNUT CREEK 1.4 SSE, CA US","2014",,"19.28",,,
"US1CACC0018","WALNUT CREEK 1.4 SSE, CA US","2015",,"10.12",,,
"US1CACC0018","WALNUT CREEK 1.4 SSE, CA US","2016",,"24.48",,,
"US1CACC0028","EL CERRITO 1.3 NW, CA US","2014",,"28.18",,,
"US1CACC0028","EL CERRITO 1.3 NW, CA US","2015",,"10.45",,,
"US1CACC0028","EL CERRITO 1.3 NW, CA US","2016",,"28.58",,,
"US1CACC0016","CONCORD 0.8 WNW, CA US","2014",,"17.67",,,
"US1CACC0016","CONCORD 0.8 WNW, CA US","2016",,"21.39",,,
"US1CACC0004","WALNUT CREEK 1.7 SSE, CA US","2012",,"27.82",,,
"US1CACC0004","WALNUT CREEK 1.7 SSE, CA US","2014",,"22.22",,,
"US1CACC0004","WALNUT CREEK 1.7 SSE, CA US","2016",,"25.15",,,
"USC00045915","MOUNT DIABLO JUNCTION, CA US","2010",,"34.55","0.0","56.6","65.1"
"USC00045915","MOUNT DIABLO JUNCTION, CA US","2011",,"23.81",,"56.8","65.0"
"USC00045915","MOUNT DIABLO JUNCTION, CA US","2012",,"33.71",,"58.3","67.3"
"USC00045915","MOUNT DIABLO JUNCTION, CA US","2013",,"6.49",,"59.3","68.5"
"USC00045915","MOUNT DIABLO JUNCTION, CA US","2014",,"26.98",,"60.9","69.4"
"USC00045915","MOUNT DIABLO JUNCTION, CA US","2015",,"15.56",,"60.2","69.0"
"USC00045915","MOUNT DIABLO JUNCTION, CA US","2016",,"35.87",,"59.4","68.2"
"US1CACC0001","MARTINEZ 0.8 SSE, CA US","2010",,"28.87",,,
"US1CACC0001","MARTINEZ 0.8 SSE, CA US","2011",,"22.20",,,
"US1CACC0001","MARTINEZ 0.8 SSE, CA US","2012",,"25.87",,,
"US1CACC0001","MARTINEZ 0.8 SSE, CA US","2013",,"5.63",,,
"US1CACC0001","MARTINEZ 0.8 SSE, CA US","2014",,"23.51",,,
"US1CACC0001","MARTINEZ 0.8 SSE, CA US","2015",,"10.26",,,
"US1CACC0001","MARTINEZ 0.8 SSE, CA US","2016",,"25.00",,,
"USR0000CTRA","LAS TRAMPAS CALIFORNIA, CA US","2010",,,,"56.5","64.8"
"USR0000CTRA","LAS TRAMPAS CALIFORNIA, CA US","2011",,,,"56.5","64.3"
"USR0000CTRA","LAS TRAMPAS CALIFORNIA, CA US","2012",,,,"58.3","67.2"
"USR0000CTRA","LAS TRAMPAS CALIFORNIA, CA US","2014",,,,"61.0","69.8"
"USR0000CTRA","LAS TRAMPAS CALIFORNIA, CA US","2015",,,,"60.0","68.6"
"USC00045378","MARTINEZ WATER PLANT, CA US","2010",,"23.83","0.0","58.3","71.2"
"USC00045378","MARTINEZ WATER PLANT, CA US","2011",,,,"57.0","70.9"
"USC00045378","MARTINEZ WATER PLANT, CA US","2012",,,,,
"USC00045378","MARTINEZ WATER PLANT, CA US","2013",,"5.77",,"58.9","74.1"
"USC00045378","MARTINEZ WATER PLANT, CA US","2014",,"21.83",,"59.3","74.7"
"USC00045378","MARTINEZ WATER PLANT, CA US","2015",,"7.87",,"60.6","74.7"
"USC00045378","MARTINEZ WATER PLANT, CA US","2016",,"19.80",,"59.1","73.4"
"USC00047414","RICHMOND, CA US","2010",,,"0.0",,
"USC00047414","RICHMOND, CA US","2016",,"30.51",,"59.8","67.8"
"USC00040232","ANTIOCH PUMPING PLANT NUMBER 3, CA US","2013",,"4.00",,"62.9","74.7"
"USC00040232","ANTIOCH PUMPING PLANT NUMBER 3, CA US","2014",,"16.32",,"64.7","76.0"
"USC00040232","ANTIOCH PUMPING PLANT NUMBER 3, CA US","2015",,"6.56",,"64.0","75.7"
"USC00040232","ANTIOCH PUMPING PLANT NUMBER 3, CA US","2016",,,,,
