"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00043357","GASQUET RANGER STATION, CA US","2011",,"82.73",,,
"USC00043357","GASQUET RANGER STATION, CA US","2012",,"124.15",,,
"USC00042147","CRESCENT CITY, CA US","2010",,"95.87","0.0","51.8","58.5"
"USC00042147","CRESCENT CITY, CA US","2011",,"64.44",,"51.8","59.1"
"USC00042147","CRESCENT CITY, CA US","2012",,"94.47",,"50.9","57.3"
"USR0000CCRZ","CRAZY PEAK CALIFORNIA, CA US","2010",,,,"50.4","61.3"
"USR0000CCRZ","CRAZY PEAK CALIFORNIA, CA US","2011",,,,"49.7","60.0"
"USR0000CCRZ","CRAZY PEAK CALIFORNIA, CA US","2012",,,,"50.4","60.5"
"USR0000CCRZ","CRAZY PEAK CALIFORNIA, CA US","2014",,,,"53.6","63.2"
"USR0000CCRZ","CRAZY PEAK CALIFORNIA, CA US","2015",,,,"53.9","63.4"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","2010",,,,"55.9","67.0"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","2011",,,,"54.9","66.5"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","2012",,,,"55.4","66.9"
"USR0000CGAS","GASQUET CALIFORNIA, CA US","2013",,,,"55.5","67.9"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","2010","8.7","75.44",,"51.8","57.1"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","2011","8.1","52.77",,"51.6","57.7"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","2012","8.5","76.62",,"51.2","56.8"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","2013","6.9","28.95",,"50.9","57.4"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","2014","8.3","49.05",,"53.9","59.8"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","2015","8.1","57.69",,"53.9","60.0"
"USW00024286","CRESCENT CITY MCNAMARA AIRPORT, CA US","2016","8.7","77.89",,"53.5","59.4"
"US1CADN0008","CRESCENT CITY 7.8 NNE, CA US","2015",,"70.50",,,
"US1CADN0007","FORT DICK 0.2 SSW, CA US","2013",,"43.48",,,
"US1CADN0006","SMITH RIVER 1.1 SSE, CA US","2013",,"46.69",,,
"US1CADN0006","SMITH RIVER 1.1 SSE, CA US","2014",,"82.74",,,
"USR0000CSHI","SHIP MOUNTAIN CALIFORNIA, CA US","2010",,,,,
"USR0000CSHI","SHIP MOUNTAIN CALIFORNIA, CA US","2013",,,,"49.2","55.7"
"USR0000CSHI","SHIP MOUNTAIN CALIFORNIA, CA US","2014",,,,,
"USR0000CSHI","SHIP MOUNTAIN CALIFORNIA, CA US","2015",,,,"51.0","57.0"
