"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","2010","5.4","26.70",,"44.5","58.4"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","2011","5.1","16.11",,"43.9","58.9"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","2012","5.4","21.50",,"45.4","60.6"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","2013","4.5","8.41",,"45.4","61.3"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","2014","5.1","20.39",,"48.3","63.4"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","2015","4.7","18.46",,,
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","2016","5.6","28.06",,"45.6","60.4"
"USS0019L24S","HEAVENLY VALLEY, CA US","2010",,"52.39",,"39.3","49.1"
"USS0019L24S","HEAVENLY VALLEY, CA US","2011",,"31.58",,"39.3","49.3"
"USS0019L24S","HEAVENLY VALLEY, CA US","2012",,"35.67",,"41.5","51.5"
"USS0019L24S","HEAVENLY VALLEY, CA US","2013",,"15.87",,"41.6","51.9"
"USS0019L24S","HEAVENLY VALLEY, CA US","2014",,"29.46",,"42.7","52.7"
"USS0019L24S","HEAVENLY VALLEY, CA US","2015",,"35.88",,"42.5","52.4"
"USS0019L24S","HEAVENLY VALLEY, CA US","2016",,"38.77",,"41.9","51.9"
"USR0000COWE","OWENS CAMP LOC CALIFORNIA, CA US","2010",,,,,
"USR0000COWE","OWENS CAMP LOC CALIFORNIA, CA US","2011",,,,"51.5","65.2"
"USR0000COWE","OWENS CAMP LOC CALIFORNIA, CA US","2012",,,,"52.6","67.1"
"USR0000COWE","OWENS CAMP LOC CALIFORNIA, CA US","2013",,,,"52.2","67.4"
"USR0000COWE","OWENS CAMP LOC CALIFORNIA, CA US","2014",,,,"53.2","67.7"
"USR0000COWE","OWENS CAMP LOC CALIFORNIA, CA US","2015",,,,"52.6","67.2"
"USR0000COWE","OWENS CAMP LOC CALIFORNIA, CA US","2016",,,,"51.7","66.0"
"US1CAED0018","POLLOCK PINES 1.9 WNW, CA US","2014",,"47.24",,,
"US1CAED0017","CAMINO 2.0 WSW, CA US","2014",,"46.10",,,
"US1CAED0017","CAMINO 2.0 WSW, CA US","2015",,"30.42","2.8",,
"US1CAED0017","CAMINO 2.0 WSW, CA US","2016",,"56.87",,,
"US1CAED0011","POLLOCK PINES 0.5 NW, CA US","2014",,"51.78",,,
"US1CAED0011","POLLOCK PINES 0.5 NW, CA US","2015",,"35.05",,,
"US1CAED0011","POLLOCK PINES 0.5 NW, CA US","2016",,"74.41",,,
"US1CAED0010","PLACERVILLE 0.9 NE, CA US","2011",,"37.57",,,
"US1CAED0010","PLACERVILLE 0.9 NE, CA US","2012",,"43.07","3.0",,
"US1CAED0010","PLACERVILLE 0.9 NE, CA US","2013",,"10.70","6.5",,
"US1CAED0010","PLACERVILLE 0.9 NE, CA US","2015",,"25.78","0.4",,
"USR0000CBAL","BALD MOUNTAIN LOC CALIFORNIA, CA US","2010",,,,,
"USR0000CBAL","BALD MOUNTAIN LOC CALIFORNIA, CA US","2013",,,,"58.1","67.7"
"USR0000CBAL","BALD MOUNTAIN LOC CALIFORNIA, CA US","2014",,,,"58.9","67.8"
"USR0000CBAL","BALD MOUNTAIN LOC CALIFORNIA, CA US","2015",,,,"58.9","68.1"
"USR0000CBAL","BALD MOUNTAIN LOC CALIFORNIA, CA US","2016",,,,"57.5","65.9"
"USS0019L03S","HAGAN S MEADOW, CA US","2010",,"46.28",,"40.5","53.8"
"USS0019L03S","HAGAN S MEADOW, CA US","2011",,"28.78",,"40.2","54.0"
"USS0019L03S","HAGAN S MEADOW, CA US","2012",,"33.97",,"42.5","56.4"
"USS0019L03S","HAGAN S MEADOW, CA US","2013",,"16.48",,"42.2","56.5"
"USS0019L03S","HAGAN S MEADOW, CA US","2014",,"28.87",,"43.7","57.2"
"USS0019L03S","HAGAN S MEADOW, CA US","2015",,"31.58",,"43.3","57.0"
"USS0019L03S","HAGAN S MEADOW, CA US","2016",,"37.59",,"43.0","56.6"
"USC00043384","GEORGETOWN RANGER STATION, CA US","2010",,,"12.8",,
"USC00046597","PACIFIC HOUSE, CA US","2010",,"76.13","89.9",,
"USC00046597","PACIFIC HOUSE, CA US","2011",,"51.62","110.5","51.1","63.9"
"USC00046597","PACIFIC HOUSE, CA US","2012",,"63.43","54.9","52.9","66.5"
"USC00046597","PACIFIC HOUSE, CA US","2013",,"20.89","27.0","52.6","66.6"
"USC00046597","PACIFIC HOUSE, CA US","2014",,"45.04","9.9","54.8","68.6"
"USC00046597","PACIFIC HOUSE, CA US","2015",,"39.61","15.0","54.4","67.6"
"USC00046597","PACIFIC HOUSE, CA US","2016",,"68.15","19.2","53.0","66.0"
"USS0020L10S","FALLEN LEAF, CA US","2010",,"47.17",,"43.5","55.5"
"USS0020L10S","FALLEN LEAF, CA US","2011",,"28.28",,"43.1","55.5"
"USS0020L10S","FALLEN LEAF, CA US","2012",,"41.35",,,
"USS0020L10S","FALLEN LEAF, CA US","2013",,"12.19",,"44.4","57.6"
"USS0020L10S","FALLEN LEAF, CA US","2014",,"30.57",,"46.4","59.2"
"USS0020L10S","FALLEN LEAF, CA US","2015",,"25.78",,"45.9","58.7"
"USS0020L10S","FALLEN LEAF, CA US","2016",,"43.76",,"45.8","58.4"
"USR0000CGZF","GRIZZLY FLAT CALIFORNIA, CA US","2010",,,,,
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","2010",,,,"58.6","70.8"
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","2011",,,,"58.0","70.8"
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","2012",,,,"60.0","73.1"
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","2013",,,,"60.4","74.5"
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","2014",,,,"62.1","75.2"
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","2015",,,,"61.3","74.8"
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","2016",,,,"60.8","73.7"
"US1CAED0007","FAIR PLAY 2.8 ESE, CA US","2010",,"53.96",,,
"US1CAED0007","FAIR PLAY 2.8 ESE, CA US","2011",,"37.38",,,
"USS0020L02S","RUBICON NUMBER 2, CA US","2010",,"55.87",,"43.1","50.6"
"USS0020L02S","RUBICON NUMBER 2, CA US","2011",,"35.17",,"43.2","50.9"
"USS0020L02S","RUBICON NUMBER 2, CA US","2012",,"45.94",,"45.6","53.4"
"USS0020L02S","RUBICON NUMBER 2, CA US","2013",,"15.08",,"45.5","53.5"
"USS0020L02S","RUBICON NUMBER 2, CA US","2014",,"30.95",,"46.8","54.5"
"USS0020L02S","RUBICON NUMBER 2, CA US","2015",,"29.59",,"46.6","54.2"
"USS0020L02S","RUBICON NUMBER 2, CA US","2016",,"48.57",,"46.0","53.7"
"US1CAED0003","PLACERVILLE 3.7 SW, CA US","2010",,"51.52",,,
"US1CAED0003","PLACERVILLE 3.7 SW, CA US","2011",,"38.06",,,
"US1CAED0003","PLACERVILLE 3.7 SW, CA US","2012",,"40.93",,,
"US1CAED0003","PLACERVILLE 3.7 SW, CA US","2013",,"9.84",,,
"US1CAED0003","PLACERVILLE 3.7 SW, CA US","2014",,"30.22",,,
"US1CAED0003","PLACERVILLE 3.7 SW, CA US","2015",,"23.13",,,
"US1CAED0003","PLACERVILLE 3.7 SW, CA US","2016",,"42.49",,,
"USS0020L06S","ECHO PEAK, CA US","2010",,"79.88",,"43.2","51.0"
"USS0020L06S","ECHO PEAK, CA US","2011",,"49.38",,"43.3","51.2"
"USS0020L06S","ECHO PEAK, CA US","2012",,"66.16",,"45.5","53.5"
"USS0020L06S","ECHO PEAK, CA US","2013",,"23.98",,"45.6","54.1"
"USS0020L06S","ECHO PEAK, CA US","2014",,"48.88",,"46.8","54.8"
"USS0020L06S","ECHO PEAK, CA US","2015",,"43.18",,"46.7","54.7"
"USS0020L06S","ECHO PEAK, CA US","2016",,"74.87",,"46.0","54.0"
"US1CAED0002","PLACERVILLE 2.9 WNW, CA US","2010",,"49.32",,,
"US1CAED0023","EL DORADO HILLS 0.9 NNW, CA US","2015",,"13.85",,,
"US1CAED0023","EL DORADO HILLS 0.9 NNW, CA US","2016",,"32.07",,,
"US1CAED0021","EL DORADO HILLS 0.7 NNE, CA US","2015",,"15.10",,,
"US1CAED0021","EL DORADO HILLS 0.7 NNE, CA US","2016",,"38.70",,,
"US1CAED0020","SOUTH LAKE TAHOE 4.9 SW, CA US","2016",,"41.76",,,
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","2010",,,,"59.8","72.5"
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","2011",,,,"59.1","72.1"
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","2012",,,,"61.3","74.9"
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","2013",,,,"61.5","75.9"
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","2014",,,,"63.8","77.5"
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","2015",,,,"62.6","76.5"
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","2016",,,,"62.1","75.4"
"USC00044484","KELSEY 1 N, CA US","2010",,"55.02","0.6",,
"USC00044484","KELSEY 1 N, CA US","2012",,"46.28",,,
"USC00044484","KELSEY 1 N, CA US","2013",,"12.97",,,
"USC00044484","KELSEY 1 N, CA US","2014",,"39.81","0.0",,
