"STATION","NAME","DATE","AWND","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2010","5.6",,"16.54","0.0","64.1","75.8",
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2011","5.4",,"10.93","0.0","63.6","75.7",
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2012","5.6",,"9.99","0.0","66.7","79.4",
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2013","5.4",,"3.02","0.0","66.8","80.1",
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2014","5.8",,"7.47","0.0","69.0","81.7",
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2015","5.6",,"9.00","0.0","66.5","78.8",
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2016","6.0",,"13.67","0.0","66.3","78.9",
"US1CAFR0002","CLOVIS 2.9 N, CA US","2013",,,"4.46",,,,
"US1CAFR0002","CLOVIS 2.9 N, CA US","2014",,,"10.23",,,,
"US1CAFR0002","CLOVIS 2.9 N, CA US","2015",,,"12.13",,,,
"US1CAFR0003","TOLLHOUSE 2.0 SSE, CA US","2010",,,"43.85",,,,
"US1CAFR0003","TOLLHOUSE 2.0 SSE, CA US","2011",,,"26.68",,,,
"US1CAFR0003","TOLLHOUSE 2.0 SSE, CA US","2012",,,"25.37",,,,
"US1CAFR0003","TOLLHOUSE 2.0 SSE, CA US","2013",,,"6.28",,,,
"US1CAFR0003","TOLLHOUSE 2.0 SSE, CA US","2014",,,"16.49",,,,
"USC00041864","COALINGA, CA US","2010",,,,"0.0",,,
"USC00041864","COALINGA, CA US","2011",,,"5.41",,,,
"USC00041864","COALINGA, CA US","2014",,,"5.20",,"69.0","83.6",
"USC00041864","COALINGA, CA US","2015",,,"6.35",,"67.6","82.0",
"USC00041864","COALINGA, CA US","2016",,,"8.30",,,,
"USR0000CFEN","FENCE MEADOW CALIFORNIA, CA US","2011",,,,,,,
"USR0000CFEN","FENCE MEADOW CALIFORNIA, CA US","2012",,,,,"58.3","67.7",
"USR0000CFEN","FENCE MEADOW CALIFORNIA, CA US","2013",,,,,"58.4","67.5",
"USR0000CFEN","FENCE MEADOW CALIFORNIA, CA US","2014",,,,,"59.5","67.8",
"USR0000CFEN","FENCE MEADOW CALIFORNIA, CA US","2015",,,,,"58.8","67.5",
"USR0000CPIH","PINEHURST CALIFORNIA, CA US","2010",,,,,"56.2","66.9",
"USR0000CPIH","PINEHURST CALIFORNIA, CA US","2011",,,,,"56.7","67.7",
"USR0000CPIH","PINEHURST CALIFORNIA, CA US","2012",,,,,,,
"USR0000CPIH","PINEHURST CALIFORNIA, CA US","2015",,,,,"59.7","70.3",
"USR0000CPIH","PINEHURST CALIFORNIA, CA US","2016",,,,,"58.6","68.5",
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","2010",,,"18.41","0.0","62.1","75.2",
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","2011",,,"14.98",,"60.9","75.2",
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","2012",,,,,,,
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","2013",,,"3.57",,"63.6","78.3",
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","2014",,"86.4","10.12",,"66.6","80.8","18915.2"
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","2015",,"69.1","10.36",,"65.0","78.8","14113.2"
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","2016",,"70.8","18.89",,"64.1","78.3",
"USC00040379","AUBERRY 2 NW, CA US","2010",,,"39.15","0.0","60.2","70.6",
"USC00040379","AUBERRY 2 NW, CA US","2011",,,"24.56",,"59.9","70.8",
"USC00040379","AUBERRY 2 NW, CA US","2012",,,"26.13",,"62.5","73.6",
"USC00040379","AUBERRY 2 NW, CA US","2013",,,"5.58",,"62.5","74.1",
"USC00040379","AUBERRY 2 NW, CA US","2014",,,"14.96",,"64.2","75.8",
"USC00040379","AUBERRY 2 NW, CA US","2015",,,"15.07",,"63.4","74.7",
"USC00040379","AUBERRY 2 NW, CA US","2016",,,"27.76",,"62.7","74.0",
"USC00046896","PINE FLAT DAM, CA US","2011",,,"18.18",,"62.8","76.7",
"USC00046896","PINE FLAT DAM, CA US","2012",,,,,,,
"USR0000CHIG","HIGH SIERRA CALIFORNIA, CA US","2010",,,,,"45.7","59.3",
"USR0000CHIG","HIGH SIERRA CALIFORNIA, CA US","2011",,,,,"45.6","59.5",
"USR0000CHIG","HIGH SIERRA CALIFORNIA, CA US","2012",,,,,"48.5","62.4",
"USR0000CHIG","HIGH SIERRA CALIFORNIA, CA US","2013",,,,,"48.1","62.0",
"USR0000CHIG","HIGH SIERRA CALIFORNIA, CA US","2014",,,,,"49.3","62.7",
"USR0000CHIG","HIGH SIERRA CALIFORNIA, CA US","2015",,,,,"48.7","62.0",
"USR0000CHIG","HIGH SIERRA CALIFORNIA, CA US","2016",,,,,"48.4","62.3",
"USR0000CHUR","HURLEY CALIFORNIA, CA US","2011",,,,,"57.9","73.0",
"USR0000CHUR","HURLEY CALIFORNIA, CA US","2012",,,,,"60.1","75.9",
"USR0000CHUR","HURLEY CALIFORNIA, CA US","2013",,,,,"60.3","76.7",
"USR0000CHUR","HURLEY CALIFORNIA, CA US","2014",,,,,"62.5","78.3",
"USR0000CHUR","HURLEY CALIFORNIA, CA US","2015",,,,,"61.0","76.4",
"USR0000CHUR","HURLEY CALIFORNIA, CA US","2016",,,,,"60.5","76.3",
"US1CAFR0013","CLOVIS 1.3 NE, CA US","2013",,,"3.38",,,,
"US1CAFR0013","CLOVIS 1.3 NE, CA US","2014",,,"9.38",,,,
"US1CAFR0013","CLOVIS 1.3 NE, CA US","2015",,,"9.89",,,,
"US1CAFR0013","CLOVIS 1.3 NE, CA US","2016",,,"17.21",,,,
"USC00043083","FIVE POINTS 5 SSW, CA US","2012",,,"4.57",,"65.2","80.5",
"USC00043083","FIVE POINTS 5 SSW, CA US","2013",,,"2.08",,"64.8","81.0",
"USC00043083","FIVE POINTS 5 SSW, CA US","2014",,,"5.97",,"67.2","82.7",
"USC00043083","FIVE POINTS 5 SSW, CA US","2015",,,"3.57",,,,
"US1CAFR0014","FRESNO 2.4 NW, CA US","2013",,,"2.62",,,,
"US1CAFR0014","FRESNO 2.4 NW, CA US","2014",,,"7.86",,,,
"US1CAFR0014","FRESNO 2.4 NW, CA US","2015",,,"7.44",,,,
"US1CAFR0014","FRESNO 2.4 NW, CA US","2016",,,"11.83",,,,
"USC00040449","BALCH POWER HOUSE, CA US","2010",,,,"0.0",,,
"USC00040449","BALCH POWER HOUSE, CA US","2013",,,"7.24",,"62.5","73.3",
"USC00040449","BALCH POWER HOUSE, CA US","2015",,,,,,,
"USR0000CFAN","FANCHER CREEK CALIFORNIA, CA US","2010",,,,,"64.8","75.2",
"USR0000CFAN","FANCHER CREEK CALIFORNIA, CA US","2011",,,,,"64.4","74.8",
"USR0000CFAN","FANCHER CREEK CALIFORNIA, CA US","2012",,,,,"67.1","77.9",
"USR0000CFAN","FANCHER CREEK CALIFORNIA, CA US","2013",,,,,"67.5","78.5",
"USR0000CFAN","FANCHER CREEK CALIFORNIA, CA US","2014",,,,,"69.7","80.3",
"USR0000CFAN","FANCHER CREEK CALIFORNIA, CA US","2015",,,,,"67.8","78.1",
"USR0000CFAN","FANCHER CREEK CALIFORNIA, CA US","2016",,,,,"67.9","78.7",
