"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","2010",,,,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","2012",,,"55.7","64.8"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","2014",,,"57.8","65.9"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","2015",,,"57.9","66.3"
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","2016",,,"55.6","63.5"
"USC00046506","ORLAND, CA US","2010","27.96","0.0","61.5","73.0"
"USC00046506","ORLAND, CA US","2011",,,"61.4","73.5"
"USC00046506","ORLAND, CA US","2012",,,"62.8","76.4"
"USC00046506","ORLAND, CA US","2013","6.03",,"63.4","77.7"
"USC00046506","ORLAND, CA US","2014","23.47",,"65.3","78.7"
"USC00046506","ORLAND, CA US","2015","8.97",,"65.1","78.8"
"USC00046506","ORLAND, CA US","2016","23.31","0.0","63.9","76.5"
"USC00048587","STONY GORGE RESERVOIR, CA US","2010","29.39","0.0","58.8","72.5"
"USC00048587","STONY GORGE RESERVOIR, CA US","2011","17.14",,"58.6","73.5"
"USC00048587","STONY GORGE RESERVOIR, CA US","2012","21.15",,"59.9","75.6"
"USC00048587","STONY GORGE RESERVOIR, CA US","2013","5.30",,"60.7","77.4"
"USC00048587","STONY GORGE RESERVOIR, CA US","2014","24.18",,"62.7","78.1"
"USC00048587","STONY GORGE RESERVOIR, CA US","2015","10.58",,"62.6","78.3"
"USC00048587","STONY GORGE RESERVOIR, CA US","2016","21.93","0.0","60.7","75.0"
"USC00049699","WILLOWS 6 W, CA US","2010",,"0.0",,
"USC00049699","WILLOWS 6 W, CA US","2012","19.47","0.0","62.7","77.4"
"USC00049699","WILLOWS 6 W, CA US","2013","4.44",,,
"USC00049699","WILLOWS 6 W, CA US","2014","22.67",,"65.7","80.5"
"USC00049699","WILLOWS 6 W, CA US","2015",,,,
"USC00049699","WILLOWS 6 W, CA US","2016","20.41","0.0","63.7","77.8"
"USR0000CSAC","SACRAMENTO NWR CALIFORNIA, CA US","2010",,,"61.6","73.3"
"USR0000CSAC","SACRAMENTO NWR CALIFORNIA, CA US","2011",,,"61.2","73.4"
"USR0000CSAC","SACRAMENTO NWR CALIFORNIA, CA US","2012",,,"62.9","75.8"
"USR0000CSAC","SACRAMENTO NWR CALIFORNIA, CA US","2013",,,"63.0","77.0"
"USR0000CSAC","SACRAMENTO NWR CALIFORNIA, CA US","2014",,,"65.2","78.6"
"USR0000CSAC","SACRAMENTO NWR CALIFORNIA, CA US","2015",,,"64.4","77.9"
"USR0000CSAC","SACRAMENTO NWR CALIFORNIA, CA US","2016",,,"63.8","76.3"
