"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00049694","WILLOW CREEK 1 NW, CA US","2010",,,"0.0",,
"US1CAHM0038","KNEELAND 0.4 NNW, CA US","2012",,"72.73",,,
"US1CAHM0038","KNEELAND 0.4 NNW, CA US","2013",,"28.93",,,
"US1CAHM0038","KNEELAND 0.4 NNW, CA US","2014",,"61.09",,,
"US1CAHM0038","KNEELAND 0.4 NNW, CA US","2015",,"49.24",,,
"US1CAHM0038","KNEELAND 0.4 NNW, CA US","2016",,"69.33",,,
"USR0000CSHH","SCHOOL HOUSE CALIFORNIA, CA US","2010",,,,"50.9","57.7"
"USR0000CSHH","SCHOOL HOUSE CALIFORNIA, CA US","2011",,,,"50.7","57.9"
"USR0000CSHH","SCHOOL HOUSE CALIFORNIA, CA US","2013",,,,"52.9","59.6"
"USR0000CSHH","SCHOOL HOUSE CALIFORNIA, CA US","2014",,,,"55.1","61.6"
"USR0000CSHH","SCHOOL HOUSE CALIFORNIA, CA US","2015",,,,"54.9","61.4"
"USR0000CSHH","SCHOOL HOUSE CALIFORNIA, CA US","2016",,,,"53.1","59.3"
"US1CAHM0014","MIRANDA 4.1 SW, CA US","2010",,"98.79",,,
"US1CAHM0014","MIRANDA 4.1 SW, CA US","2012",,"92.59",,,
"US1CAHM0014","MIRANDA 4.1 SW, CA US","2013",,"23.90",,,
"US1CAHM0036","SHELTER COVE 1.2 ENE, CA US","2011",,"71.15",,,
"US1CAHM0035","EUREKA 2.2 S, CA US","2011",,"38.74",,,
"US1CAHM0035","EUREKA 2.2 S, CA US","2012",,"58.66",,,
"US1CAHM0035","EUREKA 2.2 S, CA US","2013",,"19.28",,,
"US1CAHM0035","EUREKA 2.2 S, CA US","2014",,"39.44",,,
"US1CAHM0035","EUREKA 2.2 S, CA US","2015",,"37.65",,,
"US1CAHM0035","EUREKA 2.2 S, CA US","2016",,"56.44",,,
"US1CAHM0030","GARBERVILLE 2.2 SW, CA US","2012",,"63.56",,,
"US1CAHM0030","GARBERVILLE 2.2 SW, CA US","2013",,"18.94",,,
"US1CAHM0030","GARBERVILLE 2.2 SW, CA US","2014",,"56.99",,,
"US1CAHM0052","KNEELAND 3.5 SSE, CA US","2016",,"65.57",,,
"US1CAHM0010","REDWAY 4.3 W, CA US","2011",,"55.06",,,
"USW00024213","EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US","2010",,"53.79","0.0","52.6","58.9"
"USW00024213","EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US","2011",,"35.43","0.0","51.6","58.0"
"USW00024213","EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US","2012",,"50.83","0.0","51.7","57.8"
"USW00024213","EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US","2013","4.7","16.62","0.0","51.5","58.3"
"USW00024213","EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US","2014","4.7","37.52","0.0","54.8","61.3"
"USW00024213","EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US","2015","4.0","33.86","0.0","54.5","61.0"
"USW00024213","EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US","2016","4.9","53.16","0.0","54.1","60.6"
"USC00047404","RICHARDSON GROVE STATE PARK, CA US","2010",,,"0.0",,
"USR0000CCOO","COOSKIE MOUNTAIN CALIFORNIA, CA US","2011",,,,"51.3","58.8"
"USR0000CCOO","COOSKIE MOUNTAIN CALIFORNIA, CA US","2012",,,,"52.2","60.4"
"USR0000CCOO","COOSKIE MOUNTAIN CALIFORNIA, CA US","2013",,,,"54.2","62.8"
"USR0000CCOO","COOSKIE MOUNTAIN CALIFORNIA, CA US","2014",,,,"55.5","62.7"
"USR0000CCOO","COOSKIE MOUNTAIN CALIFORNIA, CA US","2015",,,,"56.0","63.2"
"USR0000CEEC","EEL RIVER CAMP CALIFORNIA, CA US","2010",,,,"56.4","68.2"
"USR0000CEEC","EEL RIVER CAMP CALIFORNIA, CA US","2012",,,,"56.8","69.7"
"USR0000CEEC","EEL RIVER CAMP CALIFORNIA, CA US","2013",,,,"57.0","71.1"
"USR0000CEEC","EEL RIVER CAMP CALIFORNIA, CA US","2014",,,,"59.7","73.3"
"USR0000CEEC","EEL RIVER CAMP CALIFORNIA, CA US","2015",,,,"59.4","73.2"
"USR0000CEEC","EEL RIVER CAMP CALIFORNIA, CA US","2016",,,,"58.7","71.4"
"USR0000CBIH","BIG HILL CALIFORNIA, CA US","2010",,,,"50.5","58.5"
"USR0000CBIH","BIG HILL CALIFORNIA, CA US","2011",,,,,
"USR0000CBIH","BIG HILL CALIFORNIA, CA US","2013",,,,"52.8","62.1"
"USR0000CBIH","BIG HILL CALIFORNIA, CA US","2014",,,,"54.9","63.5"
"USR0000CHOO","HOOPA CALIFORNIA, CA US","2010",,,,"57.6","68.6"
"USR0000CHOO","HOOPA CALIFORNIA, CA US","2011",,,,"56.4","67.5"
"USR0000CHOO","HOOPA CALIFORNIA, CA US","2012",,,,"57.6","69.3"
"USR0000CHOO","HOOPA CALIFORNIA, CA US","2013",,,,"57.7","70.3"
"USR0000CHOO","HOOPA CALIFORNIA, CA US","2014",,,,"60.6","73.0"
"USR0000CHOO","HOOPA CALIFORNIA, CA US","2015",,,,"60.1","72.7"
"USR0000CHOO","HOOPA CALIFORNIA, CA US","2016",,,,"59.2","70.8"
"USC00046498","ORICK PRAIRIE, CA US","2010",,,"0.0",,
"US1CAHM0009","MCKINLEYVILLE 2.3 NE, CA US","2010",,"70.98",,,
"US1CAHM0009","MCKINLEYVILLE 2.3 NE, CA US","2011",,"48.90",,,
"US1CAHM0009","MCKINLEYVILLE 2.3 NE, CA US","2012",,"67.15",,,
"US1CAHM0009","MCKINLEYVILLE 2.3 NE, CA US","2013",,"25.95",,,
"US1CAHM0009","MCKINLEYVILLE 2.3 NE, CA US","2014",,"58.82",,,
"US1CAHM0009","MCKINLEYVILLE 2.3 NE, CA US","2015",,"45.68",,,
"US1CAHM0009","MCKINLEYVILLE 2.3 NE, CA US","2016",,"65.67",,,
"US1CAHM0005","MCKINLEYVILLE 7.3 ESE, CA US","2011",,"49.06",,,
"USW00024283","ARCATA EUREKA AIRPORT, CA US","2010","5.6","64.48",,"51.4","58.1"
"USW00024283","ARCATA EUREKA AIRPORT, CA US","2011","5.4",,,"50.4","57.7"
"USW00024283","ARCATA EUREKA AIRPORT, CA US","2012","5.6","55.57",,"50.7","57.6"
"USW00024283","ARCATA EUREKA AIRPORT, CA US","2013","4.9","20.57",,"50.4","58.4"
"USW00024283","ARCATA EUREKA AIRPORT, CA US","2014","5.6","46.59",,"54.4","61.9"
"USW00024283","ARCATA EUREKA AIRPORT, CA US","2015","5.4","40.43",,"53.3","60.9"
"USW00024283","ARCATA EUREKA AIRPORT, CA US","2016","5.8","57.84",,"53.8","61.1"
"US1CAHM0004","MCKINLEYVILLE 2.7 SE, CA US","2010",,"64.65",,,
"US1CAHM0004","MCKINLEYVILLE 2.7 SE, CA US","2011",,"44.30",,,
"US1CAHM0004","MCKINLEYVILLE 2.7 SE, CA US","2012",,"59.28",,,
"US1CAHM0004","MCKINLEYVILLE 2.7 SE, CA US","2013",,"22.82",,,
"US1CAHM0004","MCKINLEYVILLE 2.7 SE, CA US","2014",,"51.35",,,
"US1CAHM0004","MCKINLEYVILLE 2.7 SE, CA US","2015",,"41.42",,,
"US1CAHM0004","MCKINLEYVILLE 2.7 SE, CA US","2016",,"60.06",,,
"US1CAHM0026","BRIDGEVILLE 5.2 ENE, CA US","2010",,"93.25",,,
"US1CAHM0026","BRIDGEVILLE 5.2 ENE, CA US","2011",,"74.33",,,
"US1CAHM0026","BRIDGEVILLE 5.2 ENE, CA US","2012",,"116.52",,,
"US1CAHM0026","BRIDGEVILLE 5.2 ENE, CA US","2013",,"30.89",,,
"US1CAHM0026","BRIDGEVILLE 5.2 ENE, CA US","2014",,"77.20",,,
"US1CAHM0026","BRIDGEVILLE 5.2 ENE, CA US","2015",,"59.91",,,
"US1CAHM0026","BRIDGEVILLE 5.2 ENE, CA US","2016",,"86.05",,,
"US1CAHM0048","WILLOW CREEK 4.9 NNE, CA US","2015",,"40.19",,,
"US1CAHM0029","FORTUNA 0.1 NW, CA US","2014",,"37.35",,,
"US1CAHM0022","WILLOW CREEK 4.5 NNE, CA US","2015",,"40.20",,,
"US1CAHM0022","WILLOW CREEK 4.5 NNE, CA US","2016",,"59.48",,,
"US1CAHM0044","REDWAY 1.8 WSW, CA US","2013",,"21.24",,,
"US1CAHM0044","REDWAY 1.8 WSW, CA US","2015",,"40.57",,,
"US1CAHM0003","ORICK 5.9 SSW, CA US","2010",,"76.83","0.0",,
"US1CAHM0003","ORICK 5.9 SSW, CA US","2011",,"52.08","0.0",,
"US1CAHM0003","ORICK 5.9 SSW, CA US","2012",,"78.72","0.0",,
"US1CAHM0003","ORICK 5.9 SSW, CA US","2013",,"26.27","0.0",,
"US1CAHM0003","ORICK 5.9 SSW, CA US","2014",,"60.31","0.0",,
"US1CAHM0047","HYDESVILLE 11.4 NE, CA US","2014",,"61.28",,,
"US1CAHM0047","HYDESVILLE 11.4 NE, CA US","2015",,"50.43",,,
"US1CAHM0047","HYDESVILLE 11.4 NE, CA US","2016",,"77.50",,,
"US1CAHM0002","BAYSIDE 1.8 SE, CA US","2010",,"63.27",,,
"US1CAHM0002","BAYSIDE 1.8 SE, CA US","2011",,"44.42",,,
"US1CAHM0002","BAYSIDE 1.8 SE, CA US","2013",,"23.50",,,
"US1CAHM0046","TRINIDAD 1.0 ENE, CA US","2014",,"61.78",,,
"US1CAHM0046","TRINIDAD 1.0 ENE, CA US","2016",,"69.95",,,
"USR0000CYUR","YUROK CALIFORNIA, CA US","2010",,,,"56.7","68.0"
"USR0000CYUR","YUROK CALIFORNIA, CA US","2011",,,,"56.0","68.0"
"USR0000CYUR","YUROK CALIFORNIA, CA US","2012",,,,"56.9","69.1"
"USR0000CYUR","YUROK CALIFORNIA, CA US","2013",,,,"57.9","71.5"
"USR0000CYUR","YUROK CALIFORNIA, CA US","2015",,,,"60.5","74.2"
"USR0000CYUR","YUROK CALIFORNIA, CA US","2016",,,,"59.2","72.0"
"USC00046508","ORLEANS, CA US","2010",,"66.22","2.0","57.3","68.1"
"USC00046508","ORLEANS, CA US","2011",,"42.95",,"55.9","67.1"
"USC00046508","ORLEANS, CA US","2012",,,,,
"USC00046508","ORLEANS, CA US","2013",,"19.38",,,
"USC00046508","ORLEANS, CA US","2014",,"46.38",,,
"USC00046508","ORLEANS, CA US","2015",,"42.91",,"60.1","72.6"
"USC00046508","ORLEANS, CA US","2016",,,,,
"USC00048045","SCOTIA, CA US","2010",,"64.54","0.0","55.8","63.6"
"USC00048045","SCOTIA, CA US","2011",,"37.92",,,
"USC00048045","SCOTIA, CA US","2012",,"56.04",,"55.5","63.6"
"USC00048045","SCOTIA, CA US","2013",,"16.62",,"55.2","64.2"
"USC00048045","SCOTIA, CA US","2014",,"38.05",,"58.3","67.0"
"USC00048045","SCOTIA, CA US","2015",,"40.81",,"57.8","66.4"
"USC00048045","SCOTIA, CA US","2016",,"61.09",,"57.3","65.7"
"USR0000CAPT","ALDER POINT CALIFORNIA, CA US","2010",,,,"56.3","67.2"
"USR0000CAPT","ALDER POINT CALIFORNIA, CA US","2012",,,,"56.4","68.2"
"USR0000CAPT","ALDER POINT CALIFORNIA, CA US","2013",,,,"57.0","69.9"
"USR0000CAPT","ALDER POINT CALIFORNIA, CA US","2015",,,,"59.7","72.2"
"USR0000CAPT","ALDER POINT CALIFORNIA, CA US","2016",,,,"58.6","70.6"
