"STATION","NAME","DATE","AWND","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2010",,,"3.61",,"76.0","87.5",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2011",,,"0.71",,"75.5","87.7",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2012",,,"1.03",,"78.1","90.3",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2013",,,"1.76",,"77.3","89.3",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2014",,,"1.58",,"78.8","90.9",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2015",,,"1.67",,"78.3","90.2",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2016",,,"1.14",,"78.3","90.2",
"US1CAIN0009","BIG PINE 0.5 ENE, CA US","2016",,,"5.27",,,,
"US1CAIN0006","LAWS 0.1SW, CA US","2013",,,"1.47","0.0",,,
"US1CAIN0006","LAWS 0.1SW, CA US","2014",,,"3.46",,,,
"USR0000COCR","OAK CREEK CALIFORNIA, CA US","2010",,,,,"59.1","70.0",
"USR0000COCR","OAK CREEK CALIFORNIA, CA US","2011",,,,,"59.6","70.8",
"USR0000COCR","OAK CREEK CALIFORNIA, CA US","2012",,,,,"61.9","73.1",
"USR0000COCR","OAK CREEK CALIFORNIA, CA US","2013",,,,,"61.5","73.1",
"USR0000COCR","OAK CREEK CALIFORNIA, CA US","2014",,,,,"62.9","73.8",
"USR0000COCR","OAK CREEK CALIFORNIA, CA US","2015",,,,,"61.3","71.9",
"USR0000COCR","OAK CREEK CALIFORNIA, CA US","2016",,,,,"62.0","72.4",
"USR0000CPAN","PANAMINT CALIFORNIA, CA US","2010",,,,,"53.4","65.5",
"USR0000CPAN","PANAMINT CALIFORNIA, CA US","2011",,,,,"53.7","66.0",
"USR0000CPAN","PANAMINT CALIFORNIA, CA US","2012",,,,,"55.6","67.4",
"USR0000CPAN","PANAMINT CALIFORNIA, CA US","2013",,,,,"54.8","66.6",
"USR0000CPAN","PANAMINT CALIFORNIA, CA US","2014",,,,,"56.6","68.2",
"USR0000CPAN","PANAMINT CALIFORNIA, CA US","2015",,,,,,,
"USC00042319","DEATH VALLEY, CA US","2010",,"129.2","3.85","0.0","77.1","90.6","10937.4"
"USC00042319","DEATH VALLEY, CA US","2011",,"125.3","1.32","0.0","76.7","90.9","15090.0"
"USC00042319","DEATH VALLEY, CA US","2012",,,"1.67","0.0","79.6","94.0",
"USC00042319","DEATH VALLEY, CA US","2013",,,"2.18","0.0","78.9","92.6",
"USC00042319","DEATH VALLEY, CA US","2014",,"139.1","2.06","0.0","79.8","94.4",
