"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00044534","KETTLEMAN CITY, CA US","2010",,,"0.0","63.3","76.5"
"USC00044534","KETTLEMAN CITY, CA US","2011",,"5.09",,"62.0","75.5"
"USC00044534","KETTLEMAN CITY, CA US","2012",,"4.73",,"64.7","78.8"
"USC00044534","KETTLEMAN CITY, CA US","2013",,"2.17",,"64.5","79.0"
"USC00044534","KETTLEMAN CITY, CA US","2014",,"5.53",,"67.4","81.2"
"USC00044534","KETTLEMAN CITY, CA US","2015",,"4.38",,"65.9","79.8"
"USC00044534","KETTLEMAN CITY, CA US","2016",,"7.26",,"66.1","80.0"
"USR0000CKET","KETTLEMAN HILLS CALIFORNIA, CA US","2010",,,,"65.3","74.7"
"USR0000CKET","KETTLEMAN HILLS CALIFORNIA, CA US","2011",,,,"64.5","74.3"
"USR0000CKET","KETTLEMAN HILLS CALIFORNIA, CA US","2012",,,,"67.3","77.2"
"USR0000CKET","KETTLEMAN HILLS CALIFORNIA, CA US","2013",,,,"67.2","77.3"
"USR0000CKET","KETTLEMAN HILLS CALIFORNIA, CA US","2014",,,,"70.0","80.0"
"USR0000CKET","KETTLEMAN HILLS CALIFORNIA, CA US","2015",,,,"68.7","78.9"
"USR0000CKET","KETTLEMAN HILLS CALIFORNIA, CA US","2016",,,,"68.4","77.8"
"USW00053119","HANFORD MUNICIPAL AIRPORT, CA US","2010","5.1","13.91",,"61.9","75.5"
"USW00053119","HANFORD MUNICIPAL AIRPORT, CA US","2011",,"7.69",,"61.4","75.2"
"USW00053119","HANFORD MUNICIPAL AIRPORT, CA US","2012","4.9","6.59","0.0","63.7","78.7"
"USW00053119","HANFORD MUNICIPAL AIRPORT, CA US","2013","5.1","1.99","0.0","63.7","79.4"
"USW00053119","HANFORD MUNICIPAL AIRPORT, CA US","2014","5.4","5.57","0.0","66.1","80.9"
"USW00053119","HANFORD MUNICIPAL AIRPORT, CA US","2015","5.1","4.89","0.0","65.5","79.8"
"USW00053119","HANFORD MUNICIPAL AIRPORT, CA US","2016","5.1","8.55","0.0","64.7","79.3"
"USW00023110","LEMOORE REEVES NAS, CA US","2010","7.4","11.82",,,
"USW00023110","LEMOORE REEVES NAS, CA US","2011","6.9","7.50",,"61.0","76.0"
"USW00023110","LEMOORE REEVES NAS, CA US","2012","7.4","5.02",,,
"USW00023110","LEMOORE REEVES NAS, CA US","2013","7.6","2.46",,,
"USW00023110","LEMOORE REEVES NAS, CA US","2014","8.1","5.34",,,
"USW00023110","LEMOORE REEVES NAS, CA US","2015","7.4","4.24",,"64.8","79.9"
"USW00023110","LEMOORE REEVES NAS, CA US","2016",,,,,
"US1CAKG0005","HANFORD 1.7 WNW, CA US","2010",,"14.11",,,
"US1CAKG0005","HANFORD 1.7 WNW, CA US","2011",,"8.41",,,
"US1CAKG0005","HANFORD 1.7 WNW, CA US","2012",,"7.45",,,
"US1CAKG0005","HANFORD 1.7 WNW, CA US","2013",,"2.43",,,
"US1CAKG0005","HANFORD 1.7 WNW, CA US","2014",,"6.14",,,
"US1CAKG0005","HANFORD 1.7 WNW, CA US","2015",,"5.26",,,
"USC00043747","HANFORD 1 S, CA US","2010",,"15.15","0.0","62.1","74.3"
"USC00043747","HANFORD 1 S, CA US","2011",,"9.17",,,"74.3"
"USC00043747","HANFORD 1 S, CA US","2012",,,,"64.0","77.7"
"USC00043747","HANFORD 1 S, CA US","2013",,"2.26",,,"78.1"
"USC00043747","HANFORD 1 S, CA US","2014",,"5.80",,"66.8","80.5"
"USC00043747","HANFORD 1 S, CA US","2015",,"4.83",,"65.6","79.1"
"USC00043747","HANFORD 1 S, CA US","2016",,"8.57",,"66.1","79.8"
"US1CAKG0003","LEMOORE 0.3 SW, CA US","2011",,"7.51","0.0",,
"US1CAKG0003","LEMOORE 0.3 SW, CA US","2012",,"5.88","0.0",,
"US1CAKG0003","LEMOORE 0.3 SW, CA US","2015",,"5.33","0.0",,
"US1CAKG0004","HANFORD 3.6 N, CA US","2010",,"14.15",,,
"US1CAKG0004","HANFORD 3.6 N, CA US","2012",,"6.16",,,
"US1CAKG0004","HANFORD 3.6 N, CA US","2013",,"2.40",,,
"US1CAKG0004","HANFORD 3.6 N, CA US","2014",,"7.59",,,
"US1CAKG0004","HANFORD 3.6 N, CA US","2015",,"5.50",,,
"US1CAKG0001","LEMOORE 0.9 ESE, CA US","2012",,"6.31",,,
"US1CAKG0001","LEMOORE 0.9 ESE, CA US","2013",,"2.74","0.0",,
"US1CAKG0001","LEMOORE 0.9 ESE, CA US","2014",,"6.48",,,
"US1CAKG0001","LEMOORE 0.9 ESE, CA US","2016",,"8.60",,,
"USC00042012","CORCORAN IRRIGATION DIST., CA US","2010",,"11.68","0.0",,
"USC00042012","CORCORAN IRRIGATION DIST., CA US","2011",,"7.61",,"61.9","75.6"
"USC00042012","CORCORAN IRRIGATION DIST., CA US","2012",,"5.32",,"64.5","78.9"
"USC00042012","CORCORAN IRRIGATION DIST., CA US","2013",,"2.54",,"64.1","79.2"
"USC00042012","CORCORAN IRRIGATION DIST., CA US","2014",,"5.91",,"66.7","81.7"
"USC00042012","CORCORAN IRRIGATION DIST., CA US","2015",,"5.84",,,
"USC00042012","CORCORAN IRRIGATION DIST., CA US","2016",,"6.47",,"65.8","79.9"
