"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX"
"USR0000CKNO","KNOXVILLE CREEK CALIFORNIA, CA US","2010",,,"57.3","69.8"
"USR0000CKNO","KNOXVILLE CREEK CALIFORNIA, CA US","2011",,,"57.9","71.0"
"USR0000CKNO","KNOXVILLE CREEK CALIFORNIA, CA US","2012",,,"59.5","73.8"
"USR0000CKNO","KNOXVILLE CREEK CALIFORNIA, CA US","2013",,,"61.0","75.9"
"USR0000CKNO","KNOXVILLE CREEK CALIFORNIA, CA US","2014",,,"61.6","74.9"
"USR0000CKNO","KNOXVILLE CREEK CALIFORNIA, CA US","2015",,,"61.2","74.0"
"USR0000CKNO","KNOXVILLE CREEK CALIFORNIA, CA US","2016",,,"59.7","70.5"
"USR0000CKON","KONOCTI CALIFORNIA, CA US","2010",,,"58.3","67.7"
"USR0000CKON","KONOCTI CALIFORNIA, CA US","2011",,,"58.8","68.7"
"USR0000CKON","KONOCTI CALIFORNIA, CA US","2012",,,"60.5","71.0"
"USR0000CKON","KONOCTI CALIFORNIA, CA US","2013",,,"62.0","72.9"
"USR0000CKON","KONOCTI CALIFORNIA, CA US","2014",,,"63.5","73.7"
"USR0000CKON","KONOCTI CALIFORNIA, CA US","2015",,,"63.1","73.5"
"USR0000CKON","KONOCTI CALIFORNIA, CA US","2016",,,"61.2","71.1"
"US1CALK0009","UPPER LAKE 3.6 W, CA US","2013","9.84",,,
"US1CALK0009","UPPER LAKE 3.6 W, CA US","2014","42.99",,,
"US1CALK0009","UPPER LAKE 3.6 W, CA US","2015","26.02",,,
"US1CALK0009","UPPER LAKE 3.6 W, CA US","2016","49.35",,,
"USR0000CCOU","CO LINE CALIFORNIA, CA US","2010",,,"59.9","71.2"
"USR0000CCOU","CO LINE CALIFORNIA, CA US","2011",,,"60.6","72.3"
"USR0000CCOU","CO LINE CALIFORNIA, CA US","2012",,,,
"USR0000CCOU","CO LINE CALIFORNIA, CA US","2014",,,"64.7","74.9"
"USR0000CCOU","CO LINE CALIFORNIA, CA US","2015",,,"64.0","74.2"
"USR0000CCOU","CO LINE CALIFORNIA, CA US","2016",,,"62.2","71.6"
"USR0000CHGL","HIGH GLADE LOOKOUT CALIFORNIA, CA US","2010",,,"51.6","59.5"
"USR0000CHGL","HIGH GLADE LOOKOUT CALIFORNIA, CA US","2011",,,"52.9","61.4"
"USR0000CHGL","HIGH GLADE LOOKOUT CALIFORNIA, CA US","2013",,,"55.8","64.6"
"USR0000CHGL","HIGH GLADE LOOKOUT CALIFORNIA, CA US","2014",,,"56.5","64.7"
"USR0000CHGL","HIGH GLADE LOOKOUT CALIFORNIA, CA US","2015",,,"56.8","65.3"
"USR0000CHGL","HIGH GLADE LOOKOUT CALIFORNIA, CA US","2016",,,"54.5","62.4"
"USR0000CLYO","LYONS VALLEY CALIFORNIA, CA US","2011",,,"55.3","62.9"
"USR0000CLYO","LYONS VALLEY CALIFORNIA, CA US","2012",,,"56.8","65.0"
"USR0000CLYO","LYONS VALLEY CALIFORNIA, CA US","2014",,,"59.1","66.4"
"USR0000CLYO","LYONS VALLEY CALIFORNIA, CA US","2015",,,"59.5","67.1"
"USR0000CLYO","LYONS VALLEY CALIFORNIA, CA US","2016",,,"57.2","64.3"
"USR0000CSDC","SODA CREEK CALIFORNIA, CA US","2012",,,"55.6","73.3"
"USR0000CSDC","SODA CREEK CALIFORNIA, CA US","2013",,,,
"USR0000CSDC","SODA CREEK CALIFORNIA, CA US","2014",,,"57.5","74.6"
"USR0000CSDC","SODA CREEK CALIFORNIA, CA US","2015",,,"57.5","74.9"
"USR0000CSDC","SODA CREEK CALIFORNIA, CA US","2016",,,"56.5","72.2"
"USC00041806","CLEARLAKE 4 SE, CA US","2010",,"0.0",,
"USC00045598","MIDDLETOWN, CA US","2010","56.87","0.0",,
"USC00045598","MIDDLETOWN, CA US","2013","9.58",,,
"USC00045598","MIDDLETOWN, CA US","2014","40.02",,,
"USC00045598","MIDDLETOWN, CA US","2015","20.00","0.0",,
"USC00045598","MIDDLETOWN, CA US","2016","54.32","0.0",,
