"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","2010",,,"42.5","58.5"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","2011",,,"42.0","59.3"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","2012",,,"43.8","61.8"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","2013",,,"43.4","63.1"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","2014",,,"46.5","64.2"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","2015",,,"46.1","64.1"
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","2016",,,"43.7","60.4"
"USR0000CLDR","LADDER BUTTE CALIFORNIA, CA US","2010",,,"47.7","56.9"
"USR0000CLDR","LADDER BUTTE CALIFORNIA, CA US","2011",,,"47.8","57.3"
"USR0000CLDR","LADDER BUTTE CALIFORNIA, CA US","2012",,,"49.7","59.3"
"USR0000CLDR","LADDER BUTTE CALIFORNIA, CA US","2013",,,"50.0","59.9"
"USR0000CLDR","LADDER BUTTE CALIFORNIA, CA US","2014",,,"51.9","61.2"
"USR0000CLDR","LADDER BUTTE CALIFORNIA, CA US","2015",,,"51.8","60.7"
"USR0000CLDR","LADDER BUTTE CALIFORNIA, CA US","2016",,,"50.2","59.1"
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","2010",,,"45.0","57.6"
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","2011",,,"44.9","57.6"
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","2012",,,"46.9","59.5"
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","2013",,,"46.2","59.1"
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","2014",,,"48.6","60.5"
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","2015",,,"48.2","60.4"
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","2016",,,"46.7","58.4"
"USR0000CBUL","BULL FLAT CALIFORNIA, CA US","2010",,,"48.7","63.4"
"USR0000CBUL","BULL FLAT CALIFORNIA, CA US","2011",,,"47.2","63.2"
"USR0000CBUL","BULL FLAT CALIFORNIA, CA US","2012",,,"49.7","66.2"
"USR0000CBUL","BULL FLAT CALIFORNIA, CA US","2013",,,"48.0","64.7"
"USR0000CBUL","BULL FLAT CALIFORNIA, CA US","2014",,,"51.1","66.8"
"USR0000CBUL","BULL FLAT CALIFORNIA, CA US","2016",,,"49.7","65.3"
"USR0000CLAU","LAUFMAN CALIFORNIA, CA US","2010",,,"50.6","63.9"
"USR0000CLAU","LAUFMAN CALIFORNIA, CA US","2012",,,"52.5","66.9"
"USR0000CLAU","LAUFMAN CALIFORNIA, CA US","2013",,,"50.5","65.1"
"USR0000CLAU","LAUFMAN CALIFORNIA, CA US","2014",,,,
"USR0000CLAU","LAUFMAN CALIFORNIA, CA US","2015",,,"52.9","66.5"
"USR0000CLAU","LAUFMAN CALIFORNIA, CA US","2016",,,"51.8","65.1"
"USC00042506","DOYLE 4 SSE, CA US","2010","14.48","37.9","49.7","63.4"
"USC00042506","DOYLE 4 SSE, CA US","2011","11.04",,"49.7","63.2"
"USC00042506","DOYLE 4 SSE, CA US","2013",,,,
"USR0000CASH","ASH VALLEY CALIFORNIA, CA US","2010",,,"45.9","59.7"
"USR0000CASH","ASH VALLEY CALIFORNIA, CA US","2011",,,"44.9","59.8"
"USR0000CASH","ASH VALLEY CALIFORNIA, CA US","2012",,,"46.5","62.7"
"USR0000CASH","ASH VALLEY CALIFORNIA, CA US","2013",,,"45.5","62.0"
"USR0000CGOR","GORDON CALIFORNIA, CA US","2011",,,"44.8","58.1"
"USR0000CGOR","GORDON CALIFORNIA, CA US","2012",,,"46.4","60.0"
"USR0000CGOR","GORDON CALIFORNIA, CA US","2013",,,"46.1","60.4"
"USR0000CGOR","GORDON CALIFORNIA, CA US","2014",,,,
"USR0000CGOR","GORDON CALIFORNIA, CA US","2016",,,"46.1","58.6"
"US1CALS0001","SUSANVILLE 3.2 SSW, CA US","2014","21.43","7.3",,
"USC00048702","SUSANVILLE 2 SW, CA US","2010",,,,
"USC00048702","SUSANVILLE 2 SW, CA US","2011",,,"48.8","62.5"
"USC00048702","SUSANVILLE 2 SW, CA US","2013","4.10",,"49.0","63.6"
"USC00048702","SUSANVILLE 2 SW, CA US","2014","13.75","4.2","52.7","67.0"
"USC00048702","SUSANVILLE 2 SW, CA US","2015","13.27","8.5","52.5","66.9"
"USC00048702","SUSANVILLE 2 SW, CA US","2016","17.19","19.1","51.8","65.7"
"USR0000CGHP","GRASSHOPPER CALIFORNIA, CA US","2010",,,"44.0","55.7"
