"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USR0000CMET","METCALF GAP CALIFORNIA, CA US","2010",,,,"60.2","69.6"
"USR0000CMET","METCALF GAP CALIFORNIA, CA US","2011",,,,"60.0","69.5"
"USR0000CMET","METCALF GAP CALIFORNIA, CA US","2012",,,,"63.1","72.9"
"USR0000CMET","METCALF GAP CALIFORNIA, CA US","2013",,,,"63.7","74.0"
"USR0000CMET","METCALF GAP CALIFORNIA, CA US","2014",,,,"65.3","75.3"
"USR0000CMET","METCALF GAP CALIFORNIA, CA US","2015",,,,"64.2","73.8"
"USR0000CMET","METCALF GAP CALIFORNIA, CA US","2016",,,,"63.4","72.9"
"USW00093242","MADERA MUNICIPAL AIRPORT, CA US","2010","5.8","16.17",,"61.6","74.4"
"USW00093242","MADERA MUNICIPAL AIRPORT, CA US","2011","5.4","9.22",,"60.6","74.1"
"USW00093242","MADERA MUNICIPAL AIRPORT, CA US","2012",,"10.94","0.0","62.9","77.4"
"USW00093242","MADERA MUNICIPAL AIRPORT, CA US","2013",,"4.50","0.0","62.6","77.9"
"USW00093242","MADERA MUNICIPAL AIRPORT, CA US","2014",,"7.35","0.0","65.4","80.1"
"USW00093242","MADERA MUNICIPAL AIRPORT, CA US","2015","5.8","6.90","0.0","64.7","78.8"
"USW00093242","MADERA MUNICIPAL AIRPORT, CA US","2016","5.8","12.48","0.0","64.4","78.8"
"USC00041879","COARSEGOLD 4 SE, CA US","2014",,"13.69",,,
"USC00041879","COARSEGOLD 4 SE, CA US","2015",,"16.22",,,
"USC00041879","COARSEGOLD 4 SE, CA US","2016",,"30.88",,,
"USR0000CNFO","NORTH FORK CALIFORNIA, CA US","2010",,,,"59.0","73.1"
"USR0000CNFO","NORTH FORK CALIFORNIA, CA US","2011",,,,"59.0","73.6"
"USR0000CNFO","NORTH FORK CALIFORNIA, CA US","2012",,,,,
"USR0000CNFO","NORTH FORK CALIFORNIA, CA US","2013",,,,"62.2","78.0"
"USR0000CNFO","NORTH FORK CALIFORNIA, CA US","2014",,,,"63.5","78.3"
"USR0000CNFO","NORTH FORK CALIFORNIA, CA US","2015",,,,"62.1","76.0"
"USR0000CNFO","NORTH FORK CALIFORNIA, CA US","2016",,,,"61.7","75.6"
"USR0000CBAT","BATTERSON CALIFORNIA, CA US","2010",,,,"59.1","70.9"
"USR0000CBAT","BATTERSON CALIFORNIA, CA US","2011",,,,"59.0","71.0"
"USR0000CBAT","BATTERSON CALIFORNIA, CA US","2012",,,,"61.7","73.8"
"USR0000CBAT","BATTERSON CALIFORNIA, CA US","2013",,,,"62.4","75.5"
"USR0000CBAT","BATTERSON CALIFORNIA, CA US","2014",,,,"63.7","76.2"
"USR0000CBAT","BATTERSON CALIFORNIA, CA US","2015",,,,"62.6","74.4"
"USR0000CBAT","BATTERSON CALIFORNIA, CA US","2016",,,,"61.8","73.3"
"US1CAMA0007","COARSEGOLD 1.4 SE, CA US","2016",,"35.76",,,
"US1CAMA0008","CHOWCHILLA 0.3 E, CA US","2016",,"13.91","0.0",,
"US1CAMA0001","OAKHURST 7.5 N, CA US","2011",,"37.24",,,
"US1CAMA0001","OAKHURST 7.5 N, CA US","2012",,"53.15","91.4",,
"US1CAMA0001","OAKHURST 7.5 N, CA US","2013",,"13.81","30.9",,
"US1CAMA0001","OAKHURST 7.5 N, CA US","2016",,"51.55",,,
"US1CAMA0002","RAYMOND 6.8 NE, CA US","2012",,"24.95",,,
"US1CAMA0002","RAYMOND 6.8 NE, CA US","2014",,"14.78",,,
"US1CAMA0003","YOSEMITE LAKES 4.7 S, CA US","2013",,"4.59",,,
"US1CAMA0003","YOSEMITE LAKES 4.7 S, CA US","2014",,"12.66",,,
"US1CAMA0003","YOSEMITE LAKES 4.7 S, CA US","2015",,"11.22",,,
"US1CAMA0003","YOSEMITE LAKES 4.7 S, CA US","2016",,"21.60",,,
"USC00046252","NORTH FORK RANGER STATION, CA US","2010",,,"0.0",,
"US1CAMA0004","AHWAHNEE 2.5 NNW, CA US","2015",,"24.07","2.1",,
"USC00043251","FRESNO 3 NW, CA US","2014",,"6.79",,,
"USC00045233","MADERA, CA US","2010",,"17.64","0.0",,
"USC00045233","MADERA, CA US","2011",,,,,
"USC00045233","MADERA, CA US","2014",,,,"65.3","78.8"
"USC00045233","MADERA, CA US","2015",,,,"64.3","77.2"
"USC00045233","MADERA, CA US","2016",,,,,"77.0"
