"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","2010","50.08","162.3",,
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","2012","31.49",,"49.1","61.6"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","2013","10.86",,"48.9","61.8"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","2014","23.03",,"51.2","63.8"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","2015","25.69",,"50.4","63.1"
"USC00048380","SO ENTRANCE YOSEMITE N.P., CA US","2016","38.37",,"49.5","62.5"
"USR0000CMSA","MARIPOSA CALIFORNIA, CA US","2011",,,"58.0","70.8"
"USR0000CMSA","MARIPOSA CALIFORNIA, CA US","2012",,,"60.2","73.0"
"USR0000CMSA","MARIPOSA CALIFORNIA, CA US","2013",,,"60.5","74.1"
"USR0000CMSA","MARIPOSA CALIFORNIA, CA US","2014",,,"62.5","75.6"
"USR0000CMSA","MARIPOSA CALIFORNIA, CA US","2015",,,"61.6","74.6"
"USR0000CMSA","MARIPOSA CALIFORNIA, CA US","2016",,,"61.0","74.0"
"USC00042920","EXCHEQUER DAM, CA US","2013","5.93",,,
"USC00042920","EXCHEQUER DAM, CA US","2014","13.07",,,
"USC00042920","EXCHEQUER DAM, CA US","2015","13.57",,,
"USC00042920","EXCHEQUER DAM, CA US","2016","24.30",,,
"USW00053150","YOSEMITE VILLAGE 12 W, CA US","2010","57.58",,"47.2","53.0"
"USW00053150","YOSEMITE VILLAGE 12 W, CA US","2011",,,"47.7","53.8"
"USW00053150","YOSEMITE VILLAGE 12 W, CA US","2012","47.01",,"50.5","57.4"
"USW00053150","YOSEMITE VILLAGE 12 W, CA US","2013","13.94",,"51.1","58.2"
"USW00053150","YOSEMITE VILLAGE 12 W, CA US","2014","29.63",,"52.5","59.6"
"USW00053150","YOSEMITE VILLAGE 12 W, CA US","2015","29.66",,"51.8","58.8"
"USW00053150","YOSEMITE VILLAGE 12 W, CA US","2016","47.71",,"51.0","57.9"
"USR0000CMAR","MARIPOSA GROVE CALIFORNIA, CA US","2010",,,,
"USR0000CMAR","MARIPOSA GROVE CALIFORNIA, CA US","2011",,,"51.6","62.1"
"US1CAMP0004","CATHEYS VALLEY 1.2 S, CA US","2011","22.02",,,
"US1CAMP0004","CATHEYS VALLEY 1.2 S, CA US","2012","23.09",,,
"USC00049855","YOSEMITE PARK HEADQUARTERS, CA US","2012","35.60",,"55.6","68.5"
"USR0000CCRA","CRANE FLAT LOOKOUT CALIFORNIA, CA US","2010",,,"49.1","57.2"
"USR0000CCRA","CRANE FLAT LOOKOUT CALIFORNIA, CA US","2011",,,"49.7","58.1"
"USR0000CCRA","CRANE FLAT LOOKOUT CALIFORNIA, CA US","2012",,,"51.5","59.8"
"USR0000CCRA","CRANE FLAT LOOKOUT CALIFORNIA, CA US","2013",,,"52.1","60.3"
"USR0000CCRA","CRANE FLAT LOOKOUT CALIFORNIA, CA US","2014",,,"53.3","60.8"
"USR0000CCRA","CRANE FLAT LOOKOUT CALIFORNIA, CA US","2015",,,"52.9","60.6"
"USR0000CCRA","CRANE FLAT LOOKOUT CALIFORNIA, CA US","2016",,,"52.4","60.2"
"US1CAMP0002","MARIPOSA 12.5 E, CA US","2011","37.96",,,
"US1CAMP0002","MARIPOSA 12.5 E, CA US","2012","33.89",,,
"US1CAMP0002","MARIPOSA 12.5 E, CA US","2013","9.92",,,
"US1CAMP0002","MARIPOSA 12.5 E, CA US","2016","42.27",,,
"USR0000CJER","JERSEYDALE CALIFORNIA, CA US","2010",,,"56.7","68.7"
"USR0000CJER","JERSEYDALE CALIFORNIA, CA US","2011",,,"57.0","69.6"
"USR0000CJER","JERSEYDALE CALIFORNIA, CA US","2012",,,"59.8","72.7"
"USR0000CJER","JERSEYDALE CALIFORNIA, CA US","2014",,,"62.1","75.5"
"USR0000CJER","JERSEYDALE CALIFORNIA, CA US","2015",,,"60.9","73.4"
"USR0000CJER","JERSEYDALE CALIFORNIA, CA US","2016",,,"59.4","71.0"
"USR0000CCAT","CATHEYS VALLEY CALIFORNIA, CA US","2010",,,,
"USR0000CCAT","CATHEYS VALLEY CALIFORNIA, CA US","2012",,,"64.0","74.7"
"USR0000CCAT","CATHEYS VALLEY CALIFORNIA, CA US","2013",,,"64.0","75.1"
"USR0000CCAT","CATHEYS VALLEY CALIFORNIA, CA US","2014",,,"66.2","76.9"
"USR0000CCAT","CATHEYS VALLEY CALIFORNIA, CA US","2015",,,"64.8","75.2"
"USR0000CCAT","CATHEYS VALLEY CALIFORNIA, CA US","2016",,,"64.5","75.1"
