"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"US1CAMD0001","UKIAH 8.4 NW, CA US","2011",,"39.30",,,
"US1CAMD0001","UKIAH 8.4 NW, CA US","2012",,"56.63",,,
"US1CAMD0001","UKIAH 8.4 NW, CA US","2013",,"13.01",,,
"US1CAMD0001","UKIAH 8.4 NW, CA US","2014",,"46.51",,,
"US1CAMD0001","UKIAH 8.4 NW, CA US","2015",,"31.62",,,
"US1CAMD0001","UKIAH 8.4 NW, CA US","2016",,"56.09",,,
"US1CAMD0012","WILLITS 6.0 WSW, CA US","2010",,"83.72",,,
"US1CAMD0010","HOPLAND 2.4 WNW, CA US","2012",,"47.51",,,
"US1CAMD0010","HOPLAND 2.4 WNW, CA US","2013",,"8.10",,,
"US1CAMD0021","ALBION 4.0 SE, CA US","2015",,"29.91",,,
"USW00023275","UKIAH MUNICIPAL AIRPORT, CA US","2010","3.6","51.94",,"58.1","71.3"
"USW00023275","UKIAH MUNICIPAL AIRPORT, CA US","2011","2.9","29.07",,"58.0","72.3"
"USW00023275","UKIAH MUNICIPAL AIRPORT, CA US","2012","3.4","41.20",,"59.1","74.0"
"USW00023275","UKIAH MUNICIPAL AIRPORT, CA US","2013","3.4","7.52",,"59.5","76.0"
"USW00023275","UKIAH MUNICIPAL AIRPORT, CA US","2014","3.6","35.10",,"62.2","77.1"
"USW00023275","UKIAH MUNICIPAL AIRPORT, CA US","2015","3.4","21.20",,"61.6","77.1"
"USW00023275","UKIAH MUNICIPAL AIRPORT, CA US","2016","3.6","41.89",,"60.4","74.4"
"USR0000CHLD","HOPLAND CALIFORNIA, CA US","2010",,,,"56.4","65.3"
"USR0000CHLD","HOPLAND CALIFORNIA, CA US","2011",,,,"57.3","66.8"
"USR0000CHLD","HOPLAND CALIFORNIA, CA US","2012",,,,,
"USR0000CHLD","HOPLAND CALIFORNIA, CA US","2014",,,,"61.6","71.2"
"USR0000CHLD","HOPLAND CALIFORNIA, CA US","2015",,,,"61.6","71.7"
"USR0000CHLD","HOPLAND CALIFORNIA, CA US","2016",,,,"59.5","68.9"
"USC00042081","COVELO, CA US","2010",,"52.46","2.0","54.9","68.7"
"US1CAMD0017","LAYTONVILLE 1.1 SW, CA US","2011",,"45.57",,,
"US1CAMD0017","LAYTONVILLE 1.1 SW, CA US","2014",,"61.15",,,
"US1CAMD0017","LAYTONVILLE 1.1 SW, CA US","2016",,"79.63",,,
"US1CAMD0007","UKIAH 1.2 NW, CA US","2011",,"31.62",,,
"US1CAMD0007","UKIAH 1.2 NW, CA US","2012",,"44.93",,,
"USR0000CMCG","MCGUIRES CALIFORNIA, CA US","2010",,,,"54.9","65.8"
"USR0000CMCG","MCGUIRES CALIFORNIA, CA US","2011",,,,"54.6","66.3"
"USR0000CMCG","MCGUIRES CALIFORNIA, CA US","2012",,,,"54.9","66.6"
"USR0000CMCG","MCGUIRES CALIFORNIA, CA US","2013",,,,,
"USR0000CMCG","MCGUIRES CALIFORNIA, CA US","2014",,,,"58.0","69.9"
"USR0000CMCG","MCGUIRES CALIFORNIA, CA US","2015",,,,"57.6","69.5"
"USR0000CMCG","MCGUIRES CALIFORNIA, CA US","2016",,,,"56.6","67.7"
"USR0000CMEN","MENDOCINO PASS CALIFORNIA, CA US","2013",,,,"52.0","60.8"
"USR0000CMEN","MENDOCINO PASS CALIFORNIA, CA US","2014",,,,,
"USR0000CMEN","MENDOCINO PASS CALIFORNIA, CA US","2015",,,,"53.4","61.8"
"USR0000CMEN","MENDOCINO PASS CALIFORNIA, CA US","2016",,,,"50.5","58.4"
"USR0000CEEL","EEL RIVER CALIFORNIA, CA US","2010",,,,,
"USR0000CEEL","EEL RIVER CALIFORNIA, CA US","2011",,,,"57.1","73.3"
"USR0000CEEL","EEL RIVER CALIFORNIA, CA US","2012",,,,"58.7","75.8"
"USR0000CEEL","EEL RIVER CALIFORNIA, CA US","2013",,,,"59.1","77.6"
"USR0000CEEL","EEL RIVER CALIFORNIA, CA US","2015",,,,"60.9","77.2"
"USR0000CEEL","EEL RIVER CALIFORNIA, CA US","2016",,,,"59.4","74.3"
"USC00047109","POTTER VALLEY POWERHOUSE, CA US","2010",,"68.40","0.0","57.9","72.5"
"USC00047109","POTTER VALLEY POWERHOUSE, CA US","2011",,,,,
"USC00047109","POTTER VALLEY POWERHOUSE, CA US","2013",,"17.50",,"59.1","76.8"
