"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00045118","LOS BANOS, CA US","2010",,"14.12","0.0","63.2","74.8"
"USC00045118","LOS BANOS, CA US","2011",,"7.00",,"61.9","74.3"
"USC00045118","LOS BANOS, CA US","2012",,"6.57",,,
"USC00045118","LOS BANOS, CA US","2013",,"2.53",,"64.0","77.5"
"USC00045118","LOS BANOS, CA US","2014",,"8.86",,"66.2","79.1"
"USC00045118","LOS BANOS, CA US","2015",,"5.16",,"64.8","77.8"
"USC00045118","LOS BANOS, CA US","2016",,"12.54",,"64.9","77.2"
"USC00045119","LOS BANOS ARBURUA RANCH, CA US","2010",,"11.83","0.0",,
"USC00045119","LOS BANOS ARBURUA RANCH, CA US","2013",,"2.55",,,
"USC00045119","LOS BANOS ARBURUA RANCH, CA US","2014",,"7.91",,,
"USC00045119","LOS BANOS ARBURUA RANCH, CA US","2015",,"6.02",,,
"USC00045119","LOS BANOS ARBURUA RANCH, CA US","2016",,"11.43",,,
"USW00093243","MERCED 23 WSW, CA US","2010",,"13.70",,"58.7","73.8"
"USW00093243","MERCED 23 WSW, CA US","2011",,"9.96",,"58.0","73.5"
"USW00093243","MERCED 23 WSW, CA US","2012",,"7.35",,"60.1","76.8"
"USW00093243","MERCED 23 WSW, CA US","2013",,"2.93",,"59.6","77.1"
"USW00093243","MERCED 23 WSW, CA US","2014",,"10.71",,"62.0","78.9"
"USW00093243","MERCED 23 WSW, CA US","2015",,"4.81",,"60.8","77.8"
"USW00093243","MERCED 23 WSW, CA US","2016",,"13.44",,"60.9","77.4"
"USR0000CLAB","LOS BANOS CALIFORNIA, CA US","2010",,,,"62.9","72.9"
"USR0000CLAB","LOS BANOS CALIFORNIA, CA US","2011",,,,"62.0","72.2"
"USR0000CLAB","LOS BANOS CALIFORNIA, CA US","2012",,,,"64.8","75.5"
"USR0000CLAB","LOS BANOS CALIFORNIA, CA US","2013",,,,"65.0","76.0"
"USR0000CLAB","LOS BANOS CALIFORNIA, CA US","2014",,,,"67.1","77.7"
"USR0000CLAB","LOS BANOS CALIFORNIA, CA US","2015",,,,"65.6","76.2"
"USR0000CLAB","LOS BANOS CALIFORNIA, CA US","2016",,,,"65.5","76.3"
"USR0000CSNL","SAN LUIS NWR CALIFORNIA, CA US","2011",,,,"60.3","74.6"
"USR0000CSNL","SAN LUIS NWR CALIFORNIA, CA US","2012",,,,"62.1","77.4"
"USR0000CSNL","SAN LUIS NWR CALIFORNIA, CA US","2013",,,,"61.8","77.6"
"USR0000CSNL","SAN LUIS NWR CALIFORNIA, CA US","2014",,,,"64.3","79.6"
"USR0000CSNL","SAN LUIS NWR CALIFORNIA, CA US","2015",,,,"62.8","78.0"
"USR0000CSNL","SAN LUIS NWR CALIFORNIA, CA US","2016",,,,"63.1","77.8"
"USC00045532","MERCED, CA US","2010",,"18.28","0.0",,
"USC00046168","NEWMAN, CA US","2010",,"15.13","0.0","63.4","78.7"
"USC00046168","NEWMAN, CA US","2011",,,,"63.8","78.9"
"USC00046168","NEWMAN, CA US","2012",,,,,
"USC00046168","NEWMAN, CA US","2013",,"2.96",,,
"USC00046168","NEWMAN, CA US","2014",,"12.28",,"68.1","84.4"
"USC00046168","NEWMAN, CA US","2015",,"5.11",,"67.2","83.6"
"USC00046168","NEWMAN, CA US","2016",,"15.28",,"66.7","82.6"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","2010","6.0","16.99",,"60.8","73.4"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","2011",,"11.85",,"61.4","75.0"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","2012",,"10.36","0.0","63.9","78.0"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","2013",,"3.80","0.0","62.9","77.6"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","2014","6.5","8.73","0.0","65.8","79.9"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","2015","6.0","6.81","0.0","63.6","77.4"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","2016","5.8","15.21","0.0","63.3","77.3"
