"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USS0020H01S","STATE LINE, CA US","2015",,"20.43",,"48.6","59.1"
"USS0020H01S","STATE LINE, CA US","2016",,"23.76",,"46.7","56.7"
"USS0020H12S","DISMAL SWAMP, CA US","2010",,"62.66",,"38.8","47.7"
"USS0020H12S","DISMAL SWAMP, CA US","2011",,"49.93",,"38.4","47.9"
"USS0020H12S","DISMAL SWAMP, CA US","2012",,"46.65",,"40.4","50.1"
"USS0020H12S","DISMAL SWAMP, CA US","2013",,"27.85",,"40.3","50.6"
"USS0020H12S","DISMAL SWAMP, CA US","2014",,"47.94",,"42.0","51.5"
"USS0020H12S","DISMAL SWAMP, CA US","2015",,"40.15",,"42.5","52.1"
"USS0020H12S","DISMAL SWAMP, CA US","2016",,"53.95",,"40.7","50.0"
"USS0020H02S","CROWDER FLAT, CA US","2010",,"22.53",,"45.1","56.5"
"USS0020H02S","CROWDER FLAT, CA US","2011",,"15.36",,"44.3","56.5"
"USS0020H02S","CROWDER FLAT, CA US","2012",,"18.75",,,
"USS0020H02S","CROWDER FLAT, CA US","2013",,"10.95",,"46.2","58.9"
"USS0020H02S","CROWDER FLAT, CA US","2014",,"17.95",,"49.0","60.7"
"USS0020H02S","CROWDER FLAT, CA US","2015",,"16.35",,"48.8","60.9"
"USS0020H02S","CROWDER FLAT, CA US","2016",,"19.36",,"47.2","58.6"
"USS0020H13S","ADIN MOUNTAIN, CA US","2010",,"35.96",,"41.8","53.7"
"USS0020H13S","ADIN MOUNTAIN, CA US","2011",,"27.26",,"40.6","52.7"
"USS0020H13S","ADIN MOUNTAIN, CA US","2012",,"31.26",,"42.4","55.1"
"USS0020H13S","ADIN MOUNTAIN, CA US","2013",,"13.35",,"41.9","55.3"
"USS0020H13S","ADIN MOUNTAIN, CA US","2014",,"30.54",,"44.7","56.7"
"USS0020H13S","ADIN MOUNTAIN, CA US","2015",,"28.28",,"44.5","56.9"
"USS0020H13S","ADIN MOUNTAIN, CA US","2016",,"30.06",,"43.0","55.1"
"USW00094299","ALTURAS MUNICIPAL AIRPORT, CA US","2010","5.6","12.66",,"47.0","62.1"
"USW00094299","ALTURAS MUNICIPAL AIRPORT, CA US","2011","5.1","10.09",,"45.5","61.6"
"USW00094299","ALTURAS MUNICIPAL AIRPORT, CA US","2012","5.4","10.28",,"47.5","64.7"
"USW00094299","ALTURAS MUNICIPAL AIRPORT, CA US","2013","4.7","6.30",,,
"USW00094299","ALTURAS MUNICIPAL AIRPORT, CA US","2014","5.6","11.19",,"50.4","67.0"
"USW00094299","ALTURAS MUNICIPAL AIRPORT, CA US","2015","5.1","13.19",,"49.9","66.8"
"USW00094299","ALTURAS MUNICIPAL AIRPORT, CA US","2016","5.6","11.26",,"48.8","64.5"
"USR0000CTIM","TIMBER MOUNTAIN CALIFORNIA, CA US","2010",,,,,
"USR0000CTIM","TIMBER MOUNTAIN CALIFORNIA, CA US","2012",,,,"49.3","59.8"
"USR0000CTIM","TIMBER MOUNTAIN CALIFORNIA, CA US","2013",,,,"49.6","60.5"
"USR0000CTIM","TIMBER MOUNTAIN CALIFORNIA, CA US","2014",,,,"52.3","62.8"
"USR0000CTIM","TIMBER MOUNTAIN CALIFORNIA, CA US","2015",,,,"52.3","62.9"
"USR0000CTIM","TIMBER MOUNTAIN CALIFORNIA, CA US","2016",,,,"50.0","59.9"
"USS0020H06S","CEDAR PASS, CA US","2010",,"37.96",,"42.3","49.9"
"USS0020H06S","CEDAR PASS, CA US","2011",,"32.36",,"42.1","49.8"
"USS0020H06S","CEDAR PASS, CA US","2012",,"29.16",,"44.4","52.6"
"USS0020H06S","CEDAR PASS, CA US","2013",,"19.44",,"44.3","52.6"
"USS0020H06S","CEDAR PASS, CA US","2014",,"33.95",,"46.1","53.9"
"USS0020H06S","CEDAR PASS, CA US","2015",,"31.43",,"46.6","54.5"
"USS0020H06S","CEDAR PASS, CA US","2016",,"34.27",,"44.7","52.4"
"USR0000CBRF","BEAR FLAT CALIFORNIA, CA US","2010",,,,"44.5","56.0"
"USR0000CBRF","BEAR FLAT CALIFORNIA, CA US","2011",,,,,
"USR0000CBRF","BEAR FLAT CALIFORNIA, CA US","2012",,,,"46.1","59.0"
"USR0000CBRF","BEAR FLAT CALIFORNIA, CA US","2013",,,,"45.8","59.1"
"USR0000CBRF","BEAR FLAT CALIFORNIA, CA US","2014",,,,,
"USR0000CBRF","BEAR FLAT CALIFORNIA, CA US","2016",,,,"46.5","58.7"
"USC00040161","ALTURAS, CA US","2010",,,"0.0",,
"USR0000CCAN","CANBY CALIFORNIA, CA US","2010",,,,,
"USR0000CCAN","CANBY CALIFORNIA, CA US","2012",,,,"49.2","66.3"
"USR0000CCAN","CANBY CALIFORNIA, CA US","2013",,,,"47.6","65.7"
"USR0000CCAN","CANBY CALIFORNIA, CA US","2014",,,,"51.5","68.4"
"USR0000CCAN","CANBY CALIFORNIA, CA US","2015",,,,,
"USR0000CRUS","RUSH CREEK CALIFORNIA, CA US","2010",,,,,
"USR0000CRUS","RUSH CREEK CALIFORNIA, CA US","2011",,,,"47.9","57.0"
"USR0000CRUS","RUSH CREEK CALIFORNIA, CA US","2012",,,,"50.2","59.5"
