"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00047150","PRIEST VALLEY, CA US","2011",,,,"55.8","73.7"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","2010",,,,"60.0","75.8"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","2011",,,,"59.7","76.6"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","2012",,,,"61.4","79.0"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","2013",,,,"61.9","80.2"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","2014",,,,"64.4","81.4"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","2015",,,,"62.7","80.1"
"USR0000CBDY","BRADLEY CALIFORNIA, CA US","2016",,,,"62.5","79.8"
"US1CAMT0023","BIG SUR 9.5 NNW, CA US","2011",,"38.01",,,
"US1CAMT0023","BIG SUR 9.5 NNW, CA US","2012",,"41.69",,,
"US1CAMT0023","BIG SUR 9.5 NNW, CA US","2013",,"8.97",,,
"US1CAMT0022","CARMEL VALLEY VILLAGE 5.4 WNW, CA US","2011",,"19.04",,,
"US1CAMT0022","CARMEL VALLEY VILLAGE 5.4 WNW, CA US","2012",,"19.52",,,
"US1CAMT0022","CARMEL VALLEY VILLAGE 5.4 WNW, CA US","2013",,"5.53",,,
"USC00044555","KING CITY, CA US","2010",,"15.11","0.0",,
"USC00044555","KING CITY, CA US","2011",,,,,
"USC00044555","KING CITY, CA US","2013",,"1.81",,"60.2","76.2"
"USC00044555","KING CITY, CA US","2014",,"11.62",,"62.7","77.5"
"USC00044555","KING CITY, CA US","2015",,"5.57",,"61.7","77.1"
"USC00044555","KING CITY, CA US","2016",,"10.53",,"61.2","76.3"
"US1CAMT0020","CASTROVILLE 1.6 ENE, CA US","2013",,"3.07",,,
"US1CAMT0020","CASTROVILLE 1.6 ENE, CA US","2014",,"17.89",,,
"US1CAMT0020","CASTROVILLE 1.6 ENE, CA US","2015",,"7.51",,,
"US1CAMT0042","CARMEL VALLEY VILLAGE 12.2 SE, CA US","2016",,"29.62",,,
"USC00047668","SALINAS NUMBER 2, CA US","2010",,"21.67","0.0","57.1","67.4"
"USC00047668","SALINAS NUMBER 2, CA US","2012",,,,,
"USC00047668","SALINAS NUMBER 2, CA US","2014",,"17.35",,"60.2","70.9"
"USC00047668","SALINAS NUMBER 2, CA US","2015",,,,"60.1","71.3"
"USC00047668","SALINAS NUMBER 2, CA US","2016",,,,,
"US1CAMT0041","MARINA 0.8 SSE, CA US","2016",,"19.08",,,
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2010",,"22.81","0.0","55.6","62.4"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2011",,"16.83",,"54.9","61.8"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2012",,"16.25",,"55.1","62.1"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2013",,"4.38",,"55.3","62.9"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2014",,"19.61",,"58.4","65.3"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2015",,"10.43",,"58.3","65.7"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2016",,"19.36",,"57.3","64.1"
"US1CAMT0008","KING CITY 2.0 SSW, CA US","2010",,"16.59",,,
"US1CAMT0008","KING CITY 2.0 SSW, CA US","2012",,"11.87",,,
"US1CAMT0008","KING CITY 2.0 SSW, CA US","2013",,"1.47","0.0",,
"US1CAMT0008","KING CITY 2.0 SSW, CA US","2014",,"12.06",,,
"US1CAMT0007","MONTEREY 1.5 ESE, CA US","2010",,"20.66",,,
"US1CAMT0007","MONTEREY 1.5 ESE, CA US","2011",,"15.90",,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","2010",,"22.76",,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","2011",,"16.13",,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","2012",,"16.96",,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","2013",,"2.77",,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","2014",,"17.43",,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","2015",,"9.07",,,
"US1CAMT0006","CASTROVILLE 1.6 ENE, CA US","2016",,"23.78",,,
"USR0000CBSR","BIG SUR CALIFORNIA, CA US","2010",,,,"57.9","69.1"
"USR0000CBSR","BIG SUR CALIFORNIA, CA US","2011",,,,"57.8","70.1"
"USR0000CBSR","BIG SUR CALIFORNIA, CA US","2012",,,,"58.3","70.4"
"USR0000CBSR","BIG SUR CALIFORNIA, CA US","2015",,,,"61.3","72.4"
"USR0000CBSR","BIG SUR CALIFORNIA, CA US","2016",,,,"59.9","70.5"
"US1CAMT0005","KING CITY 13.2 S, CA US","2010",,"25.33",,,
"US1CAMT0005","KING CITY 13.2 S, CA US","2011",,"22.80",,,
"US1CAMT0005","KING CITY 13.2 S, CA US","2012",,"14.35",,,
"US1CAMT0005","KING CITY 13.2 S, CA US","2014",,"17.44",,,
"US1CAMT0005","KING CITY 13.2 S, CA US","2015",,"7.73",,,
"US1CAMT0005","KING CITY 13.2 S, CA US","2016",,"15.06",,,
"USC00040790","BIG SUR STATION, CA US","2010",,,"0.0",,
"USC00040790","BIG SUR STATION, CA US","2013",,"7.27",,"57.4","70.0"
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","2010",,"22.82",,,
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","2012",,"11.24",,,
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","2013",,"2.12",,,
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","2015",,"4.44","0.0",,
"US1CAMT0003","LOCKWOOD 3.6 NW, CA US","2016",,"11.65",,,
"US1CAMT0002","CARMEL VALLEY VILLAGE 0.8 SSW, CA US","2011",,"12.46","0.5",,
"US1CAMT0002","CARMEL VALLEY VILLAGE 0.8 SSW, CA US","2012",,"19.81","0.0",,
"USR0000CHAS","HASTINGS CALIFORNIA, CA US","2010",,,,"57.1","68.1"
"USR0000CHAS","HASTINGS CALIFORNIA, CA US","2011",,,,,
"USR0000CHAS","HASTINGS CALIFORNIA, CA US","2012",,,,"58.6","70.3"
"USR0000CHAS","HASTINGS CALIFORNIA, CA US","2013",,,,"59.2","71.4"
"USR0000CHAS","HASTINGS CALIFORNIA, CA US","2014",,,,"61.3","73.1"
"USR0000CHAS","HASTINGS CALIFORNIA, CA US","2015",,,,"60.5","72.3"
"USR0000CHAS","HASTINGS CALIFORNIA, CA US","2016",,,,"59.9","71.0"
"USW00023259","MONTEREY PENINSUL AIRPORT, CA US","2010","5.4","23.59",,"55.9","63.4"
"USW00023259","MONTEREY PENINSUL AIRPORT, CA US","2011","5.4","16.71",,"55.7","63.6"
"USW00023259","MONTEREY PENINSUL AIRPORT, CA US","2012","5.6","15.92","0.0","56.0","63.8"
"USW00023259","MONTEREY PENINSUL AIRPORT, CA US","2013","5.1","4.44","0.0","56.3","64.7"
