"STATION","NAME","DATE","AWND","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","2011",,,"27.97",,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","2014",,,"36.91",,,,
"USC00041312","CALISTOGA, CA US","2010",,,,"0.0",,,
"USC00041312","CALISTOGA, CA US","2011",,,,,"58.3","74.0",
"USC00041312","CALISTOGA, CA US","2012",,,,,"58.9","75.5",
"USC00041312","CALISTOGA, CA US","2013",,,"6.45",,"59.3","77.0",
"USC00041312","CALISTOGA, CA US","2014",,,"33.72",,"61.9","75.2",
"USC00041312","CALISTOGA, CA US","2015",,,"19.28",,"61.5","76.1",
"USC00041312","CALISTOGA, CA US","2016",,,"45.17",,"60.7","73.3",
"USC00046074","NAPA STATE HOSPITAL, CA US","2010",,,"36.23","0.0","59.2","70.8",
"USC00046074","NAPA STATE HOSPITAL, CA US","2011",,,,,"58.7","70.8",
"USC00046074","NAPA STATE HOSPITAL, CA US","2012",,,"32.15",,"59.9","72.9",
"USC00046074","NAPA STATE HOSPITAL, CA US","2013",,,"6.76",,"60.1","74.3",
"USC00046074","NAPA STATE HOSPITAL, CA US","2014",,,"33.19",,"62.5","75.2",
"USC00046074","NAPA STATE HOSPITAL, CA US","2015",,,"11.74",,"61.7","74.9",
"USC00046074","NAPA STATE HOSPITAL, CA US","2016",,,"29.69",,"60.9","73.0",
"USC00045360","MARKLEY COVE, CA US","2010",,"43.3","34.45","0.0","59.9","73.8","4990.9"
"USC00045360","MARKLEY COVE, CA US","2011",,"44.7","29.31",,"59.3","73.7","7820.6"
"USC00045360","MARKLEY COVE, CA US","2012",,"53.5","36.93",,"61.1","76.4","8666.9"
"USC00045360","MARKLEY COVE, CA US","2013",,"54.5","5.22",,"61.0","77.0","7877.7"
"USC00045360","MARKLEY COVE, CA US","2014",,"57.2","25.93","0.0","63.2","78.3","8625.3"
"USC00045360","MARKLEY COVE, CA US","2015",,"54.7","12.02","0.0","62.6","77.8","9276.5"
"USC00045360","MARKLEY COVE, CA US","2016",,"50.7","25.62",,"61.6","76.3","9477.2"
"USW00093227","NAPA CO AIRPORT, CA US","2010","7.2",,"29.08",,"56.0","67.4",
"USW00093227","NAPA CO AIRPORT, CA US","2011","7.2",,"19.42",,"55.7","67.8",
"USW00093227","NAPA CO AIRPORT, CA US","2012","7.2",,"22.15",,"57.0","69.9",
"USW00093227","NAPA CO AIRPORT, CA US","2013","7.2",,"4.17",,"57.1","71.3",
"USW00093227","NAPA CO AIRPORT, CA US","2014","7.4",,"20.96",,"58.7","71.4",
"USW00093227","NAPA CO AIRPORT, CA US","2015","7.6",,"8.30",,"58.0","70.9",
"USW00093227","NAPA CO AIRPORT, CA US","2016","7.4",,"23.63",,"58.3","70.2",
"USC00040212","ANGWIN PACIFIC UNION COLLEGE, CA US","2010",,,"52.44","0.0","55.5","66.0",
"USC00040212","ANGWIN PACIFIC UNION COLLEGE, CA US","2012",,,,,"57.2","68.7",
"USC00040212","ANGWIN PACIFIC UNION COLLEGE, CA US","2013",,,"8.77",,"58.4","70.3",
"USC00040212","ANGWIN PACIFIC UNION COLLEGE, CA US","2014",,,"43.98",,"59.8","71.3",
"USC00040212","ANGWIN PACIFIC UNION COLLEGE, CA US","2015",,,"18.81",,"59.6","71.5",
"USC00040212","ANGWIN PACIFIC UNION COLLEGE, CA US","2016",,,"46.08",,"58.2","69.1",
"USC00047643","SAINT HELENA, CA US","2010",,,"51.02","0.0","59.7","71.3",
"USC00047643","SAINT HELENA, CA US","2011",,,,,"59.6","71.9",
"USC00047643","SAINT HELENA, CA US","2012",,,,,,,
"USC00047643","SAINT HELENA, CA US","2013",,,"4.72",,"61.8","76.3",
"USC00047643","SAINT HELENA, CA US","2014",,,"37.93",,"63.3","76.7",
"USC00047643","SAINT HELENA, CA US","2015",,,"13.20",,"63.1","77.1",
"USC00047643","SAINT HELENA, CA US","2016",,,"33.18",,"61.9","74.7",
