"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2010","6.3","83.69",,"41.4","48.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2011","6.3","53.38",,"41.4","48.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2012","6.7","70.37",,"43.5","50.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2013","6.0","23.18",,"43.9","51.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2014","6.9","48.35",,"45.0","51.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2015","6.0","43.08",,"44.9","51.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2016","6.9","73.15",,"44.2","51.0"
"USR0000CDUN","DUNCAN CALIFORNIA, CA US","39.1439","-120.5089","2164.1","2010",,,,,
"USR0000CDUN","DUNCAN CALIFORNIA, CA US","39.1439","-120.5089","2164.1","2015",,,,,
"USC00041912","COLFAX, CA US","39.0911","-120.948","725.4","2010",,"52.55","8.9","58.6","69.2"
"USC00041912","COLFAX, CA US","39.0911","-120.948","725.4","2011",,"32.19",,"58.3","69.4"
"USC00041912","COLFAX, CA US","39.0911","-120.948","725.4","2012",,"60.25",,"60.4","72.8"
"USC00041912","COLFAX, CA US","39.0911","-120.948","725.4","2013",,"12.92",,,
"USC00041912","COLFAX, CA US","39.0911","-120.948","725.4","2014",,"46.19",,"62.7","75.4"
"USC00041912","COLFAX, CA US","39.0911","-120.948","725.4","2015",,"25.72",,"62.8","76.3"
"USC00041912","COLFAX, CA US","39.0911","-120.948","725.4","2016",,"57.39",,"60.5","73.1"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2010",,"55.26",,"44.5","54.9"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2011",,"32.98",,"44.3","54.8"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2012",,"44.78",,"46.6","57.4"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2013",,"11.38",,"46.6","57.8"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2014",,"30.95",,"47.9","58.4"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2015",,"29.47",,"47.8","58.5"
"USS0020K27S","TAHOE CITY CROSS, CA US","39.17","-120.15","2071.7","2016",,"47.67",,"47.0","57.6"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2010",,"92.78",,"42.7","55.4"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2011",,"60.18",,"42.5","55.8"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2012",,"81.18",,"44.6","57.8"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2013",,"22.26",,"44.5","58.6"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2014",,"56.38",,"46.0","59.1"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2015",,"50.48",,"45.8","59.0"
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","2016",,"86.57",,"45.2","58.2"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2010",,,,"61.2","74.0"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2011",,,,"60.5","73.8"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2012",,,,"62.4","76.5"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2013",,,,"62.3","77.7"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2014",,,,"64.7","78.8"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2015",,,,"63.7","77.9"
"USR0000CLIN","LINCOLN CALIFORNIA, CA US","38.8825","-121.2683","61.0","2016",,,,"63.1","76.8"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2010",,"49.07",,"45.4","56.0"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2011",,"34.17",,"44.9","55.9"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2012",,"41.34",,"47.6","58.7"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2013",,"8.67",,"47.2","58.9"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2014",,"28.25",,"49.1","60.4"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2015",,"27.47",,"48.7","60.0"
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","2016",,"42.98",,"47.8","58.8"
"USW00023225","BLUE CANYON AIRPORT, CA US","39.2774","-120.7102","1608.1","2010","5.8","76.29",,"50.3","56.4"
"USW00023225","BLUE CANYON AIRPORT, CA US","39.2774","-120.7102","1608.1","2011",,,,,
"USW00023225","BLUE CANYON AIRPORT, CA US","39.2774","-120.7102","1608.1","2012","6.0","73.85",,"52.8","59.3"
"USW00023225","BLUE CANYON AIRPORT, CA US","39.2774","-120.7102","1608.1","2013","5.4","21.54",,"53.8","61.0"
"USW00023225","BLUE CANYON AIRPORT, CA US","39.2774","-120.7102","1608.1","2014","6.0","62.33",,"54.7","61.4"
"USW00023225","BLUE CANYON AIRPORT, CA US","39.2774","-120.7102","1608.1","2015","5.6","31.59",,"54.8","61.7"
"USW00023225","BLUE CANYON AIRPORT, CA US","39.2774","-120.7102","1608.1","2016","6.3","86.01",,"52.6","59.2"
"US1CAPC0013","NEWCASTLE 1.6 SSE, CA US","38.851","-121.123","243.8","2012",,"36.62",,,
"US1CAPC0013","NEWCASTLE 1.6 SSE, CA US","38.851","-121.123","243.8","2015",,"15.42",,,
"US1CAPC0024","APPLEGATE 0.5 SE, CA US","38.9962","-120.986","604.4","2015",,"25.43",,,
