"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2010","48.87","168.0","47.4","59.4"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2011","32.14","181.6","46.7","59.4"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2012",,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2015","23.34",,"51.5","65.5"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","2016","46.04","54.6","50.3","63.5"
"USR0000CPIE","PIERCE CALIFORNIA, CA US","40.2461","-120.6422","1737.4","2010",,,"47.5","58.3"
"USR0000CPIE","PIERCE CALIFORNIA, CA US","40.2461","-120.6422","1737.4","2011",,,"47.2","58.4"
"USR0000CPIE","PIERCE CALIFORNIA, CA US","40.2461","-120.6422","1737.4","2012",,,"49.4","60.7"
"USR0000CPIE","PIERCE CALIFORNIA, CA US","40.2461","-120.6422","1737.4","2013",,,,
"USR0000CPIE","PIERCE CALIFORNIA, CA US","40.2461","-120.6422","1737.4","2015",,,,
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2010","17.67","78.9","47.1","61.8"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2011","13.96","75.6","47.0","62.2"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2013","5.57",,"48.8","64.8"
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2014",,,,
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2015","14.36","40.3",,
"USC00049351","VINTON, CA US","39.8056","-120.1858","1508.8","2016","19.09","42.0",,
"USC00041159","BUCKS CREEK, CA US","39.9372","-121.3147","576.4","2010","80.93","0.0",,
"USC00041159","BUCKS CREEK, CA US","39.9372","-121.3147","576.4","2013","14.41",,,
"USC00041159","BUCKS CREEK, CA US","39.9372","-121.3147","576.4","2015","33.67",,,
"USC00041159","BUCKS CREEK, CA US","39.9372","-121.3147","576.4","2016","80.63","0.0",,
"USC00041700","CHESTER, CA US","40.3033","-121.2422","1380.7","2010","42.46",,"46.8","59.9"
"USC00041700","CHESTER, CA US","40.3033","-121.2422","1380.7","2011",,,"46.2","60.2"
"USC00041700","CHESTER, CA US","40.3033","-121.2422","1380.7","2012","41.69",,"47.8","62.5"
"USC00041700","CHESTER, CA US","40.3033","-121.2422","1380.7","2013","10.31",,"47.8","63.7"
"USC00041700","CHESTER, CA US","40.3033","-121.2422","1380.7","2014","34.49","12.2","50.3","65.0"
"USC00041700","CHESTER, CA US","40.3033","-121.2422","1380.7","2015","18.68","18.4","50.3","65.5"
"USC00041700","CHESTER, CA US","40.3033","-121.2422","1380.7","2016","46.28","105.2","48.5","62.7"
