"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USR0000CTM2","TEMESCAL CNF CALIFORNIA, CA US","33.7625","-117.4828","342.9","2010",,,,,
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2013",,"5.48",,"67.1","81.4"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2014",,"7.22",,"69.4","83.7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2015",,"7.37",,"68.6","81.7"
"USC00047470","RIVERSIDE FIRE STATION 3, CA US","33.9511","-117.388","256.0","2016",,"9.87",,,
"USR0000CLHO","LOST HORSE CALIFORNIA, CA US","34.0178","-116.1878","1280.2","2010",,,,"59.0","72.6"
"USR0000CLHO","LOST HORSE CALIFORNIA, CA US","34.0178","-116.1878","1280.2","2011",,,,"58.6","73.0"
"USR0000CLHO","LOST HORSE CALIFORNIA, CA US","34.0178","-116.1878","1280.2","2012",,,,"60.7","74.6"
"USR0000CLHO","LOST HORSE CALIFORNIA, CA US","34.0178","-116.1878","1280.2","2013",,,,"59.5","72.4"
"USR0000CLHO","LOST HORSE CALIFORNIA, CA US","34.0178","-116.1878","1280.2","2014",,,,"61.8","74.7"
"USR0000CLHO","LOST HORSE CALIFORNIA, CA US","34.0178","-116.1878","1280.2","2015",,,,"60.5","73.1"
"USR0000CLHO","LOST HORSE CALIFORNIA, CA US","34.0178","-116.1878","1280.2","2016",,,,"60.9","73.8"
"USR0000CCOA","CORONA CALIFORNIA, CA US","33.8744","-117.5492","195.1","2010",,,,"65.6","78.4"
"USR0000CCOA","CORONA CALIFORNIA, CA US","33.8744","-117.5492","195.1","2011",,,,,
"USC00042410","DESERT CENTER 2 NNE, CA US","33.7377","-115.3925","227.7","2010",,,"0.0",,
"USC00044259","INDIO FIRE STATION, CA US","33.7086","-116.2152","-6.4","2010",,"5.08","0.0",,
"USC00044259","INDIO FIRE STATION, CA US","33.7086","-116.2152","-6.4","2011",,"1.48",,"73.5","86.0"
"USC00044259","INDIO FIRE STATION, CA US","33.7086","-116.2152","-6.4","2012",,"1.83",,"76.3","88.3"
"USC00044259","INDIO FIRE STATION, CA US","33.7086","-116.2152","-6.4","2013",,"2.42",,"76.5","88.1"
"USC00044259","INDIO FIRE STATION, CA US","33.7086","-116.2152","-6.4","2014",,"0.59",,"78.0","89.6"
"USC00044259","INDIO FIRE STATION, CA US","33.7086","-116.2152","-6.4","2015",,"1.11",,"77.3","88.6"
"USC00044259","INDIO FIRE STATION, CA US","33.7086","-116.2152","-6.4","2016",,"2.64",,"77.7","88.9"
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","2010",,,,"72.6","86.9"
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","2011",,,,"72.7","87.7"
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","2012",,,,"74.5","90.0"
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","2013",,,,"72.9","87.9"
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","2014",,,,"74.9","89.9"
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","2015",,,,"74.7","89.0"
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","2016",,,,"74.7","88.6"
"USC00042598","EAGLE MOUNTAIN, CA US","33.8089","-115.4508","296.6","2010",,"6.70","0.0",,
"USC00042598","EAGLE MOUNTAIN, CA US","33.8089","-115.4508","296.6","2011",,"1.65",,"72.3","82.7"
"USC00042598","EAGLE MOUNTAIN, CA US","33.8089","-115.4508","296.6","2012",,"4.59",,"74.0","84.5"
"USC00042598","EAGLE MOUNTAIN, CA US","33.8089","-115.4508","296.6","2013",,"4.63",,"73.3","83.4"
"USC00042598","EAGLE MOUNTAIN, CA US","33.8089","-115.4508","296.6","2014",,"1.99",,"75.1","85.3"
"USC00042598","EAGLE MOUNTAIN, CA US","33.8089","-115.4508","296.6","2015",,"4.33",,"74.2","84.1"
"USR0000CKEE","KEENWILD CALIFORNIA, CA US","33.6667","-116.7667","1499.6","2010",,,,"56.6","69.1"
"USR0000CKEE","KEENWILD CALIFORNIA, CA US","33.6667","-116.7667","1499.6","2011",,,,"57.1","70.5"
"USR0000CKEE","KEENWILD CALIFORNIA, CA US","33.6667","-116.7667","1499.6","2012",,,,"59.7","73.5"
"USR0000CKEE","KEENWILD CALIFORNIA, CA US","33.6667","-116.7667","1499.6","2013",,,,"59.2","72.5"
"USR0000CKEE","KEENWILD CALIFORNIA, CA US","33.6667","-116.7667","1499.6","2014",,,,"60.7","73.1"
"USR0000CKEE","KEENWILD CALIFORNIA, CA US","33.6667","-116.7667","1499.6","2015",,,,"59.3","70.1"
"USR0000CKEE","KEENWILD CALIFORNIA, CA US","33.6667","-116.7667","1499.6","2016",,,,"59.4","70.5"
"USC00045502","MECCA FIRE STATION, CA US","33.5697","-116.073","-55.8","2013",,"1.57",,"74.5","90.6"
"USC00045502","MECCA FIRE STATION, CA US","33.5697","-116.073","-55.8","2014",,"0.45",,"76.0","92.1"
"USC00045502","MECCA FIRE STATION, CA US","33.5697","-116.073","-55.8","2015",,"1.60",,"75.5","90.8"
"USC00045502","MECCA FIRE STATION, CA US","33.5697","-116.073","-55.8","2016",,"3.80",,"75.1","90.4"
"USC00046635","PALM SPRINGS, CA US","33.8275","-116.5097","129.5","2010",,"11.15","0.0",,
"USC00046635","PALM SPRINGS, CA US","33.8275","-116.5097","129.5","2013",,"2.59",,"75.1","88.6"
"USC00046635","PALM SPRINGS, CA US","33.8275","-116.5097","129.5","2014",,,,,
"USC00046635","PALM SPRINGS, CA US","33.8275","-116.5097","129.5","2015",,"2.98",,,
"USC00046635","PALM SPRINGS, CA US","33.8275","-116.5097","129.5","2016",,"5.40",,,
"US1CARV0005","HEMET 4.1 ENE, CA US","33.7527","-116.9196","517.6","2010",,"21.72",,,
"US1CARV0005","HEMET 4.1 ENE, CA US","33.7527","-116.9196","517.6","2011",,"9.77",,,
"US1CARV0005","HEMET 4.1 ENE, CA US","33.7527","-116.9196","517.6","2012",,"8.11",,,
"US1CARV0005","HEMET 4.1 ENE, CA US","33.7527","-116.9196","517.6","2013",,"5.72",,,
"US1CARV0005","HEMET 4.1 ENE, CA US","33.7527","-116.9196","517.6","2014",,"13.13",,,
"US1CARV0005","HEMET 4.1 ENE, CA US","33.7527","-116.9196","517.6","2015",,"8.84",,,
"US1CARV0005","HEMET 4.1 ENE, CA US","33.7527","-116.9196","517.6","2016",,"10.35",,,
"USW00003171","RIVERSIDE MUNICIPAL AIRPORT, CA US","33.95194","-117.43861","245.2","2010",,"16.42",,,
"USW00003171","RIVERSIDE MUNICIPAL AIRPORT, CA US","33.95194","-117.43861","245.2","2011","4.5","6.90",,"65.4","78.6"
"USW00003171","RIVERSIDE MUNICIPAL AIRPORT, CA US","33.95194","-117.43861","245.2","2012","4.3","4.77",,"67.7","80.9"
"USW00003171","RIVERSIDE MUNICIPAL AIRPORT, CA US","33.95194","-117.43861","245.2","2013","4.3","3.40","0.0",,
"USW00003171","RIVERSIDE MUNICIPAL AIRPORT, CA US","33.95194","-117.43861","245.2","2014","4.7","5.34","0.0","69.1","82.3"
"USW00003171","RIVERSIDE MUNICIPAL AIRPORT, CA US","33.95194","-117.43861","245.2","2015","4.7","7.51",,"68.8","81.9"
"USW00003171","RIVERSIDE MUNICIPAL AIRPORT, CA US","33.95194","-117.43861","245.2","2016","4.9","9.54",,"68.6","81.7"
"US1CARV0008","CORONA 12.8 SE, CA US","33.7307","-117.4276","427.9","2010",,"29.85",,,
"US1CARV0008","CORONA 12.8 SE, CA US","33.7307","-117.4276","427.9","2011",,"11.77",,,
"US1CARV0008","CORONA 12.8 SE, CA US","33.7307","-117.4276","427.9","2012",,"8.71",,,
"US1CARV0008","CORONA 12.8 SE, CA US","33.7307","-117.4276","427.9","2013",,"4.69",,,
"US1CARV0008","CORONA 12.8 SE, CA US","33.7307","-117.4276","427.9","2014",,"10.98",,,
"US1CARV0008","CORONA 12.8 SE, CA US","33.7307","-117.4276","427.9","2015",,"7.13",,,
"US1CARV0008","CORONA 12.8 SE, CA US","33.7307","-117.4276","427.9","2016",,"12.45",,,
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.7631","-116.735","1927.9","2010",,"43.12",,,
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.7631","-116.735","1927.9","2011",,"21.81","90.9",,
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.7631","-116.735","1927.9","2012",,"23.38",,,
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.7631","-116.735","1927.9","2014",,"20.67","11.8",,
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.7631","-116.735","1927.9","2015",,"22.04",,,
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.7631","-116.735","1927.9","2016",,"24.29","24.3",,
"USC00044211","IDYLLWILD FIRE DEPARTMENT, CA US","33.7572","-116.7066","1639.8","2010",,"35.31","23.9","53.0","67.4"
"USC00044211","IDYLLWILD FIRE DEPARTMENT, CA US","33.7572","-116.7066","1639.8","2012",,"18.93","37.1","55.3","69.5"
"USC00044211","IDYLLWILD FIRE DEPARTMENT, CA US","33.7572","-116.7066","1639.8","2013",,"16.07",,"55.7","69.0"
"USC00044211","IDYLLWILD FIRE DEPARTMENT, CA US","33.7572","-116.7066","1639.8","2014",,"18.85",,"58.0","71.1"
"USC00044211","IDYLLWILD FIRE DEPARTMENT, CA US","33.7572","-116.7066","1639.8","2015",,"22.81",,"55.2","68.2"
"USC00044211","IDYLLWILD FIRE DEPARTMENT, CA US","33.7572","-116.7066","1639.8","2016",,"25.26",,"55.0","68.3"
"US1CARV0020","NORCO 2.3 SE, CA US","33.9059","-117.5178","332.5","2010",,"17.56",,,
"US1CARV0020","NORCO 2.3 SE, CA US","33.9059","-117.5178","332.5","2012",,"5.72",,,
"US1CARV0020","NORCO 2.3 SE, CA US","33.9059","-117.5178","332.5","2013",,"4.13",,,
"US1CARV0020","NORCO 2.3 SE, CA US","33.9059","-117.5178","332.5","2014",,"7.29",,,
"US1CARV0020","NORCO 2.3 SE, CA US","33.9059","-117.5178","332.5","2015",,"7.27",,,
"US1CARV0020","NORCO 2.3 SE, CA US","33.9059","-117.5178","332.5","2016",,"8.29",,,
"US1CARV0021","RIVERSIDE 2.6 E, CA US","33.9354","-117.3526","396.5","2011",,"7.26",,,
"US1CARV0021","RIVERSIDE 2.6 E, CA US","33.9354","-117.3526","396.5","2013",,"5.55",,,
"US1CARV0043","MURRIETA 3.6 NNE, CA US","33.6081","-117.1878","525.2","2016",,"12.49",,,
"USR0000CELC","EL CARISO CALIFORNIA, CA US","33.6472","-117.4111","926.0","2010",,,,,
"USR0000CELC","EL CARISO CALIFORNIA, CA US","33.6472","-117.4111","926.0","2012",,,,"65.9","77.0"
"USR0000CELC","EL CARISO CALIFORNIA, CA US","33.6472","-117.4111","926.0","2013",,,,"65.2","76.3"
"USR0000CELC","EL CARISO CALIFORNIA, CA US","33.6472","-117.4111","926.0","2014",,,,"67.5","79.2"
"USR0000CELC","EL CARISO CALIFORNIA, CA US","33.6472","-117.4111","926.0","2015",,,,"66.6","77.5"
"USR0000CELC","EL CARISO CALIFORNIA, CA US","33.6472","-117.4111","926.0","2016",,,,"66.4","77.2"
