"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"US1CASA0031","FOLSOM 0.5 W, CA US","38.6754","-121.1556","102.1","2015",,"11.70",,,
"USW00023232","SACRAMENTO EXECUTIVE AIRPORT, CA US","38.5069","-121.495","4.6","2010","5.6","22.87",,"60.7","72.7"
"USW00023232","SACRAMENTO EXECUTIVE AIRPORT, CA US","38.5069","-121.495","4.6","2011","5.4","16.95",,"60.2","72.7"
"USW00023232","SACRAMENTO EXECUTIVE AIRPORT, CA US","38.5069","-121.495","4.6","2012","5.4","21.16",,"61.7","74.9"
"USW00023232","SACRAMENTO EXECUTIVE AIRPORT, CA US","38.5069","-121.495","4.6","2013","5.4","5.81",,"61.8","76.0"
"USW00023232","SACRAMENTO EXECUTIVE AIRPORT, CA US","38.5069","-121.495","4.6","2014","5.1","18.75",,"64.3","77.3"
"USW00023232","SACRAMENTO EXECUTIVE AIRPORT, CA US","38.5069","-121.495","4.6","2015","5.1","8.53",,"63.8","77.0"
"USW00023232","SACRAMENTO EXECUTIVE AIRPORT, CA US","38.5069","-121.495","4.6","2016","5.6","22.20",,"62.6","75.3"
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","38.5753","-121.34","19.5","2011",,"20.39",,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","38.5753","-121.34","19.5","2012",,"25.90",,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","38.5753","-121.34","19.5","2013",,"6.42",,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","38.5753","-121.34","19.5","2014",,"21.68",,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","38.5753","-121.34","19.5","2015",,"9.01",,,
"US1CASA0030","LA RIVIERA 1.0 NE, CA US","38.5753","-121.34","19.5","2016",,"25.06",,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2011",,"18.80",,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2012",,"28.42",,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2014",,"23.16",,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2015",,"10.28",,,
"US1CASA0002","SACRAMENTO 8.0 NE, CA US","38.635","-121.3611","29.0","2016",,"26.19",,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","38.5499","-121.4374","10.4","2011",,"19.01",,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","38.5499","-121.4374","10.4","2012",,"26.36",,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","38.5499","-121.4374","10.4","2013",,"7.54",,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","38.5499","-121.4374","10.4","2014",,"22.94",,,
"US1CASA0012","SACRAMENTO 2.0 SE, CA US","38.5499","-121.4374","10.4","2015",,"9.54",,,
"US1CASA0023","SACRAMENTO 5.7 SSE, CA US","38.4928","-121.4195","8.5","2011",,"16.15",,,
"US1CASA0045","FAIR OAKS 3.0 WNW, CA US","38.6619","-121.3002","52.7","2016",,"26.84",,,
"USC00047370","REPRESA, CA US","38.6944","-121.1611","89.9","2010",,"24.97","0.0",,
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","2010",,"22.39","0.0","62.0","73.1"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","2011",,"17.53","0.0","61.5","73.4"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","2012",,"22.67","0.0","63.5","76.3"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","2013",,"6.13",,"63.6","77.3"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","2014",,"18.45",,"65.8","78.5"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","2015",,"8.17",,"65.1","77.8"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","2016",,"22.88",,"64.6","77.0"
"US1CASA0015","SACRAMENTO 4.1 NE, CA US","38.6086","-121.4122","14.0","2010",,"24.69",,,
"US1CASA0015","SACRAMENTO 4.1 NE, CA US","38.6086","-121.4122","14.0","2011",,"18.08",,,
"US1CASA0015","SACRAMENTO 4.1 NE, CA US","38.6086","-121.4122","14.0","2012",,"25.19",,,
"US1CASA0003","FOLSOM 3.4 ESE, CA US","38.6546","-121.0907","181.1","2010",,"34.23",,,
"US1CASA0003","FOLSOM 3.4 ESE, CA US","38.6546","-121.0907","181.1","2011",,"26.26",,,
"US1CASA0003","FOLSOM 3.4 ESE, CA US","38.6546","-121.0907","181.1","2012",,"35.17",,,
"US1CASA0003","FOLSOM 3.4 ESE, CA US","38.6546","-121.0907","181.1","2013",,"7.11",,,
"US1CASA0039","FAIR OAKS 1.9 N, CA US","38.6762","-121.2518","60.7","2014",,"28.34",,,
"US1CASA0039","FAIR OAKS 1.9 N, CA US","38.6762","-121.2518","60.7","2015",,"10.99",,,
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.69556","-121.58972","7.0","2010","7.6","22.44",,"60.4","72.5"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.69556","-121.58972","7.0","2011","7.2","16.61",,"59.8","72.5"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.69556","-121.58972","7.0","2012","7.4","20.48",,"62.2","75.8"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.69556","-121.58972","7.0","2013","7.2","5.43",,"61.6","76.3"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.69556","-121.58972","7.0","2014","6.9","16.59",,"63.7","77.5"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.69556","-121.58972","7.0","2015","7.2","7.52",,"62.7","76.5"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.69556","-121.58972","7.0","2016","7.6","19.76",,"62.1","75.3"
"US1CASA0005","CARMICHAEL 0.9 NE, CA US","38.6429","-121.3059","39.6","2010",,"25.37",,,
"US1CASA0005","CARMICHAEL 0.9 NE, CA US","38.6429","-121.3059","39.6","2011",,"20.78",,,
"US1CASA0005","CARMICHAEL 0.9 NE, CA US","38.6429","-121.3059","39.6","2012",,"25.97",,,
"US1CASA0005","CARMICHAEL 0.9 NE, CA US","38.6429","-121.3059","39.6","2014",,"21.69",,,
"US1CASA0005","CARMICHAEL 0.9 NE, CA US","38.6429","-121.3059","39.6","2015",,"8.85",,,
"US1CASA0005","CARMICHAEL 0.9 NE, CA US","38.6429","-121.3059","39.6","2016",,"24.57",,,
"US1CASA0007","FOLSOM 1.2 SSE, CA US","38.66","-121.1395","110.3","2010",,"31.53",,,
"US1CASA0007","FOLSOM 1.2 SSE, CA US","38.66","-121.1395","110.3","2011",,"23.93",,,
"US1CASA0007","FOLSOM 1.2 SSE, CA US","38.66","-121.1395","110.3","2012",,"31.96",,,
"US1CASA0007","FOLSOM 1.2 SSE, CA US","38.66","-121.1395","110.3","2013",,"6.59",,,
"US1CASA0007","FOLSOM 1.2 SSE, CA US","38.66","-121.1395","110.3","2014",,"27.89",,,
"US1CASA0007","FOLSOM 1.2 SSE, CA US","38.66","-121.1395","110.3","2015",,"12.07",,,
"US1CASA0007","FOLSOM 1.2 SSE, CA US","38.66","-121.1395","110.3","2016",,"30.43",,,
"US1CASA0029","FOLSOM 0.6 NE, CA US","38.6823","-121.1375","121.6","2013",,"6.76",,,
"US1CASA0029","FOLSOM 0.6 NE, CA US","38.6823","-121.1375","121.6","2015",,"13.80",,,
