"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX"
"US1CAST0004","HOLLISTER 5.4 NNE, CA US","2010","15.76",,,
"US1CAST0004","HOLLISTER 5.4 NNE, CA US","2011","12.29",,,
"US1CAST0004","HOLLISTER 5.4 NNE, CA US","2012","14.57",,,
"US1CAST0004","HOLLISTER 5.4 NNE, CA US","2013","2.81",,,
"US1CAST0004","HOLLISTER 5.4 NNE, CA US","2014","13.66",,,
"US1CAST0004","HOLLISTER 5.4 NNE, CA US","2015","7.83",,,
"US1CAST0004","HOLLISTER 5.4 NNE, CA US","2016","17.98",,,
"US1CAST0005","HOLLISTER 2.1 ESE, CA US","2010","19.19",,,
"US1CAST0005","HOLLISTER 2.1 ESE, CA US","2011","10.80",,,
"US1CAST0005","HOLLISTER 2.1 ESE, CA US","2012","14.76",,,
"US1CAST0005","HOLLISTER 2.1 ESE, CA US","2013","3.87",,,
"US1CAST0005","HOLLISTER 2.1 ESE, CA US","2014","13.28",,,
"US1CAST0005","HOLLISTER 2.1 ESE, CA US","2015","8.89",,,
"US1CAST0005","HOLLISTER 2.1 ESE, CA US","2016","13.28",,,
"US1CAST0006","HOLLISTER 0.3 WSW, CA US","2015","9.12",,,
"USC00046926","PINNACLES NM, CA US","2010",,"0.0",,
"USC00046926","PINNACLES NM, CA US","2015","10.08",,,
"USC00046926","PINNACLES NM, CA US","2016","15.51",,,"79.2"
"USR0000CPNN","PINNACLES CALIFORNIA, CA US","2010",,,"62.4","78.4"
"USR0000CPNN","PINNACLES CALIFORNIA, CA US","2011",,,"60.5","77.5"
"USR0000CPNN","PINNACLES CALIFORNIA, CA US","2012",,,"62.4","79.9"
"USR0000CPNN","PINNACLES CALIFORNIA, CA US","2013",,,"62.8","81.3"
"USR0000CPNN","PINNACLES CALIFORNIA, CA US","2014",,,"65.1","82.6"
"USR0000CPNN","PINNACLES CALIFORNIA, CA US","2015",,,"63.3","79.9"
"USR0000CPNN","PINNACLES CALIFORNIA, CA US","2016",,,"62.8","78.8"
"US1CAST0002","SAN JUAN BAUTISTA 0.5 S, CA US","2011","14.89",,,
"US1CAST0002","SAN JUAN BAUTISTA 0.5 S, CA US","2014","15.90",,,
"US1CAST0002","SAN JUAN BAUTISTA 0.5 S, CA US","2015","11.31",,,
"US1CAST0002","SAN JUAN BAUTISTA 0.5 S, CA US","2016","21.80",,,
"USR0000CHLR","HOLLISTER CALIFORNIA, CA US","2010",,,"57.9","70.0"
"USR0000CHLR","HOLLISTER CALIFORNIA, CA US","2011",,,"57.5","70.1"
"USR0000CHLR","HOLLISTER CALIFORNIA, CA US","2012",,,"58.7","71.7"
"USR0000CHLR","HOLLISTER CALIFORNIA, CA US","2013",,,"59.3","73.1"
"USR0000CHLR","HOLLISTER CALIFORNIA, CA US","2014",,,"61.9","74.5"
"USR0000CHLR","HOLLISTER CALIFORNIA, CA US","2015",,,"60.8","73.8"
"USR0000CHLR","HOLLISTER CALIFORNIA, CA US","2016",,,"60.1","72.5"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","2010",,,"54.0","62.5"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","2011",,,"54.8","63.4"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","2012",,,"56.5","65.2"
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","2013",,,,
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","2016",,,"56.7","64.4"
"USC00044025","HOLLISTER 2, CA US","2010","18.02","0.0","57.6","69.2"
"USC00044025","HOLLISTER 2, CA US","2011",,,,
"USC00044025","HOLLISTER 2, CA US","2013","4.07",,,
"USC00044025","HOLLISTER 2, CA US","2014",,,"61.3","73.7"
"USC00044025","HOLLISTER 2, CA US","2015",,,"60.2","73.0"
"USC00044025","HOLLISTER 2, CA US","2016",,,"59.0","71.0"
"USC00046675","PANOCHE 2 W, CA US","2010","15.40","0.0",,
"USC00046675","PANOCHE 2 W, CA US","2011","10.76",,,
"USC00046675","PANOCHE 2 W, CA US","2015","5.39",,,
"USC00046675","PANOCHE 2 W, CA US","2016","10.61",,,
"USR0000CHER","HERNANDEZ CALIFORNIA, CA US","2010",,,"56.9","65.0"
"USR0000CHER","HERNANDEZ CALIFORNIA, CA US","2011",,,"57.5","65.9"
"USR0000CHER","HERNANDEZ CALIFORNIA, CA US","2012",,,"59.6","68.4"
"USR0000CHER","HERNANDEZ CALIFORNIA, CA US","2013",,,"60.4","69.6"
"USR0000CHER","HERNANDEZ CALIFORNIA, CA US","2014",,,"62.0","70.6"
"USR0000CHER","HERNANDEZ CALIFORNIA, CA US","2015",,,"60.8","69.5"
"USR0000CHER","HERNANDEZ CALIFORNIA, CA US","2016",,,"60.3","68.8"
