"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2010",,"3.50","0.0","68.6","81.0"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2011",,"3.74",,"68.5","81.1"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2012",,,,,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2013",,"2.28",,"70.9","84.4"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2014",,"3.03",,"73.0","86.5"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2015",,"2.39",,"71.8","84.7"
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","2016",,"2.79",,"72.0","85.3"
"USR0000CBUR","BURNS CANYON CALIFORNIA, CA US","34.2103","-116.6339","1828.8","2010",,,,"56.0","64.8"
"USR0000CBUR","BURNS CANYON CALIFORNIA, CA US","34.2103","-116.6339","1828.8","2011",,,,"56.6","66.0"
"USR0000CBUR","BURNS CANYON CALIFORNIA, CA US","34.2103","-116.6339","1828.8","2012",,,,"59.3","69.0"
"USR0000CBUR","BURNS CANYON CALIFORNIA, CA US","34.2103","-116.6339","1828.8","2013",,,,"57.6","67.0"
"USR0000CBUR","BURNS CANYON CALIFORNIA, CA US","34.2103","-116.6339","1828.8","2014",,,,"59.9","69.1"
"USR0000CBUR","BURNS CANYON CALIFORNIA, CA US","34.2103","-116.6339","1828.8","2016",,,,"59.1","67.5"
"US1CASR0034","RANCHO CUCAMONGA 1.6 W, CA US","34.1223","-117.5977","420.3","2013",,"5.63",,,
"US1CASR0034","RANCHO CUCAMONGA 1.6 W, CA US","34.1223","-117.5977","420.3","2014",,"11.50",,,
"US1CASR0034","RANCHO CUCAMONGA 1.6 W, CA US","34.1223","-117.5977","420.3","2015",,"9.89",,,
"US1CASR0034","RANCHO CUCAMONGA 1.6 W, CA US","34.1223","-117.5977","420.3","2016",,"14.30",,,
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.8536","-116.7858","584.3","2010",,"7.69","0.0","67.0","80.6"
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.8536","-116.7858","584.3","2011","11.2","1.92",,"66.7","80.9"
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.8536","-116.7858","584.3","2012","10.5","1.30",,"69.3","83.8"
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.8536","-116.7858","584.3","2013","10.5","4.56",,"68.4","82.4"
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.8536","-116.7858","584.3","2014","10.7","2.05",,"70.4","84.4"
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.8536","-116.7858","584.3","2015","10.5","2.89",,"69.3","83.2"
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.8536","-116.7858","584.3","2016","11.2","3.59",,"69.2","83.3"
"USR0000CMCB","MILL CREEK BDF CALIFORNIA, CA US","34.0836","-117.0347","899.2","2010",,,,"63.0","76.0"
"USR0000CMCB","MILL CREEK BDF CALIFORNIA, CA US","34.0836","-117.0347","899.2","2011",,,,"63.2","76.4"
"USR0000CMCB","MILL CREEK BDF CALIFORNIA, CA US","34.0836","-117.0347","899.2","2012",,,,"65.7","79.4"
"USR0000CMCB","MILL CREEK BDF CALIFORNIA, CA US","34.0836","-117.0347","899.2","2013",,,,"64.9","78.5"
"USR0000CMCB","MILL CREEK BDF CALIFORNIA, CA US","34.0836","-117.0347","899.2","2014",,,,,
"USR0000CMCB","MILL CREEK BDF CALIFORNIA, CA US","34.0836","-117.0347","899.2","2015",,,,"65.2","76.5"
"USR0000CMCB","MILL CREEK BDF CALIFORNIA, CA US","34.0836","-117.0347","899.2","2016",,,,"65.0","76.5"
"USC00045721","MITCHELL CAVERNS, CA US","34.9436","-115.5469","1325.9","2010",,,"4.4","61.6","70.1"
"USC00047306","REDLANDS, CA US","34.037","-117.1948","429.8","2010",,"26.71","0.0","63.8","77.7"
"USC00047306","REDLANDS, CA US","34.037","-117.1948","429.8","2011",,"8.79",,"64.8","79.3"
"USC00047306","REDLANDS, CA US","34.037","-117.1948","429.8","2012",,"9.02",,"67.2","81.8"
"USC00047306","REDLANDS, CA US","34.037","-117.1948","429.8","2013",,"6.44",,"65.4","78.7"
"USC00047306","REDLANDS, CA US","34.037","-117.1948","429.8","2014",,"9.17",,"67.4","79.9"
"USC00047306","REDLANDS, CA US","34.037","-117.1948","429.8","2015",,"7.54",,,
"USC00047306","REDLANDS, CA US","34.037","-117.1948","429.8","2016",,"12.35",,,
