"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010",,"0.0",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2012",,,"54.2","59.5"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2013","4.95",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2014","25.10",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2015","7.50",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2016","23.32",,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2013","6.91",,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2015","11.56",,,
"US1CASF0008","SAN FRANCISCO 3.0 W, CA US","37.7776","-122.4741","62.5","2016","29.61",,,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2010","29.14",,"56.9","62.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2011","20.60",,"56.7","62.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2012","25.49",,"56.8","62.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2013","5.60",,"57.4","64.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2014","25.58",,"59.9","66.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2015","9.93",,"59.7","66.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2016","25.46",,"58.5","64.4"
"US1CASF0004","SAN FRANCISCO 1.1 SW, CA US","37.765","-122.4348","59.1","2010","33.14",,,
"US1CASF0004","SAN FRANCISCO 1.1 SW, CA US","37.765","-122.4348","59.1","2011","23.76",,,
"US1CASF0004","SAN FRANCISCO 1.1 SW, CA US","37.765","-122.4348","59.1","2012","30.00",,,
"US1CASF0004","SAN FRANCISCO 1.1 SW, CA US","37.765","-122.4348","59.1","2013","6.02",,,
"US1CASF0004","SAN FRANCISCO 1.1 SW, CA US","37.765","-122.4348","59.1","2015","10.84",,,
