"STATION","NAME","DATE","AWND","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"US1CASJ0003","STOCKTON 2.1 NW, CA US","2011",,,"12.06",,,,
"USC00040010","ACAMPO 5 NE, CA US","2010",,,"24.10","0.0",,,
"USC00040010","ACAMPO 5 NE, CA US","2011",,,"15.40",,,,
"USC00040010","ACAMPO 5 NE, CA US","2014",,,"16.02",,,,
"USC00040010","ACAMPO 5 NE, CA US","2015",,,"9.02",,,,
"USC00040010","ACAMPO 5 NE, CA US","2016",,,"21.30","0.0",,,
"US1CASJ0004","STOCKTON 5.8 NNE, CA US","2010",,,"22.47",,,,
"US1CASJ0004","STOCKTON 5.8 NNE, CA US","2011",,,"11.77",,,,
"US1CASJ0004","STOCKTON 5.8 NNE, CA US","2012",,,"17.18",,,,
"US1CASJ0004","STOCKTON 5.8 NNE, CA US","2013",,,"6.52",,,,
"US1CASJ0004","STOCKTON 5.8 NNE, CA US","2014",,,"17.74",,,,
"US1CASJ0004","STOCKTON 5.8 NNE, CA US","2015",,,"8.55",,,,
"US1CASJ0004","STOCKTON 5.8 NNE, CA US","2016",,,"23.82",,,,
"US1CASJ0005","LODI 1.0 NNW, CA US","2011",,,"15.13",,,,
"US1CASJ0005","LODI 1.0 NNW, CA US","2012",,,"20.37",,,,
"US1CASJ0005","LODI 1.0 NNW, CA US","2013",,,"6.48",,,,
"US1CASJ0005","LODI 1.0 NNW, CA US","2014",,,"18.04",,,,
"US1CASJ0005","LODI 1.0 NNW, CA US","2015",,,"8.68",,,,
"US1CASJ0005","LODI 1.0 NNW, CA US","2016",,,"24.43",,,,
"USC00048999","TRACY CARBONA, CA US","2010",,,,"0.0",,,
"USC00048999","TRACY CARBONA, CA US","2015",,,"6.67",,,,
"USC00048999","TRACY CARBONA, CA US","2016",,,"11.99",,,,
"US1CASJ0006","STOCKTON 3.3 SE, CA US","2010",,,"16.35",,,,
"US1CASJ0006","STOCKTON 3.3 SE, CA US","2011",,,"10.12",,,,
"US1CASJ0006","STOCKTON 3.3 SE, CA US","2012",,,"15.05",,,,
"US1CASJ0006","STOCKTON 3.3 SE, CA US","2013",,,"5.11",,,,
"US1CASJ0006","STOCKTON 3.3 SE, CA US","2014",,,"16.57",,,,
"US1CASJ0006","STOCKTON 3.3 SE, CA US","2015",,,"8.05",,,,
"US1CASJ0006","STOCKTON 3.3 SE, CA US","2016",,,"20.53",,,,
"US1CASJ0007","TRACY 2.1 W, CA US","2013",,,"4.22",,,,
"US1CASJ0007","TRACY 2.1 W, CA US","2014",,,"12.70",,,,
"US1CASJ0007","TRACY 2.1 W, CA US","2015",,,"5.44",,,,
"USW00023237","STOCKTON METROPOLITAN AIRPORT, CA US","2010","7.2",,"18.72",,"60.7","73.2",
"USW00023237","STOCKTON METROPOLITAN AIRPORT, CA US","2011","6.7",,"10.11",,"60.0","73.0",
"USW00023237","STOCKTON METROPOLITAN AIRPORT, CA US","2012","7.2",,"13.57",,"61.7","75.7",
"USW00023237","STOCKTON METROPOLITAN AIRPORT, CA US","2013","6.7",,"4.61",,"61.8","76.2",
"USW00023237","STOCKTON METROPOLITAN AIRPORT, CA US","2014","6.7",,"14.24",,"64.4","78.1",
"USW00023237","STOCKTON METROPOLITAN AIRPORT, CA US","2015","6.7",,"7.46",,"63.8","77.8",
"USW00023237","STOCKTON METROPOLITAN AIRPORT, CA US","2016","7.2",,"18.29",,"63.3","77.1",
"USC00045032","LODI, CA US","2010",,,,"0.0",,,
"US1CASJ0010","STOCKTON 0.7 E, CA US","2012",,,"12.67",,,,
"US1CASJ0011","STOCKTON 2.5 NE, CA US","2014",,,"13.60",,,,
"US1CASJ0001","LINDEN 5.8 ENE, CA US","2010",,,"28.28",,,,
"US1CASJ0001","LINDEN 5.8 ENE, CA US","2011",,,"18.57",,,,
"US1CASJ0001","LINDEN 5.8 ENE, CA US","2012",,,"20.24",,,,
"US1CASJ0001","LINDEN 5.8 ENE, CA US","2013",,,"6.75",,,,
"US1CASJ0001","LINDEN 5.8 ENE, CA US","2014",,,"20.43",,,,
"US1CASJ0001","LINDEN 5.8 ENE, CA US","2015",,,"11.65",,,,
"US1CASJ0001","LINDEN 5.8 ENE, CA US","2016",,,"24.36",,,,
