"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2010",,,,"57.0","73.9"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2011",,,,"56.2","74.6"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2012",,,,"58.8","77.2"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2013",,,,"59.0","78.0"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2014",,,,"61.4","79.2"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2015",,,,"60.4","77.7"
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","2016",,,,"60.0","77.6"
"US1CASL0008","LOS OSOS 0.5 N, CA US","35.3295","-120.8324","23.5","2014",,"11.75",,,
"US1CASL0008","LOS OSOS 0.5 N, CA US","35.3295","-120.8324","23.5","2016",,"14.58",,,
"USR0000CAGD","ARROYO GRANDE CALIFORNIA, CA US","35.1792","-120.3919","319.4","2010",,,,"59.7","73.5"
"USR0000CAGD","ARROYO GRANDE CALIFORNIA, CA US","35.1792","-120.3919","319.4","2011",,,,"59.5","74.0"
"USR0000CAGD","ARROYO GRANDE CALIFORNIA, CA US","35.1792","-120.3919","319.4","2012",,,,"61.3","76.7"
"USR0000CAGD","ARROYO GRANDE CALIFORNIA, CA US","35.1792","-120.3919","319.4","2013",,,,"62.2","78.2"
"USR0000CAGD","ARROYO GRANDE CALIFORNIA, CA US","35.1792","-120.3919","319.4","2014",,,,"63.9","79.2"
"USR0000CAGD","ARROYO GRANDE CALIFORNIA, CA US","35.1792","-120.3919","319.4","2015",,,,"63.5","78.7"
"USR0000CAGD","ARROYO GRANDE CALIFORNIA, CA US","35.1792","-120.3919","319.4","2016",,,,"62.2","77.2"
"USR0000CCAR","CARRIZO CALIFORNIA, CA US","35.0964","-119.7728","759.0","2010",,,,"61.6","72.1"
"USR0000CCAR","CARRIZO CALIFORNIA, CA US","35.0964","-119.7728","759.0","2011",,,,"61.5","72.9"
"USR0000CCAR","CARRIZO CALIFORNIA, CA US","35.0964","-119.7728","759.0","2012",,,,"63.7","74.7"
"USR0000CCAR","CARRIZO CALIFORNIA, CA US","35.0964","-119.7728","759.0","2013",,,,"64.0","75.0"
"USR0000CCAR","CARRIZO CALIFORNIA, CA US","35.0964","-119.7728","759.0","2014",,,,"65.9","77.0"
"USR0000CCAR","CARRIZO CALIFORNIA, CA US","35.0964","-119.7728","759.0","2015",,,,"64.4","75.2"
"USR0000CCAR","CARRIZO CALIFORNIA, CA US","35.0964","-119.7728","759.0","2016",,,,"64.5","74.7"
"USR0000CBRA","BRANCH MOUNTAIN CALIFORNIA, CA US","35.1889","-120.0833","1149.1","2010",,,,"57.9","67.5"
"USR0000CBRA","BRANCH MOUNTAIN CALIFORNIA, CA US","35.1889","-120.0833","1149.1","2011",,,,"59.3","68.3"
"USR0000CBRA","BRANCH MOUNTAIN CALIFORNIA, CA US","35.1889","-120.0833","1149.1","2012",,,,"60.5","70.9"
"USR0000CBRA","BRANCH MOUNTAIN CALIFORNIA, CA US","35.1889","-120.0833","1149.1","2013",,,,"60.8","70.9"
"USR0000CBRA","BRANCH MOUNTAIN CALIFORNIA, CA US","35.1889","-120.0833","1149.1","2014",,,,"62.2","71.7"
"USR0000CBRA","BRANCH MOUNTAIN CALIFORNIA, CA US","35.1889","-120.0833","1149.1","2015",,,,"60.3","69.7"
"USR0000CBRA","BRANCH MOUNTAIN CALIFORNIA, CA US","35.1889","-120.0833","1149.1","2016",,,,"60.6","69.9"
"USC00045866","MORRO BAY FIRE DEPARTMENT, CA US","35.367","-120.8447","36.0","2010",,,"0.0",,
"USC00045866","MORRO BAY FIRE DEPARTMENT, CA US","35.367","-120.8447","36.0","2013",,"3.95",,"60.3","70.3"
"USC00045866","MORRO BAY FIRE DEPARTMENT, CA US","35.367","-120.8447","36.0","2014",,"11.72",,"63.1","72.4"
"USC00045866","MORRO BAY FIRE DEPARTMENT, CA US","35.367","-120.8447","36.0","2015",,"8.56",,"63.7","73.0"
"USC00045866","MORRO BAY FIRE DEPARTMENT, CA US","35.367","-120.8447","36.0","2016",,"18.79",,,
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","2010","5.8","16.83",,"59.7","75.0"
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","2011","5.8","12.61",,"59.4","75.7"
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","2012","5.8","9.09",,"60.9","78.1"
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","2013","5.8","1.93",,"61.1","79.2"
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","2014","6.0","10.19",,"63.6","80.3"
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","2015","6.0","7.37",,"62.3","78.8"
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","2016","6.3","9.70",,"61.8","78.3"
"USC00047933","SANTA MARGARITA BOOST, CA US","35.3741","-120.6375","349.9","2010",,,"0.0",,
"USC00047933","SANTA MARGARITA BOOST, CA US","35.3741","-120.6375","349.9","2012",,"27.61",,"61.6","77.9"
"USC00047933","SANTA MARGARITA BOOST, CA US","35.3741","-120.6375","349.9","2013",,"5.27",,"61.2","78.7"
"USC00047933","SANTA MARGARITA BOOST, CA US","35.3741","-120.6375","349.9","2014",,"22.05",,"63.2","79.9"
"USC00047933","SANTA MARGARITA BOOST, CA US","35.3741","-120.6375","349.9","2015",,"13.50",,,
"USC00047933","SANTA MARGARITA BOOST, CA US","35.3741","-120.6375","349.9","2016",,"28.67",,,
"USR0000CLST","LAS TABLAS CALIFORNIA, CA US","35.6564","-120.9242","303.0","2010",,,,"57.6","74.5"
"USR0000CLST","LAS TABLAS CALIFORNIA, CA US","35.6564","-120.9242","303.0","2011",,,,"57.2","74.5"
"USR0000CLST","LAS TABLAS CALIFORNIA, CA US","35.6564","-120.9242","303.0","2012",,,,"58.9","77.3"
"USR0000CLST","LAS TABLAS CALIFORNIA, CA US","35.6564","-120.9242","303.0","2013",,,,"58.8","78.6"
"USR0000CLST","LAS TABLAS CALIFORNIA, CA US","35.6564","-120.9242","303.0","2014",,,,"60.8","79.3"
"USR0000CLST","LAS TABLAS CALIFORNIA, CA US","35.6564","-120.9242","303.0","2015",,,,"59.6","78.1"
"USR0000CLST","LAS TABLAS CALIFORNIA, CA US","35.6564","-120.9242","303.0","2016",,,,"59.7","78.2"
"USC00047672","SALINAS DAM, CA US","35.3372","-120.5038","424.3","2011",,"22.69",,,
"USC00047672","SALINAS DAM, CA US","35.3372","-120.5038","424.3","2012",,"15.43",,"62.1","78.9"
"USC00047672","SALINAS DAM, CA US","35.3372","-120.5038","424.3","2013",,"2.94",,"62.2","80.2"
"USC00047672","SALINAS DAM, CA US","35.3372","-120.5038","424.3","2014",,"15.26",,"64.4","81.4"
"USC00047672","SALINAS DAM, CA US","35.3372","-120.5038","424.3","2015",,"8.43",,,
"USC00047672","SALINAS DAM, CA US","35.3372","-120.5038","424.3","2016",,"19.80",,,
"US1CASL0001","SANTA MARGARITA 8.9 ESE, CA US","35.3805","-120.4525","611.1","2010",,"31.46",,,
"US1CASL0001","SANTA MARGARITA 8.9 ESE, CA US","35.3805","-120.4525","611.1","2012",,"13.85",,,
"US1CASL0001","SANTA MARGARITA 8.9 ESE, CA US","35.3805","-120.4525","611.1","2013",,"2.53","0.0",,
"US1CASL0001","SANTA MARGARITA 8.9 ESE, CA US","35.3805","-120.4525","611.1","2014",,"14.79",,,
"US1CASL0001","SANTA MARGARITA 8.9 ESE, CA US","35.3805","-120.4525","611.1","2016",,"15.62",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","35.23722","-120.64139","61.0","2010","6.5","33.07",,"58.7","70.0"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","35.23722","-120.64139","61.0","2011","6.5","18.68",,"58.9","70.4"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","35.23722","-120.64139","61.0","2012","6.5","16.14",,"59.9","71.8"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","35.23722","-120.64139","61.0","2013",,"3.18",,"60.3","73.5"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","35.23722","-120.64139","61.0","2014","6.5","10.55",,"63.0","75.1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","35.23722","-120.64139","61.0","2015","6.7","7.28",,"62.9","75.3"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","35.23722","-120.64139","61.0","2016","6.5","15.86",,"63.1","75.2"
"USC00043882","HEARST CASTLE, CA US","35.6841","-121.1683","465.1","2010",,,"0.0",,
"USC00043882","HEARST CASTLE, CA US","35.6841","-121.1683","465.1","2012",,"28.07",,"60.1","68.7"
"USC00043882","HEARST CASTLE, CA US","35.6841","-121.1683","465.1","2013",,"6.17",,"60.9","69.6"
"USC00043882","HEARST CASTLE, CA US","35.6841","-121.1683","465.1","2014",,"22.45",,"62.6","71.1"
"USC00043882","HEARST CASTLE, CA US","35.6841","-121.1683","465.1","2015",,"14.76",,"62.0","70.7"
"USC00043882","HEARST CASTLE, CA US","35.6841","-121.1683","465.1","2016",,"32.99",,"61.0","69.5"
"USC00046730","PASO ROBLES, CA US","35.6277","-120.6855","222.5","2010",,"22.74","0.0","58.8","74.4"
"USC00046730","PASO ROBLES, CA US","35.6277","-120.6855","222.5","2011",,"15.16",,"58.4","74.8"
"USC00046730","PASO ROBLES, CA US","35.6277","-120.6855","222.5","2012",,"12.82",,"60.1","77.5"
"USC00046730","PASO ROBLES, CA US","35.6277","-120.6855","222.5","2013",,"2.78",,"60.3","78.9"
"USC00046730","PASO ROBLES, CA US","35.6277","-120.6855","222.5","2014",,"12.08",,"62.3","79.6"
"USC00046730","PASO ROBLES, CA US","35.6277","-120.6855","222.5","2015",,"8.30",,"61.2","78.2"
"USC00046730","PASO ROBLES, CA US","35.6277","-120.6855","222.5","2016",,"13.11",,"61.1","78.0"
