"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2010",,,,"54.8","62.9"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2012",,"51.74",,"56.0","65.0"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2013",,"10.20",,"57.9","67.8"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2014",,"40.46",,"59.7","69.2"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2015",,"24.67",,"58.5","68.0"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2016",,"54.09",,"58.3","67.5"
"USW00023293","SAN JOSE, CA US","37.3591","-121.924","15.5","2010","6.3","17.18",,"60.1","69.9"
"USW00023293","SAN JOSE, CA US","37.3591","-121.924","15.5","2011","6.0","12.10",,"59.5","69.9"
"USW00023293","SAN JOSE, CA US","37.3591","-121.924","15.5","2012","6.5","12.77",,,
"USW00023293","SAN JOSE, CA US","37.3591","-121.924","15.5","2013","5.8","3.82",,"59.9","71.0"
"USW00023293","SAN JOSE, CA US","37.3591","-121.924","15.5","2014","6.0","15.08",,"62.2","72.6"
"USW00023293","SAN JOSE, CA US","37.3591","-121.924","15.5","2015","5.8","8.16",,"61.6","72.1"
"USW00023293","SAN JOSE, CA US","37.3591","-121.924","15.5","2016","6.7","14.61",,"62.3","72.5"
"US1CASC0042","SUNNYVALE 3.6 S, CA US","37.3344","-122.018","51.8","2012",,"16.82",,,
"US1CASC0042","SUNNYVALE 3.6 S, CA US","37.3344","-122.018","51.8","2013",,"3.95","0.0",,
"US1CASC0011","CAMBRIAN PARK 2.2 SE, CA US","37.2341","-121.8974","76.8","2010",,"26.03",,,
"US1CASC0011","CAMBRIAN PARK 2.2 SE, CA US","37.2341","-121.8974","76.8","2011",,"17.35",,,
"US1CASC0011","CAMBRIAN PARK 2.2 SE, CA US","37.2341","-121.8974","76.8","2012",,"17.96",,,
"US1CASC0011","CAMBRIAN PARK 2.2 SE, CA US","37.2341","-121.8974","76.8","2013",,"3.41",,,
"US1CASC0011","CAMBRIAN PARK 2.2 SE, CA US","37.2341","-121.8974","76.8","2014",,"20.54",,,
"US1CASC0011","CAMBRIAN PARK 2.2 SE, CA US","37.2341","-121.8974","76.8","2015",,"10.57",,,
"US1CASC0011","CAMBRIAN PARK 2.2 SE, CA US","37.2341","-121.8974","76.8","2016",,"18.69",,,
"US1CASC0032","SAN JOSE 6.2 W, CA US","37.3185","-121.9608","42.4","2010",,"19.81",,,
"US1CASC0032","SAN JOSE 6.2 W, CA US","37.3185","-121.9608","42.4","2011",,"12.98",,,
"US1CASC0032","SAN JOSE 6.2 W, CA US","37.3185","-121.9608","42.4","2012",,"15.74",,,
"US1CASC0032","SAN JOSE 6.2 W, CA US","37.3185","-121.9608","42.4","2013",,"3.61",,,
"US1CASC0032","SAN JOSE 6.2 W, CA US","37.3185","-121.9608","42.4","2014",,"16.76",,,
"USR0000CPOV","POVERTY CALIFORNIA, CA US","37.4431","-121.7706","629.7","2013",,,,"58.9","67.3"
"USR0000CPOV","POVERTY CALIFORNIA, CA US","37.4431","-121.7706","629.7","2014",,,,"61.4","69.5"
"USR0000CPOV","POVERTY CALIFORNIA, CA US","37.4431","-121.7706","629.7","2015",,,,"60.5","68.7"
"USR0000CPOV","POVERTY CALIFORNIA, CA US","37.4431","-121.7706","629.7","2016",,,,"60.3","68.0"
"USW00023244","MOFFETT FEDERAL AIRFIELD, CA US","37.40583","-122.04806","11.9","2011","5.1","11.36",,"59.8","69.0"
"USW00023244","MOFFETT FEDERAL AIRFIELD, CA US","37.40583","-122.04806","11.9","2012","5.6","13.11","0.0","59.8","69.0"
"USW00023244","MOFFETT FEDERAL AIRFIELD, CA US","37.40583","-122.04806","11.9","2013","5.1","3.09","0.0","60.0","69.9"
"USW00023244","MOFFETT FEDERAL AIRFIELD, CA US","37.40583","-122.04806","11.9","2014","5.1","15.63","0.0","62.6","71.9"
"USW00023244","MOFFETT FEDERAL AIRFIELD, CA US","37.40583","-122.04806","11.9","2015","5.1","8.68",,,
"USW00023244","MOFFETT FEDERAL AIRFIELD, CA US","37.40583","-122.04806","11.9","2016","5.8","13.32",,"61.3","70.5"
"US1CASC0040","LOS GATOS 5.4 SSW, CA US","37.156","-121.9875","506.6","2011",,"38.51",,,
"US1CASC0040","LOS GATOS 5.4 SSW, CA US","37.156","-121.9875","506.6","2012",,"52.58",,,
"US1CASC0040","LOS GATOS 5.4 SSW, CA US","37.156","-121.9875","506.6","2013",,"7.44",,,
"US1CASC0040","LOS GATOS 5.4 SSW, CA US","37.156","-121.9875","506.6","2014",,"40.42",,,
"US1CASC0040","LOS GATOS 5.4 SSW, CA US","37.156","-121.9875","506.6","2015",,"19.72",,,
"US1CASC0040","LOS GATOS 5.4 SSW, CA US","37.156","-121.9875","506.6","2016",,"54.30",,,
"USC00045933","MOUNT HAMILTON, CA US","37.3436","-121.6425","1282.0","2010",,"33.52","30.5","53.2","59.3"
"USC00045933","MOUNT HAMILTON, CA US","37.3436","-121.6425","1282.0","2011",,,,,
"USC00045933","MOUNT HAMILTON, CA US","37.3436","-121.6425","1282.0","2012",,"28.41",,"55.4","62.0"
"USC00045933","MOUNT HAMILTON, CA US","37.3436","-121.6425","1282.0","2013",,"6.63",,"56.1","62.9"
"USC00045933","MOUNT HAMILTON, CA US","37.3436","-121.6425","1282.0","2014",,"26.36",,"57.7","63.9"
"USC00045933","MOUNT HAMILTON, CA US","37.3436","-121.6425","1282.0","2015",,"16.56",,"57.1","63.5"
"USC00045933","MOUNT HAMILTON, CA US","37.3436","-121.6425","1282.0","2016",,"36.72",,"56.2","62.5"
"USR0000CALT","LOS ALTOS CALIFORNIA, CA US","37.3581","-122.1472","196.6","2010",,,,,
"USR0000CALT","LOS ALTOS CALIFORNIA, CA US","37.3581","-122.1472","196.6","2011",,,,"58.6","70.2"
"USR0000CALT","LOS ALTOS CALIFORNIA, CA US","37.3581","-122.1472","196.6","2012",,,,"59.4","71.5"
"USR0000CALT","LOS ALTOS CALIFORNIA, CA US","37.3581","-122.1472","196.6","2013",,,,"60.5","73.4"
"USR0000CALT","LOS ALTOS CALIFORNIA, CA US","37.3581","-122.1472","196.6","2014",,,,,
"USR0000CALT","LOS ALTOS CALIFORNIA, CA US","37.3581","-122.1472","196.6","2015",,,,"61.9","74.1"
"USR0000CALT","LOS ALTOS CALIFORNIA, CA US","37.3581","-122.1472","196.6","2016",,,,"61.0","72.8"
"US1CASC0007","SAN JOSE 4.6 NE, CA US","37.3543","-121.7955","96.9","2011",,"13.59",,,
"US1CASC0018","SAN JOSE 3.0 WSW, CA US","37.3086","-121.9272","48.5","2010",,"19.79",,,
"US1CASC0018","SAN JOSE 3.0 WSW, CA US","37.3086","-121.9272","48.5","2012",,"15.36",,,
"US1CASC0018","SAN JOSE 3.0 WSW, CA US","37.3086","-121.9272","48.5","2013",,"3.72",,,
"USC00046646","PALO ALTO, CA US","37.4436","-122.1402","7.6","2012",,"16.34",,"57.7","69.2"
"US1CASC0057","MORGAN HILL 4.5 NW, CA US","37.1725","-121.703","94.5","2015",,"10.49",,,
"US1CASC0057","MORGAN HILL 4.5 NW, CA US","37.1725","-121.703","94.5","2016",,"21.73",,,
"US1CASC0001","MOUNTAIN VIEW 1.2 S, CA US","37.3848","-122.0752","33.2","2010",,"20.59",,,
"US1CASC0001","MOUNTAIN VIEW 1.2 S, CA US","37.3848","-122.0752","33.2","2014",,"17.33",,,
"US1CASC0001","MOUNTAIN VIEW 1.2 S, CA US","37.3848","-122.0752","33.2","2015",,"7.77",,,
