"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"US1CASZ0003","DAVENPORT 4.2 NW, CA US","37.0651","-122.2178","150.9","2010",,"44.29",,,
"US1CASZ0003","DAVENPORT 4.2 NW, CA US","37.0651","-122.2178","150.9","2011",,"32.11",,,
"US1CASZ0036","BOULDER CREEK 4.1 N, CA US","37.1953","-122.1406","299.9","2015",,"21.85",,,
"US1CASZ0036","BOULDER CREEK 4.1 N, CA US","37.1953","-122.1406","299.9","2016",,"53.60",,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.1051","-122.0468","255.4","2012",,"58.85",,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.1051","-122.0468","255.4","2013",,"7.59",,,
"US1CASZ0024","FELTON 4.5 NNE, CA US","37.1051","-122.0468","255.4","2014",,"43.55",,,
"USC00049473","WATSONVILLE WATERWORKS, CA US","36.9308","-121.7691","29.0","2010",,"30.10","0.0","56.9","66.5"
"USC00049473","WATSONVILLE WATERWORKS, CA US","36.9308","-121.7691","29.0","2011",,,,"56.7","66.8"
"USC00049473","WATSONVILLE WATERWORKS, CA US","36.9308","-121.7691","29.0","2012",,"22.28",,"57.4","67.9"
"USC00049473","WATSONVILLE WATERWORKS, CA US","36.9308","-121.7691","29.0","2013",,"3.54",,"58.1","69.5"
"USC00049473","WATSONVILLE WATERWORKS, CA US","36.9308","-121.7691","29.0","2014",,"23.24",,"60.5","70.7"
"USC00049473","WATSONVILLE WATERWORKS, CA US","36.9308","-121.7691","29.0","2015",,"12.78",,"61.0","72.0"
"USC00049473","WATSONVILLE WATERWORKS, CA US","36.9308","-121.7691","29.0","2016",,"29.92",,"60.5","70.6"
"US1CASZ0007","SCOTTS VALLEY 1.7 SW, CA US","37.0396","-122.0295","174.7","2013",,"7.95",,,
"US1CASZ0007","SCOTTS VALLEY 1.7 SW, CA US","37.0396","-122.0295","174.7","2014",,"46.35",,,
"US1CASZ0029","SANTA CRUZ 3.1 NW, CA US","37.0064","-122.075","295.4","2014",,"38.23",,,
"US1CASZ0029","SANTA CRUZ 3.1 NW, CA US","37.0064","-122.075","295.4","2015",,"19.16",,,
"USR0000CBNL","BEN LOMOND CALIFORNIA, CA US","37.1317","-122.17","801.6","2010",,,,"56.0","63.2"
"USR0000CBNL","BEN LOMOND CALIFORNIA, CA US","37.1317","-122.17","801.6","2011",,,,"56.1","63.6"
"USR0000CBNL","BEN LOMOND CALIFORNIA, CA US","37.1317","-122.17","801.6","2012",,,,"57.8","65.7"
"USR0000CBNL","BEN LOMOND CALIFORNIA, CA US","37.1317","-122.17","801.6","2013",,,,,
"USR0000CBNL","BEN LOMOND CALIFORNIA, CA US","37.1317","-122.17","801.6","2014",,,,"60.3","68.2"
"USR0000CBNL","BEN LOMOND CALIFORNIA, CA US","37.1317","-122.17","801.6","2015",,,,"59.7","67.9"
"USR0000CBNL","BEN LOMOND CALIFORNIA, CA US","37.1317","-122.17","801.6","2016",,,,"58.8","66.6"
"US1CASZ0006","BOULDER CREEK 3.6 NE, CA US","37.1811","-122.0911","525.5","2011",,"28.46",,,
"US1CASZ0006","BOULDER CREEK 3.6 NE, CA US","37.1811","-122.0911","525.5","2012",,"36.66",,,
"US1CASZ0006","BOULDER CREEK 3.6 NE, CA US","37.1811","-122.0911","525.5","2013",,"6.94",,,
"US1CASZ0006","BOULDER CREEK 3.6 NE, CA US","37.1811","-122.0911","525.5","2014",,"29.92",,,
"US1CASZ0006","BOULDER CREEK 3.6 NE, CA US","37.1811","-122.0911","525.5","2016",,"36.43",,,
"US1CASZ0028","SOQUEL 0.8 NE, CA US","37.0022","-121.9363","126.2","2013",,"4.53",,,
"US1CASZ0028","SOQUEL 0.8 NE, CA US","37.0022","-121.9363","126.2","2016",,"38.45",,,
"US1CASZ0009","APTOS 2.6 E, CA US","36.9961","-121.8536","116.7","2010",,"40.07",,,
"US1CASZ0009","APTOS 2.6 E, CA US","36.9961","-121.8536","116.7","2012",,"32.39",,,
"US1CASZ0009","APTOS 2.6 E, CA US","36.9961","-121.8536","116.7","2014",,"30.45",,,
"US1CASC0053","LOS GATOS 9.6 SSE, CA US","37.1039","-121.8896","670.3","2015",,"23.13",,,
"US1CASZ0041","SANTA CRUZ 5.7 N, CA US","37.0556","-122.0334","107.6","2016",,"54.57",,,
"US1CASZ0021","BOULDER CREEK 3.0 NW, CA US","37.1693","-122.1641","266.7","2011",,"41.78",,,
"US1CASZ0021","BOULDER CREEK 3.0 NW, CA US","37.1693","-122.1641","266.7","2012",,"60.36",,,
"US1CASZ0021","BOULDER CREEK 3.0 NW, CA US","37.1693","-122.1641","266.7","2015",,"23.89",,,
"US1CASZ0021","BOULDER CREEK 3.0 NW, CA US","37.1693","-122.1641","266.7","2016",,"59.56",,,
"USW00023277","WATSONVILLE MUNICIPAL AIRPORT, CA US","36.93583","-121.78861","48.8","2010","3.8","19.00",,"56.7","66.3"
"USW00023277","WATSONVILLE MUNICIPAL AIRPORT, CA US","36.93583","-121.78861","48.8","2011","3.8","22.72",,"56.9","66.9"
"USW00023277","WATSONVILLE MUNICIPAL AIRPORT, CA US","36.93583","-121.78861","48.8","2012","3.8","22.93","0.0",,
"USW00023277","WATSONVILLE MUNICIPAL AIRPORT, CA US","36.93583","-121.78861","48.8","2013","3.8","3.49","0.0","57.1","68.6"
"USW00023277","WATSONVILLE MUNICIPAL AIRPORT, CA US","36.93583","-121.78861","48.8","2014","4.0","21.64","0.0","60.8","71.1"
"USW00023277","WATSONVILLE MUNICIPAL AIRPORT, CA US","36.93583","-121.78861","48.8","2015","4.3","11.54",,"60.3","71.3"
"USW00023277","WATSONVILLE MUNICIPAL AIRPORT, CA US","36.93583","-121.78861","48.8","2016","4.3","24.30",,"58.2","68.1"
"USC00040673","BEN LOMOND NUMBER 4, CA US","37.0855","-122.0797","128.0","2010",,"64.85","0.0","57.6","71.4"
"USC00040673","BEN LOMOND NUMBER 4, CA US","37.0855","-122.0797","128.0","2011",,,,"58.1","73.4"
"USC00040673","BEN LOMOND NUMBER 4, CA US","37.0855","-122.0797","128.0","2012",,,,"61.2","78.5"
"USC00040673","BEN LOMOND NUMBER 4, CA US","37.0855","-122.0797","128.0","2013",,"7.72",,"60.8","80.0"
"USC00040673","BEN LOMOND NUMBER 4, CA US","37.0855","-122.0797","128.0","2014",,"47.28",,"61.4","79.9"
"USC00040673","BEN LOMOND NUMBER 4, CA US","37.0855","-122.0797","128.0","2015",,"19.67",,,"81.0"
"USC00040673","BEN LOMOND NUMBER 4, CA US","37.0855","-122.0797","128.0","2016",,"58.96",,,
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2010",,"39.03","0.0","57.3","67.5"
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2011",,,,"56.9","67.6"
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2012",,,,"58.0","69.4"
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2013",,"5.08",,"59.2","71.9"
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2014",,"29.50",,"61.3","72.5"
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2015",,"16.49",,"61.6","74.0"
