"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"US1CASH0050","SHINGLETOWN 10.3 ENE, CA US","40.5318","-121.7011","1285.3","2013",,,"19.35",,,,
"US1CASH0050","SHINGLETOWN 10.3 ENE, CA US","40.5318","-121.7011","1285.3","2014",,,"49.05",,,,
"US1CASH0050","SHINGLETOWN 10.3 ENE, CA US","40.5318","-121.7011","1285.3","2015",,,"30.77",,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2010",,,"43.00","0.0",,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2014",,,"38.42",,,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2015",,,"20.63","0.0",,,
"USC00049390","VOLTA PH, CA US","40.4583","-121.8663","676.7","2016",,,,"0.0",,,
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2010",,,,,"57.6","65.1",
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2011",,,,,"58.2","66.2",
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2012",,,,,"59.6","67.9",
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2013",,,,,"61.7","70.7",
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2014",,,,,"62.8","70.9",
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2015",,,,,"62.7","71.1",
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2016",,,,,,,
"USC00041907","COLEMAN FISHERIES STATION, CA US","40.4","-122.1433","128.0","2010",,,"44.07","0.0",,,
"USC00041907","COLEMAN FISHERIES STATION, CA US","40.4","-122.1433","128.0","2011",,,"24.49",,,,
"USC00041907","COLEMAN FISHERIES STATION, CA US","40.4","-122.1433","128.0","2013",,,"12.59",,,,
"USC00041907","COLEMAN FISHERIES STATION, CA US","40.4","-122.1433","128.0","2014",,,"43.00",,,,
"USC00041907","COLEMAN FISHERIES STATION, CA US","40.4","-122.1433","128.0","2015",,,"19.30",,,,
"USC00041907","COLEMAN FISHERIES STATION, CA US","40.4","-122.1433","128.0","2016",,,"44.73","0.0",,,
"USW00004222","REDDING 12 WNW, CA US","40.6507","-122.6068","432.2","2010",,,"69.67",,"58.4","69.8",
"USW00004222","REDDING 12 WNW, CA US","40.6507","-122.6068","432.2","2011",,,"42.70",,"58.7","70.9",
"USW00004222","REDDING 12 WNW, CA US","40.6507","-122.6068","432.2","2012",,,"56.83",,"60.1","72.8",
"USW00004222","REDDING 12 WNW, CA US","40.6507","-122.6068","432.2","2013",,,"8.69",,"61.5","75.8",
"USW00004222","REDDING 12 WNW, CA US","40.6507","-122.6068","432.2","2014",,,"47.11",,"62.7","75.7",
"USW00004222","REDDING 12 WNW, CA US","40.6507","-122.6068","432.2","2015",,,"28.54",,"62.7","76.3",
"USW00004222","REDDING 12 WNW, CA US","40.6507","-122.6068","432.2","2016",,,"62.52",,"61.1","73.7",
"USW00024257","REDDING MUNICIPAL AIRPORT, CA US","40.5175","-122.2986","151.5","2010","5.4",,"39.74",,"61.4","73.2",
"USW00024257","REDDING MUNICIPAL AIRPORT, CA US","40.5175","-122.2986","151.5","2011","5.4",,"26.64",,"61.1","73.9",
"USW00024257","REDDING MUNICIPAL AIRPORT, CA US","40.5175","-122.2986","151.5","2012","5.4",,"36.45",,"62.4","75.8",
"USW00024257","REDDING MUNICIPAL AIRPORT, CA US","40.5175","-122.2986","151.5","2013","5.4",,"12.82",,"63.4","77.9",
"USW00024257","REDDING MUNICIPAL AIRPORT, CA US","40.5175","-122.2986","151.5","2014","5.4",,"33.98","0.0","65.0","78.3",
"USW00024257","REDDING MUNICIPAL AIRPORT, CA US","40.5175","-122.2986","151.5","2015","5.4",,"17.25","0.0","66.3","80.0",
"USW00024257","REDDING MUNICIPAL AIRPORT, CA US","40.5175","-122.2986","151.5","2016","5.6",,"49.37","0.0","64.5","76.9",
"US1CASH0006","SHINGLETOWN 5.3 ENE, CA US","40.5239","-121.7957","1208.2","2014",,,"58.92","11.6",,,
"US1CASH0006","SHINGLETOWN 5.3 ENE, CA US","40.5239","-121.7957","1208.2","2015",,,"32.11","33.6",,,
"USC00041149","BUCKHORN, CA US","40.8669","-121.8463","1158.2","2010",,,"88.03","0.0",,,
"USC00041149","BUCKHORN, CA US","40.8669","-121.8463","1158.2","2013",,,"27.33",,,,
"USC00041149","BUCKHORN, CA US","40.8669","-121.8463","1158.2","2014",,,"70.33",,,,
"USC00041149","BUCKHORN, CA US","40.8669","-121.8463","1158.2","2015",,,"44.59","6.0",,,
"USC00041149","BUCKHORN, CA US","40.8669","-121.8463","1158.2","2016",,,"97.68","29.3",,,
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","2010",,,,,"52.0","61.9",
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","2011",,,,,"51.8","62.6",
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","2012",,,,,"53.5","64.7",
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","2013",,,,,"53.8","65.7",
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","2014",,,,,"56.4","67.5",
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","2015",,,,,"56.4","67.5",
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","2016",,,,,"54.8","65.5",
"US1CASH0009","REDDING 2.7 NNW, CA US","40.6104","-122.3802","215.8","2013",,,"10.10",,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2010",,,,,,,
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2011",,,,,"61.8","75.6",
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2012",,,,,"62.6","76.5",
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2013",,,,,"63.3","78.0",
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2014",,,,,"64.6","78.3",
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2015",,,,,"65.1","79.1",
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2016",,,,,"63.6","76.4",
"US1CASH0008","REDDING 2.9 NNE, CA US","40.6089","-122.3388","198.7","2010",,,"54.29",,,,
"USC00043824","HAT CREEK, CA US","40.9316","-121.5433","919.0","2011",,,,,"49.2","66.8",
"USC00043824","HAT CREEK, CA US","40.9316","-121.5433","919.0","2012",,,,,,,
"USC00043824","HAT CREEK, CA US","40.9316","-121.5433","919.0","2014",,,"17.31",,"53.0","71.1",
"USC00043824","HAT CREEK, CA US","40.9316","-121.5433","919.0","2015",,,"15.64",,"52.9","70.9",
"USC00043824","HAT CREEK, CA US","40.9316","-121.5433","919.0","2016",,,"23.46","1.0","52.1","69.3",
"US1CASH0021","REDDING 0.6 NW, CA US","40.5796","-122.3727","144.8","2011",,,"35.55",,,,
"US1CASH0021","REDDING 0.6 NW, CA US","40.5796","-122.3727","144.8","2013",,,"14.31",,,,
"USR0000CSUF","SUGARLOAF SHF CALIFORNIA, CA US","40.9167","-122.4383","1280.2","2014",,,,,"59.4","68.7",
"USR0000CSUF","SUGARLOAF SHF CALIFORNIA, CA US","40.9167","-122.4383","1280.2","2015",,,,,"59.9","69.4",
"USR0000CSUF","SUGARLOAF SHF CALIFORNIA, CA US","40.9167","-122.4383","1280.2","2016",,,,,"57.5","66.4",
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2010",,"66.7","85.26","0.0","60.8","70.1",
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2011",,"66.1","47.22",,"61.0","70.7",
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2012",,"75.4","73.06",,"62.7","73.5","16183.6"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2013",,"73.5","16.72",,"64.3","75.5","15308.7"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2014",,"72.3","64.67",,"65.3","75.9","14102.6"
"USC00048135","SHASTA DAM, CA US","40.7141","-122.4161","327.7","2015",,"68.3","35.22",,"65.8","77.0",
"USR0000CWHT","WHITMORE CALIFORNIA, CA US","40.6194","-121.8994","736.7","2010",,,,,,,
"USR0000CWHT","WHITMORE CALIFORNIA, CA US","40.6194","-121.8994","736.7","2013",,,,,"60.8","74.0",
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","2010",,,"90.31","44.2","52.7","66.6",
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","2011",,,"50.89","28.3","52.7","67.1",
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","2012",,,"77.20","62.9","53.7","68.1",
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","2013",,,"18.65","9.8","54.2","69.4",
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","2014",,,"60.81","0.0","55.8","70.3",
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","2015",,,"42.32",,,,
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","2016",,,"82.80","16.0","54.3","67.7",
"USC00049621","WHISKEYTOWN RESERVOIR, CA US","40.6116","-122.528","394.7","2010",,,"90.03",,,"71.1",
"USC00049621","WHISKEYTOWN RESERVOIR, CA US","40.6116","-122.528","394.7","2013",,,"15.88","4.0","62.9","76.0",
"USC00049621","WHISKEYTOWN RESERVOIR, CA US","40.6116","-122.528","394.7","2014",,,"66.93",,,,
"USC00049621","WHISKEYTOWN RESERVOIR, CA US","40.6116","-122.528","394.7","2015",,"45.8","35.59","0.0","64.3","76.9","2724.7"
"USC00049621","WHISKEYTOWN RESERVOIR, CA US","40.6116","-122.528","394.7","2016",,,"80.63","1.2",,,
"USR0000COAM","OAK MOUNTAIN CALIFORNIA, CA US","41.0064","-121.9833","518.2","2010",,,,,"56.3","67.1",
"USR0000COAM","OAK MOUNTAIN CALIFORNIA, CA US","41.0064","-121.9833","518.2","2011",,,,,"56.6","67.8",
"USR0000COAM","OAK MOUNTAIN CALIFORNIA, CA US","41.0064","-121.9833","518.2","2013",,,,,"59.6","72.4",
"USR0000COAM","OAK MOUNTAIN CALIFORNIA, CA US","41.0064","-121.9833","518.2","2014",,,,,"61.0","72.6",
"USR0000COAM","OAK MOUNTAIN CALIFORNIA, CA US","41.0064","-121.9833","518.2","2015",,,,,"61.1","72.4",
"USR0000COAM","OAK MOUNTAIN CALIFORNIA, CA US","41.0064","-121.9833","518.2","2016",,,,,"58.9","69.2",
"USR0000CMAN","MANZANITA LAKE CALIFORNIA, CA US","40.54","-121.5803","1725.2","2010",,,,,,,
"USR0000CMAN","MANZANITA LAKE CALIFORNIA, CA US","40.54","-121.5803","1725.2","2012",,,,,"45.6","59.1",
"USR0000CMAN","MANZANITA LAKE CALIFORNIA, CA US","40.54","-121.5803","1725.2","2013",,,,,"46.5","60.6",
"USR0000CMAN","MANZANITA LAKE CALIFORNIA, CA US","40.54","-121.5803","1725.2","2014",,,,,"47.9","60.7",
