"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX"
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2010",,,,
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2011",,,"45.7","62.2"
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2012",,,"48.0","65.0"
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2013",,,"46.9","64.4"
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2014",,,"48.9","65.1"
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2015",,,"48.1","64.0"
"USR0000CDOG","DOG VALLEY CALIFORNIA, CA US","39.5619","-120.0478","1821.5","2016",,,"47.7","63.4"
"USC00042500","DOWNIEVILLE, CA US","39.5633","-120.8238","888.5","2010","85.39","3.0","52.2","65.6"
"USC00042500","DOWNIEVILLE, CA US","39.5633","-120.8238","888.5","2011",,,"51.3","65.5"
"USC00042500","DOWNIEVILLE, CA US","39.5633","-120.8238","888.5","2012",,,,
"USC00042500","DOWNIEVILLE, CA US","39.5633","-120.8238","888.5","2014","61.17",,"55.3","70.1"
"USC00042500","DOWNIEVILLE, CA US","39.5633","-120.8238","888.5","2015","38.42",,"55.5","70.7"
"USC00042500","DOWNIEVILLE, CA US","39.5633","-120.8238","888.5","2016","86.70","6.0","53.8","68.0"
"USC00048218","SIERRAVILLE RANGER STATION, CA US","39.5833","-120.3705","1516.4","2015","19.13",,,
"USC00048218","SIERRAVILLE RANGER STATION, CA US","39.5833","-120.3705","1516.4","2016","35.95","28.2",,
"USC00049298","VERDI 2 W, CA US","39.5214","-120.0269","1654.8","2013","7.09","22.9","48.2","60.8"
"USC00049298","VERDI 2 W, CA US","39.5214","-120.0269","1654.8","2014","18.11","13.0","51.7","64.2"
"USC00049298","VERDI 2 W, CA US","39.5214","-120.0269","1654.8","2015",,"50.0","51.0","63.1"
"USC00049298","VERDI 2 W, CA US","39.5214","-120.0269","1654.8","2016",,"62.5","50.4","62.4"
"USR0000CSTA","STAMPEDE CALIFORNIA, CA US","39.4833","-120.075","2093.1","2010",,,"45.4","59.9"
"USR0000CSTA","STAMPEDE CALIFORNIA, CA US","39.4833","-120.075","2093.1","2013",,,"47.0","63.0"
"USR0000CSTA","STAMPEDE CALIFORNIA, CA US","39.4833","-120.075","2093.1","2014",,,"48.5","63.4"
"USR0000CSTA","STAMPEDE CALIFORNIA, CA US","39.4833","-120.075","2093.1","2015",,,"47.8","62.9"
"USR0000CSTA","STAMPEDE CALIFORNIA, CA US","39.4833","-120.075","2093.1","2016",,,"47.2","62.0"
"USR0000CSDD","SADDLEBACK CALIFORNIA, CA US","39.6375","-120.8653","2033.0","2014",,,"50.4","57.6"
"USR0000CSDD","SADDLEBACK CALIFORNIA, CA US","39.6375","-120.8653","2033.0","2015",,,"50.4","57.7"
"USS0020K04S","INDEPENDENCE CAMP, CA US","39.45","-120.29","2134.5","2010","38.37",,"41.9","52.8"
"USS0020K04S","INDEPENDENCE CAMP, CA US","39.45","-120.29","2134.5","2011","31.28",,"41.4","52.8"
"USS0020K04S","INDEPENDENCE CAMP, CA US","39.45","-120.29","2134.5","2012","32.15",,"44.1","55.7"
"USS0020K04S","INDEPENDENCE CAMP, CA US","39.45","-120.29","2134.5","2013","8.87",,"43.8","56.2"
"USS0020K04S","INDEPENDENCE CAMP, CA US","39.45","-120.29","2134.5","2014","29.17",,"45.6","56.7"
"USS0020K04S","INDEPENDENCE CAMP, CA US","39.45","-120.29","2134.5","2015","21.56",,"45.3","56.6"
"USS0020K04S","INDEPENDENCE CAMP, CA US","39.45","-120.29","2134.5","2016","37.26",,"44.2","55.3"
"USS0020K03S","INDEPENDENCE CREEK, CA US","39.49","-120.28","1967.8","2010","43.49",,"42.6","56.2"
"USS0020K03S","INDEPENDENCE CREEK, CA US","39.49","-120.28","1967.8","2011","31.78",,"42.0","56.2"
"USS0020K03S","INDEPENDENCE CREEK, CA US","39.49","-120.28","1967.8","2012","34.76",,"44.1","58.8"
"USS0020K03S","INDEPENDENCE CREEK, CA US","39.49","-120.28","1967.8","2013","7.47",,"43.4","58.4"
"USS0020K03S","INDEPENDENCE CREEK, CA US","39.49","-120.28","1967.8","2014","25.86",,"45.6","59.5"
"USS0020K03S","INDEPENDENCE CREEK, CA US","39.49","-120.28","1967.8","2015","21.95",,"44.9","59.1"
"USS0020K03S","INDEPENDENCE CREEK, CA US","39.49","-120.28","1967.8","2016","35.96",,"44.2","58.2"
