"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00049053","TULELAKE, CA US","41.96","-121.4744","1229.9","2010",,"10.19","19.8","46.8","61.5"
"USC00049053","TULELAKE, CA US","41.96","-121.4744","1229.9","2011",,"6.63",,"45.4","60.8"
"USC00049053","TULELAKE, CA US","41.96","-121.4744","1229.9","2012",,"9.41",,"47.6","63.2"
"USC00049053","TULELAKE, CA US","41.96","-121.4744","1229.9","2013",,"6.78",,"46.2","62.8"
"USC00049053","TULELAKE, CA US","41.96","-121.4744","1229.9","2014",,"11.02",,"50.0","66.1"
"USC00049053","TULELAKE, CA US","41.96","-121.4744","1229.9","2016",,"10.69",,"48.8","64.3"
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","2010",,,,"46.0","53.8"
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","2011",,,,"46.8","55.1"
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","2012",,,,"48.1","56.6"
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","2013",,,,"49.8","59.4"
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","2014",,,,"50.8","59.5"
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","2015",,,,"51.3","59.7"
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","2016",,,,"49.0","56.9"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","41.5992","-122.9336","1287.8","2010",,,,"51.1","60.5"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","41.5992","-122.9336","1287.8","2011",,,,"51.2","61.2"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","41.5992","-122.9336","1287.8","2012",,,,"53.0","63.4"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","41.5992","-122.9336","1287.8","2013",,,,"53.5","64.5"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","41.5992","-122.9336","1287.8","2014",,,,"55.5","65.8"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","41.5992","-122.9336","1287.8","2015",,,,"55.6","65.9"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","41.5992","-122.9336","1287.8","2016",,,,"53.4","63.4"
