"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USR0000CSRS","SANTA ROSA CALIFORNIA, CA US","38.4786","-122.7119","175.6","2012",,,,"58.4","69.2"
"USR0000CSRS","SANTA ROSA CALIFORNIA, CA US","38.4786","-122.7119","175.6","2013",,,,"59.3","70.5"
"USR0000CSRS","SANTA ROSA CALIFORNIA, CA US","38.4786","-122.7119","175.6","2014",,,,"61.1","71.5"
"USR0000CSRS","SANTA ROSA CALIFORNIA, CA US","38.4786","-122.7119","175.6","2015",,,,"61.1","72.2"
"USR0000CSRS","SANTA ROSA CALIFORNIA, CA US","38.4786","-122.7119","175.6","2016",,,,"59.8","70.2"
"US1CASN0090","FORESTVILLE 0.7 SW, CA US","38.4733","-122.8974","61.3","2012",,"57.61",,,
"US1CASN0090","FORESTVILLE 0.7 SW, CA US","38.4733","-122.8974","61.3","2015",,"19.15",,,
"US1CASN0070","GLEN ELLEN 1.9 WNW, CA US","38.3651","-122.5718","291.4","2010",,"52.95",,,
"US1CASN0070","GLEN ELLEN 1.9 WNW, CA US","38.3651","-122.5718","291.4","2011",,"38.57",,,
"US1CASN0070","GLEN ELLEN 1.9 WNW, CA US","38.3651","-122.5718","291.4","2013",,"10.00",,,
"US1CASN0070","GLEN ELLEN 1.9 WNW, CA US","38.3651","-122.5718","291.4","2015",,"18.93",,,
"USC00047965","SANTA ROSA, CA US","38.45579","-122.71335","50.6","2010",,"40.95","0.0",,
"US1CASN0071","ROHNERT PARK 0.9 SW, CA US","38.3392","-122.7113","29.3","2012",,"36.22",,,
"US1CASN0071","ROHNERT PARK 0.9 SW, CA US","38.3392","-122.7113","29.3","2013",,"7.98",,,
"US1CASN0071","ROHNERT PARK 0.9 SW, CA US","38.3392","-122.7113","29.3","2015",,"14.51",,,
"US1CASN0074","HEALDSBURG 3.7 WNW, CA US","38.6476","-122.9207","43.3","2015",,"20.69",,,
"US1CASN0074","HEALDSBURG 3.7 WNW, CA US","38.6476","-122.9207","43.3","2016",,"46.33",,,
"USW00093245","BODEGA 6 WSW, CA US","38.3208","-123.0747","19.2","2010",,"46.30",,"52.6","57.8"
"USW00093245","BODEGA 6 WSW, CA US","38.3208","-123.0747","19.2","2011",,"27.06",,"52.3","58.2"
"USW00093245","BODEGA 6 WSW, CA US","38.3208","-123.0747","19.2","2012",,"34.67",,"52.5","58.2"
"USW00093245","BODEGA 6 WSW, CA US","38.3208","-123.0747","19.2","2013",,"9.76",,"52.6","58.6"
"USW00093245","BODEGA 6 WSW, CA US","38.3208","-123.0747","19.2","2014",,,,"55.9","61.6"
"USW00093245","BODEGA 6 WSW, CA US","38.3208","-123.0747","19.2","2015",,"25.29",,"55.7","61.5"
"USW00093245","BODEGA 6 WSW, CA US","38.3208","-123.0747","19.2","2016",,,,,
"US1CASN0098","CAZADERO 5.6 W, CA US","38.5319","-123.1886","369.1","2016",,"81.41",,,
"US1CASN0079","ROHNERT PARK 0.9 ESE, CA US","38.3451","-122.6812","38.1","2010",,"39.59",,,
"US1CASN0079","ROHNERT PARK 0.9 ESE, CA US","38.3451","-122.6812","38.1","2013",,"8.11",,,
"US1CASN0112","SANTA ROSA 2.3 NW, CA US","38.4699","-122.7333","41.8","2016",,"35.87",,,
"US1CASN0016","SEBASTOPOL 4.5 WSW, CA US","38.3753","-122.9035","128.9","2010",,"64.37",,,
"US1CASN0016","SEBASTOPOL 4.5 WSW, CA US","38.3753","-122.9035","128.9","2011",,"38.95",,,
"US1CASN0016","SEBASTOPOL 4.5 WSW, CA US","38.3753","-122.9035","128.9","2012",,"54.27",,,
"US1CASN0016","SEBASTOPOL 4.5 WSW, CA US","38.3753","-122.9035","128.9","2013",,"14.21",,,
"US1CASN0016","SEBASTOPOL 4.5 WSW, CA US","38.3753","-122.9035","128.9","2014",,"51.63",,,
"US1CASN0016","SEBASTOPOL 4.5 WSW, CA US","38.3753","-122.9035","128.9","2015",,"22.48",,,
"US1CASN0016","SEBASTOPOL 4.5 WSW, CA US","38.3753","-122.9035","128.9","2016",,"47.66",,,
"US1CASN0028","SANTA ROSA 3.1 NW, CA US","38.4789","-122.744","42.7","2010",,"48.21",,,
"US1CASN0028","SANTA ROSA 3.1 NW, CA US","38.4789","-122.744","42.7","2012",,"42.07",,,
"US1CASN0028","SANTA ROSA 3.1 NW, CA US","38.4789","-122.744","42.7","2013",,"8.79",,,
"US1CASN0028","SANTA ROSA 3.1 NW, CA US","38.4789","-122.744","42.7","2015",,"13.82",,,
"US1CASN0028","SANTA ROSA 3.1 NW, CA US","38.4789","-122.744","42.7","2016",,"37.54",,,
"US1CASN0007","SEBASTOPOL 3.7 WSW, CA US","38.3852","-122.8928","116.7","2010",,"59.74",,,
"US1CASN0007","SEBASTOPOL 3.7 WSW, CA US","38.3852","-122.8928","116.7","2011",,"35.71","0.0",,
"US1CASN0007","SEBASTOPOL 3.7 WSW, CA US","38.3852","-122.8928","116.7","2012",,"51.59","0.0",,
"US1CASN0007","SEBASTOPOL 3.7 WSW, CA US","38.3852","-122.8928","116.7","2013",,"13.25",,,
"US1CASN0029","CLOVERDALE 3.2 ESE, CA US","38.781","-122.963","242.9","2012",,"46.49",,,
"US1CASN0029","CLOVERDALE 3.2 ESE, CA US","38.781","-122.963","242.9","2015",,"23.77",,,
"US1CASN0029","CLOVERDALE 3.2 ESE, CA US","38.781","-122.963","242.9","2016",,"51.69",,,
"USC00048351","SONOMA, CA US","38.2994","-122.4622","29.6","2010",,,"0.0",,
"USC00048351","SONOMA, CA US","38.2994","-122.4622","29.6","2011",,,,,
"USC00048351","SONOMA, CA US","38.2994","-122.4622","29.6","2013",,"5.66",,,
"USC00048351","SONOMA, CA US","38.2994","-122.4622","29.6","2014",,"30.69",,,
"USC00048351","SONOMA, CA US","38.2994","-122.4622","29.6","2015",,"9.14",,"60.5","74.4"
"USC00048351","SONOMA, CA US","38.2994","-122.4622","29.6","2016",,"31.62",,"59.7","72.6"
"USR0000CHAW","HAWKEYE CALIFORNIA, CA US","38.7817","-122.9169","609.6","2010",,,,"56.8","63.9"
"USR0000CHAW","HAWKEYE CALIFORNIA, CA US","38.7817","-122.9169","609.6","2011",,,,"57.7","65.1"
"USR0000CHAW","HAWKEYE CALIFORNIA, CA US","38.7817","-122.9169","609.6","2012",,,,"58.8","66.6"
"USR0000CHAW","HAWKEYE CALIFORNIA, CA US","38.7817","-122.9169","609.6","2013",,,,"60.0","68.4"
"USR0000CHAW","HAWKEYE CALIFORNIA, CA US","38.7817","-122.9169","609.6","2014",,,,"61.1","68.8"
