"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2010",,,,"60.1","68.9"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2011",,,,"59.8","69.0"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2012",,,,"62.2","71.4"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2013",,,,"62.7","72.1"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2014",,,,"64.4","73.3"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2015",,,,"63.2","72.6"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2016",,,,"62.8","71.7"
"US1CASS0001","KNIGHTS FERRY 5.2 WSW, CA US","2013",,"4.52","0.0",,
"US1CASS0001","KNIGHTS FERRY 5.2 WSW, CA US","2015",,"11.83","0.0",,
"US1CASS0001","KNIGHTS FERRY 5.2 WSW, CA US","2016",,"22.93","0.0",,
"USC00049073","TURLOCK NUMBER 2, CA US","2010",,"16.92","0.0","61.7","72.3"
"USC00049073","TURLOCK NUMBER 2, CA US","2011",,,,,
"USC00049073","TURLOCK NUMBER 2, CA US","2015",,"8.00",,"63.6","75.2"
"USC00049073","TURLOCK NUMBER 2, CA US","2016",,"16.58","0.0","65.7","76.5"
"USW00023258","MODESTO CITY CO AIRPORT, CA US","2010","6.3","17.75",,"61.9","73.7"
"USW00023258","MODESTO CITY CO AIRPORT, CA US","2011","5.8","10.81",,"61.3","73.8"
"USW00023258","MODESTO CITY CO AIRPORT, CA US","2012","6.3","12.74",,"63.1","76.3"
"USW00023258","MODESTO CITY CO AIRPORT, CA US","2013","6.0","4.69",,"63.2","77.0"
"USW00023258","MODESTO CITY CO AIRPORT, CA US","2014","6.5","13.21",,"65.3","78.3"
"USW00023258","MODESTO CITY CO AIRPORT, CA US","2015","6.5","7.25",,"65.4","78.4"
"USW00023258","MODESTO CITY CO AIRPORT, CA US","2016","6.5","16.26",,"65.6","78.3"
