"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2010",,,,"62.7","72.0"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2011",,,,"63.0","73.0"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2012",,,,"64.9","75.1"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2013",,,,"66.1","76.8"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2014",,,,"67.0","76.7"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2015",,,,"66.7","76.7"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2016",,,,"65.3","74.7"
"USR0000CCRN","CORNING CALIFORNIA, CA US","39.9389","-122.1697","89.6","2010",,,,"61.7","73.2"
"USR0000CCRN","CORNING CALIFORNIA, CA US","39.9389","-122.1697","89.6","2011",,,,"61.3","73.9"
"USR0000CCRN","CORNING CALIFORNIA, CA US","39.9389","-122.1697","89.6","2012",,,,"63.0","76.1"
"USR0000CCRN","CORNING CALIFORNIA, CA US","39.9389","-122.1697","89.6","2013",,,,"63.6","77.6"
"USR0000CCRN","CORNING CALIFORNIA, CA US","39.9389","-122.1697","89.6","2014",,,,"65.2","77.9"
"USR0000CCRN","CORNING CALIFORNIA, CA US","39.9389","-122.1697","89.6","2016",,,,"64.2","76.0"
"USR0000CLAS","LASSEN LODGE CALIFORNIA, CA US","40.3442","-121.7136","1267.7","2010",,,,"54.5","64.8"
"USR0000CLAS","LASSEN LODGE CALIFORNIA, CA US","40.3442","-121.7136","1267.7","2011",,,,"55.3","66.3"
"USR0000CLAS","LASSEN LODGE CALIFORNIA, CA US","40.3442","-121.7136","1267.7","2012",,,,"57.2","68.3"
"USR0000CLAS","LASSEN LODGE CALIFORNIA, CA US","40.3442","-121.7136","1267.7","2013",,,,"58.0","68.8"
"USR0000CLAS","LASSEN LODGE CALIFORNIA, CA US","40.3442","-121.7136","1267.7","2014",,,,"58.7","68.6"
"USR0000CLAS","LASSEN LODGE CALIFORNIA, CA US","40.3442","-121.7136","1267.7","2015",,,,"58.9","69.0"
"USR0000CLAS","LASSEN LODGE CALIFORNIA, CA US","40.3442","-121.7136","1267.7","2016",,,,"57.0","66.5"
"USC00047293","RED BLUFF TREATMENT PLANT, CA US","40.1622","-122.2202","80.8","2010",,"30.66","0.0",,
"USC00047293","RED BLUFF TREATMENT PLANT, CA US","40.1622","-122.2202","80.8","2011",,"17.15",,,
"USW00024216","RED BLUFF MUNICIPAL AIRPORT, CA US","40.1519","-122.2536","107.6","2010","7.4","27.23",,"62.1","73.7"
"USW00024216","RED BLUFF MUNICIPAL AIRPORT, CA US","40.1519","-122.2536","107.6","2011","7.4","15.86",,"61.8","74.6"
"USW00024216","RED BLUFF MUNICIPAL AIRPORT, CA US","40.1519","-122.2536","107.6","2012","7.4","25.57",,"63.4","76.7"
"USW00024216","RED BLUFF MUNICIPAL AIRPORT, CA US","40.1519","-122.2536","107.6","2013","7.6","5.41",,"64.3","78.4"
"USW00024216","RED BLUFF MUNICIPAL AIRPORT, CA US","40.1519","-122.2536","107.6","2014","7.6","26.97",,"65.9","78.8"
"USW00024216","RED BLUFF MUNICIPAL AIRPORT, CA US","40.1519","-122.2536","107.6","2015","7.2","9.67",,"65.7","79.1"
"USW00024216","RED BLUFF MUNICIPAL AIRPORT, CA US","40.1519","-122.2536","107.6","2016","7.6","28.92",,"64.5","76.6"
"US1CATH0040","GERBER 3.5 SW, CA US","40.021","-122.1901","81.7","2014",,"24.61",,,
"US1CATH0040","GERBER 3.5 SW, CA US","40.021","-122.1901","81.7","2015",,"13.21",,,
"US1CATH0040","GERBER 3.5 SW, CA US","40.021","-122.1901","81.7","2016",,"36.44",,,
"US1CATH0041","LOS MOLINOS 0.4 SE, CA US","40.0229","-122.0921","69.2","2014",,"26.37",,,
"US1CATH0020","COTTONWOOD 6.7 SSW, CA US","40.3071","-122.3472","178.3","2014",,"29.37",,,
"USR0000CEAG","EAGLE PEAK CALIFORNIA, CA US","39.9278","-122.6569","1131.7","2010",,,,"55.2","62.6"
"USR0000CEAG","EAGLE PEAK CALIFORNIA, CA US","39.9278","-122.6569","1131.7","2012",,,,"57.8","65.5"
"USR0000CEAG","EAGLE PEAK CALIFORNIA, CA US","39.9278","-122.6569","1131.7","2013",,,,"58.7","66.3"
"USR0000CEAG","EAGLE PEAK CALIFORNIA, CA US","39.9278","-122.6569","1131.7","2014",,,,"59.7","66.8"
"USR0000CEAG","EAGLE PEAK CALIFORNIA, CA US","39.9278","-122.6569","1131.7","2015",,,,"59.8","67.1"
"USR0000CEAG","EAGLE PEAK CALIFORNIA, CA US","39.9278","-122.6569","1131.7","2016",,,,"57.3","64.2"
"US1CATH0011","RED BLUFF 5.1 NNW, CA US","40.2417","-122.2806","151.5","2013",,"8.78",,,
"US1CATH0011","RED BLUFF 5.1 NNW, CA US","40.2417","-122.2806","151.5","2014",,"31.48",,,
"US1CATH0011","RED BLUFF 5.1 NNW, CA US","40.2417","-122.2806","151.5","2015",,"13.82",,,
"US1CATH0011","RED BLUFF 5.1 NNW, CA US","40.2417","-122.2806","151.5","2016",,"36.30",,,
"US1CATH0022","RED BLUFF 6.2 NW, CA US","40.2283","-122.3345","144.5","2014",,"26.45",,,
"US1CATH0012","COTTONWOOD 9.1 SW, CA US","40.2821","-122.3784","194.8","2014",,"32.22",,,
"US1CATH0012","COTTONWOOD 9.1 SW, CA US","40.2821","-122.3784","194.8","2015",,"15.83",,,
"US1CATH0024","GERBER LAS FLORES 3.5 SW, CA US","40.0221","-122.1901","82.9","2013",,"5.02","0.0",,
"US1CATH0036","MANTON 0.8 ENE, CA US","40.4375","-121.8559","644.0","2014",,"55.00",,,
"US1CATH0037","RED BLUFF 5.7 W, CA US","40.1611","-122.3461","149.4","2015",,"14.04",,,
"US1CATH0037","RED BLUFF 5.7 W, CA US","40.1611","-122.3461","149.4","2016",,"29.04",,,
"US1CATH0005","RED BLUFF 6.0 W, CA US","40.1591","-122.3515","127.4","2015",,"14.52",,,
