"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX"
"US1CATL0002","LINDSAY 0.5 N, CA US","36.2133","-119.0885","115.2","2011","7.04","0.0",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2010",,,"56.8","64.4"
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2011",,,"57.1","64.8"
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2012",,,"59.4","67.4"
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2013",,,"60.2","68.6"
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2014",,,"62.0","70.4"
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2015",,,"60.7","68.8"
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","2016",,,"60.3","68.4"
"USR0000CBRK","BLACKROCK CALIFORNIA, CA US","36.0931","-118.2603","2499.4","2010",,,"45.1","59.5"
"USR0000CBRK","BLACKROCK CALIFORNIA, CA US","36.0931","-118.2603","2499.4","2011",,,"45.1","59.3"
"USR0000CBRK","BLACKROCK CALIFORNIA, CA US","36.0931","-118.2603","2499.4","2016",,,"47.1","61.7"
"USR0000CUHL","UHL HOT SPRINGS, CA US","35.8889","-118.6333","1133.9","2010",,,,
"USR0000CUHL","UHL HOT SPRINGS, CA US","35.8889","-118.6333","1133.9","2011",,,"56.9","69.6"
"USR0000CUHL","UHL HOT SPRINGS, CA US","35.8889","-118.6333","1133.9","2012",,,"59.5","72.9"
"USR0000CUHL","UHL HOT SPRINGS, CA US","35.8889","-118.6333","1133.9","2013",,,"59.2","72.7"
"USR0000CUHL","UHL HOT SPRINGS, CA US","35.8889","-118.6333","1133.9","2014",,,"60.9","74.1"
"USR0000CUHL","UHL HOT SPRINGS, CA US","35.8889","-118.6333","1133.9","2015",,,"59.6","72.0"
"USR0000CUHL","UHL HOT SPRINGS, CA US","35.8889","-118.6333","1133.9","2016",,,"58.3","70.2"
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","2010",,,"46.0","53.7"
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","2011",,,"46.1","53.8"
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","2012",,,"47.8","55.7"
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","2013",,,"48.3","56.6"
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","2014",,,"50.2","58.3"
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","2015",,,,
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","2016",,,"49.0","56.7"
"USR0000CWOL","WOLVERTON CALIFORNIA, CA US","36.445","-118.7033","1597.2","2010",,,,
"USR0000CWOL","WOLVERTON CALIFORNIA, CA US","36.445","-118.7033","1597.2","2012",,,"58.7","70.5"
"USR0000CWOL","WOLVERTON CALIFORNIA, CA US","36.445","-118.7033","1597.2","2013",,,"58.6","69.7"
"USR0000CWOL","WOLVERTON CALIFORNIA, CA US","36.445","-118.7033","1597.2","2014",,,"60.2","71.2"
"USR0000CWOL","WOLVERTON CALIFORNIA, CA US","36.445","-118.7033","1597.2","2015",,,"58.8","69.5"
"USR0000CWOL","WOLVERTON CALIFORNIA, CA US","36.445","-118.7033","1597.2","2016",,,"58.5","69.0"
"USR0000CMIO","MILO CALIFORNIA, CA US","36.2314","-118.8689","586.1","2010",,,"63.1","72.2"
"USR0000CMIO","MILO CALIFORNIA, CA US","36.2314","-118.8689","586.1","2011",,,"62.9","72.0"
"USR0000CMIO","MILO CALIFORNIA, CA US","36.2314","-118.8689","586.1","2012",,,"65.4","74.6"
"USR0000CMIO","MILO CALIFORNIA, CA US","36.2314","-118.8689","586.1","2013",,,"65.5","74.8"
"USR0000CMIO","MILO CALIFORNIA, CA US","36.2314","-118.8689","586.1","2014",,,"67.8","76.9"
"USR0000CMIO","MILO CALIFORNIA, CA US","36.2314","-118.8689","586.1","2015",,,"66.3","75.1"
"USR0000CMIO","MILO CALIFORNIA, CA US","36.2314","-118.8689","586.1","2016",,,"65.9","75.1"
"USR0000COKO","OAK OPENING CALIFORNIA, CA US","36.1753","-118.7017","987.6","2010",,,"60.1","72.9"
