"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","PRCP","SNOW","TAVG","TMAX","WDMV"
"USC00041697","CHERRY VALLEY DAM, CA US","37.9747","-119.9161","1452.4","2010",,"73.59","212.0","52.4","63.6",
"USC00041697","CHERRY VALLEY DAM, CA US","37.9747","-119.9161","1452.4","2011",,,,"52.2","63.9",
"USC00041697","CHERRY VALLEY DAM, CA US","37.9747","-119.9161","1452.4","2012",,,,,,
"USC00041697","CHERRY VALLEY DAM, CA US","37.9747","-119.9161","1452.4","2014",,"35.14",,"57.3","69.4",
"USC00041697","CHERRY VALLEY DAM, CA US","37.9747","-119.9161","1452.4","2015",,"34.43",,"56.8","68.7",
"USC00041697","CHERRY VALLEY DAM, CA US","37.9747","-119.9161","1452.4","2016",,"55.28","60.5","55.7","67.6",
"USC00043669","GROVELAND 2, CA US","37.8444","-120.2258","853.4","2010",,"54.54","11.1","54.5","68.1",
"USC00043669","GROVELAND 2, CA US","37.8444","-120.2258","853.4","2011",,"36.06",,"54.1","68.0",
"USC00043669","GROVELAND 2, CA US","37.8444","-120.2258","853.4","2012",,"38.17",,"56.3","70.5",
"USC00043669","GROVELAND 2, CA US","37.8444","-120.2258","853.4","2016",,"41.40","0.0","56.4","71.7",
"USR0000CBUC","BUCK MEADOWS CALIFORNIA, CA US","37.8233","-120.0975","975.4","2011",,,,"54.5","69.2",
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2010","66.5","47.58","0.0","61.6","73.7","10531.0"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2011","68.4","30.17",,"61.7","74.1","11295.3"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2012","79.4","30.70",,"63.6","76.5","9574.1"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013","85.0","8.81",,"64.1","77.6","11855.1"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2014",,,,,,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2016",,"32.89","0.0","63.7","77.1",
"USR0000CWWO","WHITE WOLF CALIFORNIA, CA US","37.8511","-119.65","2446.0","2010",,,,,,
"USR0000CWWO","WHITE WOLF CALIFORNIA, CA US","37.8511","-119.65","2446.0","2011",,,,"43.2","56.4",
"USR0000CWWO","WHITE WOLF CALIFORNIA, CA US","37.8511","-119.65","2446.0","2012",,,,"45.5","58.0",
"USR0000CWWO","WHITE WOLF CALIFORNIA, CA US","37.8511","-119.65","2446.0","2013",,,,"45.6","59.1",
"USR0000CWWO","WHITE WOLF CALIFORNIA, CA US","37.8511","-119.65","2446.0","2014",,,,"46.1","58.9",
"USR0000CWWO","WHITE WOLF CALIFORNIA, CA US","37.8511","-119.65","2446.0","2015",,,,"45.0","57.5",
"USR0000CWWO","WHITE WOLF CALIFORNIA, CA US","37.8511","-119.65","2446.0","2016",,,,"44.6","57.8",
"USR0000CTUO","GAYLOR MEADOW CALIFORNIA, CA US","37.8683","-119.3183","2825.5","2010",,,,,,
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2014",,"18.72",,"39.9","54.9",
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2015",,,,,,
"USC00049063","TUOLUMNE MEADOWS RANGER STATION, CA US","37.8769","-119.3436","2649.9","2016",,"32.14",,"38.4","52.9",
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","2010",,,,"60.9","71.9",
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","2011",,,,"60.5","72.0",
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","2012",,,,"62.8","74.5",
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","2013",,,,"62.8","75.1",
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","2014",,,,"65.1","76.6",
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","2015",,,,"63.5","75.2",
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","2016",,,,"63.3","74.8",
"USC00043939","HETCH HETCHY, CA US","37.9613","-119.783","1179.6","2010",,"56.81","93.0","52.5","63.2",
"USC00043939","HETCH HETCHY, CA US","37.9613","-119.783","1179.6","2012",,,,,,
"USC00043939","HETCH HETCHY, CA US","37.9613","-119.783","1179.6","2014",,"28.03",,"58.2","69.4",
