"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","PRCP","SNOW","TAVG","TMAX"
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.6471","-121.7322","11.6","2013",,"4.27","0.0",,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.6471","-121.7322","11.6","2014",,"17.42",,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.6471","-121.7322","11.6","2015",,"6.74",,,
"US1CAYL0021","DAVIS 6.3 W, CA US","38.5613","-121.8522","26.2","2015",,"8.30",,,
"US1CAYL0021","DAVIS 6.3 W, CA US","38.5613","-121.8522","26.2","2016",,"20.21",,,
"US1CAYL0001","DAVIS 1.2 SE, CA US","38.5425","-121.721","11.0","2010",,"23.05",,,
"US1CAYL0001","DAVIS 1.2 SE, CA US","38.5425","-121.721","11.0","2012",,"23.89",,,
"US1CAYL0001","DAVIS 1.2 SE, CA US","38.5425","-121.721","11.0","2016",,"20.35",,,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2010",,"27.52","0.0","62.3","73.7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2012",,"24.41",,"63.4","76.4"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2013",,,,,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2014",,"20.06",,"66.0","79.0"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016",,"20.44",,"64.6","77.5"
"US1CAYL0002","DAVIS 0.8 NE, CA US","38.5618","-121.7241","12.5","2010",,"22.28",,,
"US1CAYL0002","DAVIS 0.8 NE, CA US","38.5618","-121.7241","12.5","2011",,"17.14",,,
"US1CAYL0002","DAVIS 0.8 NE, CA US","38.5618","-121.7241","12.5","2012",,"21.94",,,
"US1CAYL0002","DAVIS 0.8 NE, CA US","38.5618","-121.7241","12.5","2013",,"6.02",,,
"US1CAYL0002","DAVIS 0.8 NE, CA US","38.5618","-121.7241","12.5","2014",,"19.93",,,
"US1CAYL0002","DAVIS 0.8 NE, CA US","38.5618","-121.7241","12.5","2015",,"8.09",,,
"US1CAYL0002","DAVIS 0.8 NE, CA US","38.5618","-121.7241","12.5","2016",,"20.19",,,
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2010",,,,"61.8","74.6"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2011",,,,"61.6","75.1"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012",,,,"63.6","77.5"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013",,,,"63.9","78.8"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014",,,,"66.1","79.8"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015",,,,"64.9","79.1"
