"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX"
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2010",,"111.91","162.3","50.4","62.1"
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2011",,,,"50.3","62.7"
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2012",,,,,
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2013",,"21.80",,"53.4","67.3"
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2015",,"42.75",,"54.6","68.1"
"USC00048606","STRAWBERRY VALLEY, CA US","39.563","-121.1077","1160.7","2016",,"108.65","37.5","53.3","66.2"
"USR0000CPIK","PIKE CO LOOKOUT CALIFORNIA, CA US","39.475","-121.2025","1132.0","2011",,,,"55.8","64.2"
"USR0000CPIK","PIKE CO LOOKOUT CALIFORNIA, CA US","39.475","-121.2025","1132.0","2012",,,,"57.6","66.3"
"USR0000CPIK","PIKE CO LOOKOUT CALIFORNIA, CA US","39.475","-121.2025","1132.0","2013",,,,,
"USR0000CPIK","PIKE CO LOOKOUT CALIFORNIA, CA US","39.475","-121.2025","1132.0","2015",,,,"59.7","67.8"
"USR0000CPIK","PIKE CO LOOKOUT CALIFORNIA, CA US","39.475","-121.2025","1132.0","2016",,,,"57.8","65.2"
"USC00041916","COLGATE POWERHOUSE, CA US","39.3308","-121.1922","181.4","2010",,"54.91","0.0",,
"USC00041916","COLGATE POWERHOUSE, CA US","39.3308","-121.1922","181.4","2013",,"11.34",,,
"USC00041916","COLGATE POWERHOUSE, CA US","39.3308","-121.1922","181.4","2014",,"44.94",,,
"USC00041916","COLGATE POWERHOUSE, CA US","39.3308","-121.1922","181.4","2015",,"21.45","0.0",,
"USC00041916","COLGATE POWERHOUSE, CA US","39.3308","-121.1922","181.4","2016",,"51.76","0.0",,
"USW00093205","MARYSVILLE YUBA CO AIRPORT, CA US","39.1019","-121.5677","18.9","2010","6.7","24.89",,"61.4","73.8"
"USW00093205","MARYSVILLE YUBA CO AIRPORT, CA US","39.1019","-121.5677","18.9","2011","6.0","19.67",,"60.8","73.4"
"USW00093205","MARYSVILLE YUBA CO AIRPORT, CA US","39.1019","-121.5677","18.9","2012","6.3","24.73",,"62.5","76.2"
"USW00093205","MARYSVILLE YUBA CO AIRPORT, CA US","39.1019","-121.5677","18.9","2013","6.0","7.19",,"62.5","77.4"
"USW00093205","MARYSVILLE YUBA CO AIRPORT, CA US","39.1019","-121.5677","18.9","2014","6.5","20.78",,"64.5","78.3"
"USW00093205","MARYSVILLE YUBA CO AIRPORT, CA US","39.1019","-121.5677","18.9","2015","6.5","9.99",,"63.8","77.7"
"USW00093205","MARYSVILLE YUBA CO AIRPORT, CA US","39.1019","-121.5677","18.9","2016","6.5","21.35",,"63.1","76.3"
"US1CAYB0001","CHALLENGE BROWNSVILLE 1.3 WSW, CA US","39.4518","-121.2801","624.5","2012",,"78.12",,,
"US1CAYB0001","CHALLENGE BROWNSVILLE 1.3 WSW, CA US","39.4518","-121.2801","624.5","2014",,"62.74",,,
"US1CAYB0001","CHALLENGE BROWNSVILLE 1.3 WSW, CA US","39.4518","-121.2801","624.5","2015",,"28.89",,,
"US1CAYB0001","CHALLENGE BROWNSVILLE 1.3 WSW, CA US","39.4518","-121.2801","624.5","2016",,"75.19",,,
"US1CAYB0003","MARYSVILLE 5.0 N, CA US","39.2241","-121.594","22.3","2012",,"23.27",,,
"US1CAYB0003","MARYSVILLE 5.0 N, CA US","39.2241","-121.594","22.3","2016",,"29.25",,,
