,county,arson_x,campfire_x,debris burning_x,equip. use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x,region_x,total,brush,grass,timber,woodland,other,year_y,region_y,arson,campfire,debris burning_y,equip. use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region,county_year
0,Alameda,1.0,0.0,0.0,9.0,0.0,16.0,5.0,0.0,0.0,0.0,14.0,4.0,2011.0,north,15.0,24.0,7.0,1.0,2.0,0.0,0.0,2011.0,north,545,0.0,0.0,730,0,116.0,24.0,0.0,0.0,0.0,15,77.0,2011.0,north,1507.0,4.0,1421.0,0.0,0.0,82.0,2011.0,north,"$137,000 ",$0 ,$0 ,"$339,250 ",$0 ,"$7,900 ","$2,500 ",$0 ,,$0 ,$500 ,$600 ,2011.0,north,"$60,000 ","$3,900 ","$14,850 ","$22,000 ","$387,000 ",$0 ,$0 ,2011.0,north,Alameda_2012
1,Amador,1.0,0.0,10.0,6.0,0.0,21.0,2.0,0.0,0.0,0.0,8.0,3.0,2011.0,north,25.0,23.0,3.0,0.0,0.0,0.0,0.0,2011.0,north,4,0.0,24.0,5,0,29.0,7.0,0.0,0.0,0.0,17,28.0,2011.0,north,115.0,0.0,90.0,2.0,1.0,22.0,2011.0,north,$0 ,$0 ,$200 ,$0 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,"$3,000 ",$0 ,2011.0,north,"$3,000 ","$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Amador_2012
2,Butte,24.0,1.0,29.0,16.0,2.0,48.0,9.0,0.0,0.0,2.0,27.0,6.0,2011.0,north,94.0,62.0,8.0,0.0,0.0,0.0,0.0,2011.0,north,20,0.0,45.0,29,0,33.0,13.0,0.0,0.0,1.0,103,32.0,2011.0,north,276.0,2.0,163.0,51.0,5.0,55.0,2011.0,north,$0 ,$0 ,"$32,000 ","$46,400 ",$0 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,"$25,200 ","$20,000 ",2011.0,north,"$2,200 ","$123,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Butte_2012
3,Calaveras,5.0,1.0,37.0,11.0,3.0,45.0,2.0,1.0,0.0,2.0,25.0,2.0,2011.0,south,63.0,62.0,8.0,0.0,1.0,0.0,0.0,2011.0,south,0,0.0,28.0,189,6,865.0,5.0,0.0,0.0,12.0,39,1.0,2011.0,south,1146.0,153.0,216.0,761.0,1.0,15.0,2011.0,south,$100 ,$0 ,"$59,076 ","$44,300 ","$2,000 ","$170,975 ","$20,000 ",$0 ,$0 ,"$4,800 ","$21,075 ",$0 ,2011.0,south ,"$1,926 ","$104,750 ","$215,650 ",$0 ,$0 ,$0 ,$0 ,2011.0,south,Calaveras_2012
4,Colusa,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2011.0,north,6.0,3.0,2.0,0.0,0.0,0.0,0.0,2011.0,north,2,0.0,0.0,4,0,1.0,0.0,0.0,0.0,0.0,70,0.0,2011.0,north,77.0,0.0,77.0,0.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,"$13,000 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011.0,north,$0 ,"$13,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Colusa_2012
5,Contra Costa,3.0,0.0,3.0,5.0,1.0,32.0,1.0,0.0,0.0,0.0,21.0,2.0,2011.0,north,27.0,32.0,8.0,1.0,0.0,0.0,0.0,2011.0,north,18,0.0,1.0,57,7,259.0,12.0,0.0,0.0,0.0,118,3.0,2011.0,north,474.0,2.0,404.0,0.0,13.0,55.0,2011.0,north,,,,,,,,,,,,,,,"$650,000 ","$3,450 ","$31,200 ",$0 ,$0 ,$0 ,$0 ,2011.0,north,Contra Costa_2012
6,Del Norte,2.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,2011.0,north,14.0,3.0,0.0,0.0,0.0,0.0,0.0,2011.0,north,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,2011.0,north,3.0,0.0,3.0,0.0,0.0,0.0,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,north,Del Norte_2012
7,E. San Joaquin,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2011.0,south,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2011.0,south,1,0.0,0.0,0,0,8.0,0.0,0.0,0.0,0.0,17,0.0,2011.0,south,26.0,0.0,26.0,0.0,0.0,0.0,2011.0,south,$100 ,$0 ,$0 ,"$7,000 ",$0 ,"$6,110 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,south ,"$7,000 ","$6,210 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011.0,south,E. San Joaquin_2012
8,E. Stanislaus,3.0,3.0,0.0,3.0,1.0,22.0,1.0,0.0,0.0,1.0,16.0,2.0,2011.0,south,12.0,29.0,7.0,2.0,1.0,1.0,0.0,2011.0,south,259,0.0,0.0,59,"1,122",431.0,3.0,0.0,0.0,1.0,276,6.0,2011.0,south,2158.0,1.0,2073.0,0.0,0.0,84.0,2011.0,south,"$103,200 ",$35 ,$0 ,"$8,800 ","$224,400 ","$17,250 ",$600 ,$0 ,$0 ,$0 ,"$13,310 ","$9,200 ",2011.0,south ,$35 ,"$17,950 ","$29,610 ","$104,800 ",$0 ,"$224,400 ",$0 ,2011.0,south,E. Stanislaus_2012
9,E. Trinity,3.0,1.0,1.0,2.0,0.0,10.0,3.0,0.0,0.0,1.0,5.0,2.0,2011.0,north,6.0,20.0,2.0,0.0,0.0,0.0,0.0,2011.0,north,13,1.0,1.0,1,0,8.0,32.0,0.0,0.0,1.0,10,2.0,2011.0,north,69.0,31.0,26.0,8.0,1.0,3.0,2011.0,north,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,"$10,000 ",$0 ,,"$1,000 ","$5,000 ",$0 ,2011.0,north,$100 ,"$6,000 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,2011.0,north,E. Trinity_2012
