,county,arson_x,campfire_x,debris burning_x,elec. power_x,equip. use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,total_x,arson_y,campfire_y,debris burning_y,elec. power_y,equip. use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x,region_x,total_y,brush,grass,timber,woodland,other,year_y,region_y,arson,campfire,debris burning,equip. use,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region,county_year
0,Alameda,1.0,0.0,1.0,7.0,8.0,0.0,1.0,0.0,0.0,1.0,15.0,12.0,2013.0,north,13.0,20.0,11.0,2.0,0.0,0.0,0.0,2013.0,north,843,0.0,0.0,1.0,256,65,0.0,1,0.0,0.0,240.0,85,195.0,2013.0,Northern,843.0,1.0,839.0,0.0,0.0,3.0,2013.0,north,$0 ,$0 ,$400 ,"$21,050 ","$25,300 ",$0 ,$0 ,$0 ,$0 ,"$10,000 ","$11,875 ","$73,500 ",2013.0,north,"$2,250 ","$3,702 ","$117,923 ","$18,250 ",$0 ,$0 ,$0 ,2013.0,north,Alameda_2013
1,Amador,5.0,0.0,20.0,7.0,5.0,0.0,14.0,1.0,0.0,0.0,10.0,2.0,2013.0,north,44.0,18.0,1.0,1.0,0.0,0.0,0.0,2013.0,north,221,4.0,0.0,9.0,100,2,0.0,2,100.0,0.0,0.0,2,2.0,2013.0,Northern,221.0,4.0,112.0,2.0,0.0,103.0,2013.0,north,$500 ,$0 ,$0 ,$50 ,$0 ,$0 ,"$1,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,"$1,500 ",$550 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Amador_2013
2,Butte,13.0,6.0,39.0,15.0,9.0,15.0,50.0,8.0,0.0,2.0,42.0,11.0,2013.0,north,131.0,64.0,10.0,3.0,1.0,1.0,0.0,2013.0,north,"3,416",22.0,4.0,107.0,197,"2,283",5.0,549,2.0,0.0,0.0,206,41.0,2013.0,Northern,3416.0,96.0,963.0,74.0,2.0,2281.0,2013.0,north,"$100,000 ","$2,000 ","$36,100 ","$10,000 ","$55,524 ",$2 ,"$625,000 ",$0 ,$0 ,$0 ,"$15,150 ",$0 ,2013.0,north,"$25,152 ","$21,100 ","$119,000 ",$0 ,"$625,000 ","$53,524 ",$0 ,2013.0,north,Butte_2013
3,Butte,13.0,6.0,39.0,15.0,9.0,15.0,50.0,8.0,0.0,2.0,42.0,11.0,2013.0,north,131.0,64.0,10.0,3.0,1.0,1.0,0.0,2013.0,north,"10,312",22.0,4.0,107.0,197,"2,283",5.0,549,2.0,0.0,0.0,"7,102",41.0,2013.0,Northern,3416.0,96.0,963.0,74.0,2.0,2281.0,2013.0,north,"$100,000 ","$2,000 ","$36,100 ","$10,000 ","$55,524 ",$2 ,"$625,000 ",$0 ,$0 ,$0 ,"$15,150 ",$0 ,2013.0,north,"$25,152 ","$21,100 ","$119,000 ",$0 ,"$625,000 ","$53,524 ",$0 ,2013.0,north,Butte_2013
4,Calaveras,4.0,3.0,22.0,9.0,11.0,0.0,7.0,3.0,0.0,1.0,30.0,8.0,2013.0,south,40.0,53.0,5.0,0.0,0.0,0.0,0.0,2013.0,south,211,3.0,2.0,20.0,38,13,0.0,22,2.0,0.0,1.0,82,28.0,2013.0,Southern,211.0,87.0,99.0,10.0,2.0,13.0,2013.0,south,$402 ,$125 ,"$1,592 ","$9,720 ","$13,100 ",$0 ,"$6,600 ",$0 ,$0 ,$100 ,"$14,205 ","$2,800 ",2013.0,south,"$3,145 ","$20,499 ","$25,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,south,Calaveras_2013
5,Colusa,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2013.0,north,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,11,0.0,0.0,0.0,0,2,1.0,0,0.0,0.0,0.0,8,0.0,2013.0,Northern,11.0,2.0,9.0,0.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,$900 ,$100 ,2013.0,north,$100 ,$920 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Colusa_2013
6,Contra Costa,7.0,1.0,1.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,22.0,1.0,2013.0,north,25.0,10.0,5.0,1.0,1.0,1.0,0.0,2013.0,north,"3,971",1.0,0.0,1.0,505,60,0.0,"3,101",0.0,0.0,0.0,300,3.0,2013.0,Northern,3971.0,1.0,3732.0,0.0,0.0,238.0,2013.0,north,$110 ,$0 ,$100 ,"$4,100 ","$3,400 ",$0 ,"$105,000 ",$0 ,$0 ,$0 ,$200 ,$0 ,2013.0,north,"$5,110 ",$500 ,"$3,300 ",$0 ,"$4,000 ","$100,000 ",$0 ,2013.0,north,Contra Costa_2013
7,Del Norte,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2013.0,north,7.0,5.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,15,0.0,11.0,1.0,0,0,0.0,0,0.0,0.0,0.0,2,1.0,2013.0,Northern,15.0,0.0,5.0,1.0,8.0,1.0,2013.0,north,$0 ,$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$20 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Del Norte_2013
8,E. San Joaquin,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013.0,south,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2013.0,south,408,0.0,0.0,0.0,0,377,0.0,0,0.0,0.0,0.0,31,0.0,2013.0,Southern,408.0,0.0,384.0,0.0,0.0,24.0,2013.0,south,$0 ,$0 ,$0 ,$0 ,"$70,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,500 ",$0 ,2013.0,south,$0 ,$100 ,"$15,400 ",$0 ,"$60,000 ",$0 ,$0 ,2013.0,south,E. San Joaquin_2013
9,E. Stanislaus,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,2013.0,south,9.0,11.0,3.0,0.0,0.0,0.0,0.0,2013.0,south,82,1.0,1.0,0.0,0,1,0.0,0,0.0,0.0,0.0,79,0.0,2013.0,Southern,82.0,0.0,62.0,0.0,0.0,20.0,2013.0,south,$210 ,$0 ,$0 ,"$5,000 ",$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$6,620 ",$0 ,2013.0,south,"$5,110 ","$5,270 ","$1,500 ",$0 ,$0 ,$0 ,$0 ,2013.0,south,E. Stanislaus_2013
