,county,arson_x,campfire_x,debris burning_x,elec. power_x,equip. use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,arson_y,campfire_y,debris burning_y,elec. power_y,equip. use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year_x,region_x,total_x,arson,campfire,debris burning,elec. power,equip. use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_y,year.1,region_y,total_y,brush,grass,timber,woodland,other,year,region,county_year
0,Alameda,0,0,0,8,4,0,4,0,0,0,16,7,2016,north,10,20,9,0,0,0,0,2016,north,$0 ,$0 ,$0 ,"$11,300 ","$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$9,910 ","$10,000 ",2016,unspecified,$0 ,"$14,700 ","$17,710 ",$0 ,$0 ,$0 ,$0 ,2016,north,170,0,0,0,70,20.0,0,1,0,0,0,39,40,2016,2016,Northern,170.0,0.0,164.0,0.0,0.0,6.0,2016.0,north,Alameda_2016
1,Alpine,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,2016,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2016,2016,Northern,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,north,Alpine_2016
2,Amador,2,0,17,6,7,1,7,0,0,3,5,9,2016,north,29,21,6,1,0,0,0,2016,north,$0 ,$0 ,$0 ,"$6,000 ",$700 ,$0 ,"$200,000 ",$0 ,$0 ,$70 ,"$20,000 ","$80,300 ",2016,unspecified,"$6,070 ","$281,000 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,2016,north,383,3,0,8,2,41.0,3,18,0,0,0,260,48,2016,2016,Northern,383.0,0.0,118.0,6.0,1.0,258.0,2016.0,north,Amador_2016
3,Butte,0,0,0,0,0,0,0,0,0,0,0,0,2016,north,0,0,0,0,0,0,0,2016,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2016,2016,Northern,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,north,Butte_2016
4,Calaveras,1,3,22,9,14,0,12,2,0,1,21,9,2016,south,54,28,9,0,3,0,0,2016,south,$0 ,$0 ,"$1,270 ","$1,400 ","$286,300 ",$0 ,"$1,077 ",$0 ,$0 ,$20 ,"$24,786 ","$90,156 ",2016,unspecified,"$2,761 ","$5,248 ","$57,000 ",$0 ,"$340,000 ",$0 ,$0 ,2016,south,"1,453",0,0,13,344,540.0,0,8,0,0,0,92,456,2016,2016,Southern,1453.0,372.0,1046.0,2.0,1.0,32.0,2016.0,north,Calaveras_2016
5,Colusa,1,1,0,0,0,0,0,0,0,0,0,2,2016,north,3,1,0,0,0,0,0,2016,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,7,6,0,0,0,0.0,0,0,0,0,0,0,1,2016,2016,Northern,7.0,0.0,7.0,0.0,0.0,0.0,2016.0,north,Colusa_2016
6,Contra Costa,0,0,0,4,6,0,1,0,0,0,15,2,2016,north,13,10,5,0,0,0,0,2016,north,$0 ,$0 ,$0 ,$250 ,"$1,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$9,500 ",$0 ,2016,unspecified,$50 ,"$1,900 ","$9,500 ",$0 ,$0 ,$0 ,$0 ,2016,north,224,0,0,0,57,9.0,0,7,0,0,0,148,3,2016,2016,Northern,224.0,0.0,224.0,0.0,0.0,0.0,2016.0,north,Contra Costa_2016
7,Del Norte,7,2,1,0,1,1,0,1,0,0,14,1,2016,north,23,4,0,1,0,0,0,2016,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,unspecified,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,105,1,0,0,0,1.0,0,0,0,0,0,103,0,2016,2016,Northern,105.0,0.0,2.0,1.0,0.0,102.0,2016.0,north,Del Norte_2016
8,El Dorado,27,4,34,15,20,0,11,0,0,1,41,16,2016,north,115,49,4,1,0,0,0,2016,north,$850 ,$0 ,"$2,550 ","$50,170 ","$80,000 ",$0 ,"$32,250 ",$0 ,$0 ,$0 ,"$60,200 ","$4,995 ",2016,unspecified,"$13,665 ","$217,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,371,25,0,19,206,94.0,0,2,0,0,1,21,3,2016,2016,Northern,371.0,6.0,62.0,179.0,5.0,119.0,2016.0,north,El Dorado_2016
9,Fresno,27,1,14,18,5,4,10,0,0,1,20,6,2016,south,56,37,3,7,0,2,1,2016,south,"$758,025 ",$0 ,"$2,020 ","$3,656 ",$0 ,$0 ,$1 ,$0 ,$0 ,"$25,000 ","$17,200 ","$7,015 ",2016,unspecified,$135 ,"$10,201 ","$2,000 ","$36,556 ",$0 ,"$185,275 ","$578,750 ",2016,south,"13,568","9,507",1,6,152,3.0,150,24,0,0,123,"3,422",180,2016,2016,Southern,13568.0,10160.0,3401.0,1.0,2.0,4.0,2016.0,south,Fresno_2016
