county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning,equip_use,ltng,misc,powerline_y,pwf,railroad_y,smoking_y,undet,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning_y,equip._use_y,ltng._y,misc._y,power-line,p-w-f_y,rail-road,smoking,undet._y,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Alameda,1,0,0,9,0,16,5,0,0,0,14,4,2011,north,15,24,7,1,2,0,0,2011,north,545,0,0,730,0,116,24,0,0,0,15,77,2011,north,4,1421,0,0,82,2011,north,"$137,000 ",$0 ,$0 ,"$339,250 ",$0 ,"$7,900 ","$2,500 ",$0 ,,$0 ,$500 ,$600 ,2011,north,"$60,000 ","$3,900 ","$14,850 ","$22,000 ","$387,000 ",$0 ,$0 ,2011,north,Alameda_2012
Amador,1,0,10,6,0,21,2,0,0,0,8,3,2011,north,25,23,3,0,0,0,0,2011,north,4,0,24,5,0,29,7,0,0,0,17,28,2011,north,0,90,2,1,22,2011,north,$0 ,$0 ,$200 ,$0 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,"$3,000 ",$0 ,2011,north,"$3,000 ","$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Amador_2012
Butte,24,1,29,16,2,48,9,0,0,2,27,6,2011,north,94,62,8,0,0,0,0,2011,north,20,0,45,29,0,33,13,0,0,1,103,32,2011,north,2,163,51,5,55,2011,north,$0 ,$0 ,"$32,000 ","$46,400 ",$0 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,"$25,200 ","$20,000 ",2011,north,"$2,200 ","$123,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Butte_2012
Calaveras,5,1,37,11,3,45,2,1,0,2,25,2,2011,south,63,62,8,0,1,0,0,2011,south,0,0,28,189,6,865,5,0,0,12,39,1,2011,south,153,216,761,1,15,2011,south,$100 ,$0 ,"$59,076 ","$44,300 ","$2,000 ","$170,975 ","$20,000 ",$0 ,$0 ,"$4,800 ","$21,075 ",$0 ,2011,south ,"$1,926 ","$104,750 ","$215,650 ",$0 ,$0 ,$0 ,$0 ,2011,south,Calaveras_2012
Colusa,3,1,0,2,0,2,0,0,0,0,3,0,2011,north,6,3,2,0,0,0,0,2011,north,2,0,0,4,0,1,0,0,0,0,70,0,2011,north,0,77,0,0,0,2011,north,$0 ,$0 ,$0 ,"$13,000 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,2011,north,$0 ,"$13,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Colusa_2012
Contra Costa,3,0,3,5,1,32,1,0,0,0,21,2,2011,north,27,32,8,1,0,0,0,2011,north,18,0,1,57,7,259,12,0,0,0,118,3,2011,north,2,404,0,13,55,2011,north,,,,,,,,,,,,,,,"$650,000 ","$3,450 ","$31,200 ",$0 ,$0 ,$0 ,$0 ,2011,north,Contra Costa_2012
Del Norte,2,1,3,1,0,4,0,0,0,0,6,0,2011,north,14,3,0,0,0,0,0,2011,north,1,0,0,0,0,0,0,0,0,0,2,0,2011,north,0,3,0,0,0,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north,Del Norte_2012
E. San Joaquin,1,0,0,1,0,4,0,0,0,0,1,0,2011,south,1,5,1,0,0,0,0,2011,south,1,0,0,0,0,8,0,0,0,0,17,0,2011,south,0,26,0,0,0,2011,south,$100 ,$0 ,$0 ,"$7,000 ",$0 ,"$6,110 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,south ,"$7,000 ","$6,210 ",$0 ,$0 ,$0 ,$0 ,$0 ,2011,south,E. San Joaquin_2012
E. Stanislaus,3,3,0,3,1,22,1,0,0,1,16,2,2011,south,12,29,7,2,1,1,0,2011,south,259,0,0,59,"1,122",431,3,0,0,1,276,6,2011,south,1,2073,0,0,84,2011,south,"$103,200 ",$35 ,$0 ,"$8,800 ","$224,400 ","$17,250 ",$600 ,$0 ,$0 ,$0 ,"$13,310 ","$9,200 ",2011,south ,$35 ,"$17,950 ","$29,610 ","$104,800 ",$0 ,"$224,400 ",$0 ,2011,south,E. Stanislaus_2012
E. Trinity,3,1,1,2,0,10,3,0,0,1,5,2,2011,north,6,20,2,0,0,0,0,2011,north,13,1,1,1,0,8,32,0,0,1,10,2,2011,north,31,26,8,1,3,2011,north,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,"$10,000 ",$0 ,,"$1,000 ","$5,000 ",$0 ,2011,north,$100 ,"$6,000 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,2011,north,E. Trinity_2012
