county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,powerline_x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris,equip.,ltng._y,misc._y,powerline_y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning_y,equip._use_y,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Alameda,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,7.0,0.0,2012.0,north,3.0,9.0,3.0,0.0,0.0,0.0,0.0,2012.0,north,0,0,0.0,0,0,17,83,0.0,0.0,0.0,15,0.0,2012.0,north,0.0,114.0,0.0,0.0,1.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,500 ","$14,000 ",$0 ,$0 ,$0 ,"$1,600 ",$0 ,2012.0,north ,$0 ,"$1,800 ","$15,300 ",$0 ,$0 ,$0 ,$0 ,2012.0,north,Alameda_2012
Amador,1.0,2.0,17.0,6.0,8.0,11.0,3.0,0.0,0.0,0.0,5.0,2.0,2012.0,north,34.0,18.0,3.0,0.0,0.0,0.0,0.0,2012.0,north,0,7,9.0,29,41,1,1,0.0,0.0,0.0,13,1.0,2012.0,north,5.0,41.0,1.0,15.0,40.0,2012.0,north,$0 ,$0 ,$200 ,"$6,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,000 ",$0 ,2012.0,north ,"$1,000 ","$6,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Amador_2012
Butte,6.0,0.0,15.0,13.0,0.0,19.0,4.0,7.0,0.0,2.0,29.0,19.0,2012.0,north,53.0,56.0,4.0,1.0,0.0,0.0,0.0,2012.0,north,20,0,11.0,75,0,2,106,5.0,0.0,1.0,41,50.0,2012.0,north,110.0,107.0,10.0,63.0,21.0,2012.0,north,$0 ,$0 ,"$10,050 ",$700 ,$0 ,"$300,000 ","$5,500 ",$10 ,$0 ,$0 ,"$60,900 ","$59,600 ",2012.0,north ,"$15,610 ","$346,150 ","$75,000 ",$0 ,$0 ,$0 ,$0 ,2012.0,north,Butte_2012
Calaveras,16.0,1.0,38.0,11.0,31.0,20.0,6.0,5.0,0.0,0.0,30.0,3.0,2012.0,south,87.0,66.0,7.0,1.0,0.0,0.0,0.0,2012.0,south,20,0,36.0,174,204,21,4,3.0,0.0,0.0,97,10.0,2012.0,south,142.0,310.0,28.0,28.0,61.0,2012.0,south,"$10,177 ",$0 ,"$3,989 ","$101,861 ","$29,400 ","$5,571 ",$605 ,$277 ,$0 ,$0 ,"$13,485 ",$900 ,2012.0,south,"$1,762 ","$106,113 ","$56,390 ","$2,000 ",$0 ,$0 ,$0 ,2012.0,south,Calaveras_2012
Colusa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2012.0,north,1.0,1.0,3.0,0.0,1.0,2.0,0.0,2012.0,north,0,0,0.0,1,0,0,0,0.0,0.0,0.0,"4,284",0.0,2012.0,north,3740.0,545.0,0.0,0.0,0.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Colusa_2012
Contra Costa,2.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,10.0,2.0,2012.0,north,10.0,9.0,1.0,1.0,0.0,0.0,0.0,2012.0,north,2,0,0.0,32,0,0,4,0.0,0.0,0.0,6,101.0,2012.0,north,0.0,144.0,1.0,0.0,0.0,2012.0,north,$1 ,$0 ,$0 ,"$15,000 ",$0 ,"$2,000 ",$200 ,$0 ,$0 ,$0 ,$250 ,$0 ,2012.0,north ,"$2,100 ",$351 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,2012.0,north,Contra Costa_2012
Del Norte,23.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2012.0,north,25.0,5.0,5.0,0.0,0.0,0.0,0.0,2012.0,north,121,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,2012.0,north,0.0,5.0,116.0,0.0,1.0,2012.0,north,"$100,000 ",$0 ,$200 ,$0 ,$0 ,$105 ,$0 ,$0 ,$0 ,$0 ,"$8,000 ",$0 ,2012.0,north ,"$8,305 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,$0 ,2012.0,north,Del Norte_2012
E. San Joaquin,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2012.0,south,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2012.0,south,11,0,1.0,71,0,0,0,0.0,0.0,0.0,4,0.0,2012.0,south,0.0,87.0,0.0,0.0,0.0,2012.0,south,"$2,200 ",$0 ,$200 ,"$14,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$800 ,$0 ,2012.0,south,$0 ,"$5,000 ","$12,900 ",$0 ,$0 ,$0 ,$0 ,2012.0,south,E. San Joaquin_2012
E. Stanislaus,3.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,1.0,2012.0,south,9.0,11.0,2.0,0.0,0.0,0.0,0.0,2012.0,south,1,0,18.0,6,0,6,0,0.0,0.0,0.0,14,0.0,2012.0,south,0.0,32.0,0.0,0.0,13.0,2012.0,south,$0 ,$0 ,$250 ,$600 ,$0 ,$600 ,$0 ,$0 ,$0 ,$0 ,"$2,325 ",$100 ,2012.0,south,$25 ,"$1,400 ","$2,450 ",$0 ,$0 ,$0 ,$0 ,2012.0,south,E. Stanislaus_2012
E. Trinity,1.0,2.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,2.0,2012.0,north,9.0,13.0,0.0,0.0,0.0,0.0,0.0,2012.0,north,5,0,5.0,0,0,0,3,0.0,0.0,0.0,6,1.0,2012.0,north,3.0,5.0,1.0,6.0,5.0,2012.0,north,"$3,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,"$1,700 ",2012.0,north ,"$1,900 ","$3,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,E. Trinity_2012
El Dorado,6.0,1.0,41.0,18.0,17.0,32.0,13.0,3.0,0.0,7.0,20.0,11.0,2012.0,north,121.0,42.0,5.0,1.0,0.0,0.0,0.0,2012.0,north,8,0,48.0,24,9,128,23,0.0,0.0,1.0,7,49.0,2012.0,north,5.0,169.0,3.0,17.0,103.0,2012.0,north,"$48,000 ",$0 ,"$4,750 ","$7,000 ",$0 ,"$78,301 ","$7,000 ",$0 ,$0 ,$0 ,"$2,001 ","$10,100 ",2012.0,north ,"$45,101 ","$57,051 ","$43,000 ","$12,000 ",$0 ,$0 ,$0 ,2012.0,north,El Dorado_2012
Fresno,10.0,1.0,6.0,14.0,3.0,13.0,18.0,0.0,0.0,1.0,19.0,10.0,2012.0,south,25.0,58.0,11.0,1.0,0.0,0.0,0.0,2012.0,south,34,1,3.0,50,13,50,88,0.0,0.0,138.0,176,21.0,2012.0,south,4.0,373.0,3.0,0.0,194.0,2012.0,south,$900 ,$0 ,$0 ,"$18,500 ","$1,320 ","$8,001 ","$10,350 ",$0 ,$0 ,"$4,000 ","$702,020 ",$200 ,2012.0,south,"$1,500 ","$513,451 ","$226,340 ","$4,000 ",$0 ,$0 ,$0 ,2012.0,south,Fresno_2012
Glenn,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2012.0,north,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2012.0,north,0,0,0.0,3,0,0,0,0.0,0.0,0.0,2,0.0,2012.0,north,0.0,5.0,0.0,0.0,0.0,2012.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$200 ,$0 ,2012.0,north ,$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Glenn_2012
Humboldt,15.0,13.0,10.0,3.0,1.0,4.0,9.0,0.0,0.0,0.0,26.0,7.0,2012.0,north,52.0,34.0,1.0,1.0,0.0,0.0,0.0,2012.0,north,16,136,2.0,2,0,0,11,0.0,0.0,0.0,47,2.0,2012.0,north,2.0,163.0,42.0,0.0,9.0,2012.0,north,$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,"$16,000 ",$0 ,$0 ,$0 ,"$11,500 ","$15,000 ",2012.0,north ,"$18,500 ","$24,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,north,Humboldt_2012
Inyo,1.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,1.0,2012.0,south,10.0,9.0,0.0,0.0,0.0,0.0,0.0,2012.0,south,1,5,3.0,0,0,3,0,0.0,0.0,1.0,6,2.0,2012.0,south,2.0,15.0,1.0,0.0,3.0,2012.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,south,Inyo_2012
Kings,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2012.0,south,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2012.0,south,0,0,0.0,0,3,2,44,0.0,0.0,0.0,3,0.0,2012.0,south,0.0,50.0,0.0,0.0,2.0,2012.0,south,$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,"$3,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,south,$0 ,$500 ,"$3,100 ",$0 ,$0 ,$0 ,$0 ,2012.0,south,Kings_2012
Lake,1.0,2.0,9.0,7.0,1.0,6.0,6.0,2.0,0.0,0.0,33.0,7.0,2012.0,north,24.0,45.0,2.0,0.0,1.0,1.0,1.0,2012.0,north,0,0,16.0,9,10,8,317,1.0,0.0,0.0,"7,979",15.0,2012.0,north,17.0,8299.0,19.0,0.0,20.0,2012.0,north,$0 ,$0 ,"$67,000 ",$20 ,$0 ,$0 ,"$2,000,020 ",$0 ,$0 ,$0 ,"$1,202,700 ","$5,000 ",2012.0,north ,"$5,020 ","$69,720 ",$0 ,$0 ,"$2,000,000 ","$1,200,000 ",$0 ,2012.0,north,Lake_2012
Lassen,0.0,0.0,3.0,2.0,13.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2012.0,north,12.0,10.0,2.0,1.0,0.0,0.0,0.0,2012.0,north,0,0,25.0,0,7,258,0,0.0,0.0,0.0,8,0.0,2012.0,north,34.0,3.0,255.0,0.0,6.0,2012.0,north,$0 ,$0 ,$500 ,$0 ,$0 ,"$422,380 ",$0 ,$0 ,$0 ,$0 ,$2 ,$30 ,2012.0,north ,$0 ,$132 ,$500 ,"$422,280 ",$0 ,$0 ,$0 ,2012.0,north,Lassen_2012
Madera,6.0,3.0,13.0,1.0,0.0,11.0,4.0,1.0,0.0,1.0,25.0,7.0,2012.0,south,42.0,26.0,4.0,0.0,0.0,0.0,0.0,2012.0,south,15,0,5.0,7,0,8,49,0.0,0.0,0.0,88,16.0,2012.0,south,45.0,118.0,1.0,5.0,19.0,2012.0,south,"$1,450 ",$0 ,$0 ,$500 ,$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,"$6,260 ",$350 ,2012.0,south,"$1,250 ","$2,150 ","$5,660 ",$0 ,$0 ,$0 ,$0 ,2012.0,south,Madera_2012
Mariposa,2.0,1.0,18.0,5.0,0.0,5.0,4.0,1.0,0.0,1.0,6.0,5.0,2012.0,south,23.0,24.0,0.0,0.0,0.0,1.0,0.0,2012.0,south,0,6,16.0,10,0,4,"1,702",0.0,0.0,0.0,8,4.0,2012.0,south,0.0,1741.0,4.0,5.0,0.0,2012.0,south,$0 ,$0 ,$0 ,$2 ,$0 ,$0 ,"$80,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,south,$2 ,"$5,200 ",$0 ,$0 ,$0 ,"$75,000 ",$0 ,2012.0,south,Mariposa_2012
Mendocino,5.0,7.0,17.0,6.0,1.0,5.0,12.0,7.0,0.0,2.0,31.0,9.0,2012.0,north,45.0,47.0,7.0,1.0,1.0,1.0,0.0,2012.0,north,16,"4,522",12.0,3,8,3,247,4.0,0.0,1.0,497,20.0,2012.0,north,13.0,4812.0,83.0,0.0,425.0,2012.0,north,$0 ,"$4,618 ",$500 ,$300 ,$0 ,"$1,001 ","$1,260,000 ",$2 ,$0 ,$0 ,$0 ,"$5,500 ",2012.0,north ,"$17,301 ",$2 ,$0 ,"$1,250,000 ",$0 ,"$4,618 ",$0 ,2012.0,north,Mendocino_2012
Merced,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,2.0,2012.0,south,2.0,12.0,0.0,0.0,1.0,0.0,0.0,2012.0,south,0,0,0.0,0,3,1,434,0.0,0.0,0.0,16,2.0,2012.0,south,0.0,453.0,0.0,0.0,3.0,2012.0,south,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,000 ",$0 ,2012.0,south,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2012.0,south,Merced_2012
