county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,elec._power,equip._use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,year_x.2,region_x.2,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year_y.2,region_y.2,county_year
Alameda,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0,13.0,6.0,2014.0,north,14.0,15.0,4.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,18.0,6,0,2,0.0,0.0,0.0,89.0,15,2014.0,Northern,0.0,130.0,0.0,0.0,0.0,2014.0,north,$0 ,$0 ,$0 ,"$5,400 ","$200,550 ",$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$17,102 ",$200 ,2014.0,north  ,$250 ,"$226,002 ","$22,000 ",$0 ,$0 ,$0 ,$0 ,2014.0,north,Alameda_2014
Amador,2.0,3.0,14.0,6.0,12.0,1.0,15.0,1.0,0.0,0.0,9.0,4.0,2014.0,north,48.0,17.0,1.0,1.0,0.0,0.0,0.0,2014.0,north,0,1.0,24.0,1.0,11,7,118,10.0,0.0,0.0,4.0,3,2014.0,Northern,1.0,132.0,21.0,10.0,15.0,2014.0,north,$0 ,$0 ,$601 ,,"$11,000 ",$0 ,"$141,300 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,"$1,500 ","$151,300 ",$101 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Amador_2014
Butte,40.0,2.0,34.0,11.0,9.0,4.0,47.0,6.0,0.0,2.0,22.0,15.0,2014.0,north,127.0,59.0,5.0,0.0,1.0,0.0,0.0,2014.0,north,85,0.0,17.0,9.0,402,1,3,5.0,0.0,3.0,26.0,8,2014.0,Northern,22.0,90.0,390.0,1.0,56.0,2014.0,north,"$5,700 ",$0 ,"$1,003 ","$4,251 ","$1,578 ",$0 ,"$3,500 ",$0 ,$0 ,"$12,000 ","$105,402 ","$8,300 ",2014.0,north,"$14,154 ","$127,202 ",$0 ,$0 ,$378 ,$0 ,$0 ,2014.0,north,Butte_2014
Calaveras,1.0,3.0,17.0,12.0,17.0,9.0,17.0,3.0,0.0,1.0,13.0,7.0,2014.0,south,51.0,44.0,4.0,1.0,0.0,0.0,0.0,2014.0,south,1,1.0,10.0,13.0,218,7,14,4.0,0.0,0.0,45.0,9,2014.0,Southern,107.0,177.0,14.0,1.0,23.0,2014.0,south,,,,,,,,,,,,,,,"$13,772 ","$76,217 ","$42,800 ","$30,800 ",$0 ,$0 ,$0 ,2014.0,south,Calaveras_2014
Colusa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2014.0,north,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,0,0,15.0,0.0,0.0,0.0,1,2014.0,Northern,0.0,1.0,0.0,0.0,15.0,2014.0,north,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north  ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Colusa_2014
Contra Costa,1.0,1.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,15.0,2.0,2014.0,north,13.0,13.0,2.0,1.0,0.0,0.0,0.0,2014.0,north,1,0.0,0.0,83.0,1,0,2,0.0,0.0,0.0,107.0,16,2014.0,Northern,0.0,210.0,0.0,0.0,0.0,2014.0,north,$250 ,$0 ,$0 ,"$20,000 ",,$0 ,$250 ,$0 ,$0 ,$0 ,$777 ,"$3,000 ",2014.0,north  ,$195 ,"$1,082 ","$23,000 ",$0 ,$0 ,$0 ,$0 ,2014.0,north,Contra Costa_2014
Del Norte,2.0,7.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,8.0,1.0,2014.0,north,15.0,12.0,0.0,0.0,0.0,0.0,0.0,2014.0,north,3,4.0,0.0,0.0,0,0,0,1.0,0.0,0.0,6.0,0,2014.0,Northern,3.0,3.0,3.0,3.0,2.0,2014.0,north,$0 ,"$20,000 ",$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$75 ,$0 ,2014.0,north,$0 ,"$20,075 ",$0 ,$0 ,$0 ,$0 ,$0 ,2014.0,north,Del Norte_2014
E. San Joaquin,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2014.0,south,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2014.0,south,0,0.0,0.0,17.0,20,0,11,0.0,0.0,0.0,0.0,3,2014.0,Southern,0.0,50.0,0.0,0.0,1.0,2014.0,south,$0 ,$0 ,$0 ,"$3,000 ","$3,800 ",$0 ,"$2,200 ",$0 ,$0 ,$0 ,$0 ,$605 ,2014.0,south ,$5 ,$600 ,"$9,000 ",$0 ,$0 ,$0 ,$0 ,2014.0,south,E. San Joaquin_2014
E. Stanislaus,1.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,2014.0,south,7.0,9.0,4.0,1.0,0.0,0.0,0.0,2014.0,south,8,1.0,0.0,1.0,11,0,0,0.0,0.0,0.0,351.0,23,2014.0,Southern,0.0,265.0,1.0,0.0,129.0,2014.0,south,$0 ,$0 ,$0 ,$0 ,"$1,400 ",$0 ,$50 ,$0 ,$0 ,$0 ,"$5,136 ","$4,000 ",2014.0,south ,$50 ,"$1,400 ","$9,136 ",$0 ,$0 ,$0 ,$0 ,2014.0,south,E. Stanislaus_2014
E. Trinity,3.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,2014.0,north,11.0,3.0,0.0,0.0,1.0,0.0,0.0,2014.0,north,0,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0,0.0,461,2014.0,Northern,0.0,1.0,0.0,461.0,4.0,2014.0,north,$250 ,$0 ,$0 ,$0 ,,$0 ,"$3,000 ",$0 ,$0 ,$0 ,$0 ,"$150,000 ",2014.0,north  ,"$3,250 ",$0 ,$0 ,$0 ,"$150,000 ",$0 ,$0 ,2014.0,north,E. Trinity_2014
