county_year,county,Arson_x,Campfire_x,Debris Burning_x,Elec. Power_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Elec. Power_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,Region,Brush,Grass,Timber,Woodland,Other,year_x,region_x,Arson,Campfire,Debris Burning,Elec. Power,Equip.Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region
Alameda_2015,Alameda,0,1,2,6,5,2,4,0,0,0,21,9,2015,north,14,26,8,1,0,1,0,2015,north,0,0,0,272,33,43,5,0,0,0,"2,929",176,2015,northern,1,3347,0,110,0,2015,north,$0 ,$0 ,$0 ,"$85,350 ","$3,756 ","$4,275 ",$400 ,$0 ,$0 ,$0 ,"$1,675,450 ","$57,000 ",2015,north ,$0 ,"$76,981 ","$169,000 ","$60,250 ",$0 ,"$1,520,000 ",$0 ,2015,north
Amador_2015,Amador,2,1,14,5,1,4,5,0,0,1,9,4,2015,north,28,17,0,0,0,0,1,2015,north,0,0,5,"70,870",1,3,1,0,0,0,11,1,2015,northern,2,70878,2,10,0,2015,north,$0 ,$0 ,$180 ,"$999,999,999 ",,$0 ,$0 ,$0 ,$0 ,$0 ,$530 ,$0 ,2015,north ,$110 ,$600 ,$0 ,$0 ,$0 ,$0 ,"$999,999,999 ",2015,north
Butte_2015,Butte,0,1,0,0,0,3,5,0,0,0,1,1,2015,north,8,2,1,0,0,0,0,2015,north,0,0,0,0,0,0,1,0,0,0,15,0,2015,northern,0,15,0,1,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Calaveras_2015,Calaveras,2,1,32,7,13,8,21,1,0,1,26,10,2015,south,72,45,4,1,0,0,0,2015,south,0,0,36,49,26,8,5,1,0,0,17,151,2015,southern,21,111,11,148,2,2015,south,$0 ,$0 ,"$19,600 ","$8,625 ","$13,000 ","$8,000 ","$10,110 ",$100 ,$0 ,$0 ,"$64,643 ","$15,416 ",2015,south,"$10,880 ","$115,592 ","$13,022 ",$0 ,$0 ,$0 ,$0 ,2015,south
Colusa_2015,Colusa,1,0,0,2,2,0,2,0,0,0,2,0,2015,north,5,3,1,0,0,0,0,2015,north,0,0,0,1,6,0,70,0,0,0,2,0,2015,northern,0,79,0,0,0,2015,north,$0 ,$0 ,$0 ,"$6,500 ",,$0 ,$50 ,$0 ,$0 ,$0 ,$1 ,$0 ,2015,north ,$50 ,"$6,501 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Contra Costa_2015,Contra Costa,11,2,1,8,5,0,3,0,0,0,10,3,2015,north,23,14,5,1,0,0,0,2015,north,7,1,0,6,269,0,46,0,0,0,31,3,2015,northern,0,363,0,0,0,2015,north,"$1,420 ",$0 ,$0 ,"$5,000 ","$47,950 ",$0 ,"$3,500 ",$0 ,$0 ,$0 ,"$1,360 ",$0 ,2015,north ,"$2,260 ","$5,970 ","$12,000 ","$39,000 ",$0 ,$0 ,$0 ,2015,north
Del Norte_2015,Del Norte,3,4,4,0,0,1,5,1,0,0,4,0,2015,north,16,6,0,0,0,0,0,2015,north,0,2,0,0,0,1,1,1,0,0,1,0,2015,northern,0,1,5,0,0,2015,north,$0 ,$500 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$0 ,$500 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
E. San Joaquin_2015,E. San Joaquin,0,0,0,0,4,0,1,0,0,0,3,2,2015,south,3,7,0,0,0,0,0,2015,south,0,0,0,0,17,0,2,0,0,0,1,3,2015,southern,0,23,0,0,0,2015,south,$0 ,$0 ,$0 ,,"$2,025 ",$0 ,$400 ,$0 ,$0 ,$0 ,$150 ,$600 ,2015,south,$75 ,"$3,100 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,south
E. Stanislaus_2015,E. Stanislaus,4,5,0,6,1,1,4,0,0,0,6,3,2015,south,9,17,4,0,0,0,0,2015,south,20,4,0,44,3,0,36,0,0,0,6,4,2015,southern,0,111,0,6,0,2015,south,"$2,800 ",$0 ,$0 ,"$9,380 ","$1,000 ",$0 ,"$1,800 ",$0 ,$0 ,$0 ,$350 ,"$12,000 ",2015,south,$50 ,"$15,900 ","$11,380 ",$0 ,$0 ,$0 ,$0 ,2015,south
E. Trinity_2015,E. Trinity,3,1,5,0,3,8,7,0,0,0,6,0,2015,north,19,10,2,1,0,1,0,2015,north,2,0,15,0,29,"3,263",129,0,0,0,1,0,2015,northern,14,3,31,3391,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,"$10,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$400 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
