county,Brush,Grass,Timber,Woodland,Other,year,region
Alameda,0,164,0,0,6,2016,north
Alpine,0,0,0,0,0,2016,north
Amador,0,118,6,1,258,2016,north
Butte,0,0,0,0,0,2016,north
Calaveras,372,1046,2,1,32,2016,north
Colusa,0,7,0,0,0,2016,north
Contra Costa,0,224,0,0,0,2016,north
Del Norte,0,2,1,0,102,2016,north
El Dorado,6,62,179,5,119,2016,north
Fresno,10160,3401,1,2,4,2016,south
Glenn,0,1,0,0,0,2016,north
Humboldt,1,19,681,0,67,2016,north
Imperial,0,0,0,0,0,2016,south
Inyo,107,3,0,0,0,2016,south
Kings,0,0,0,0,0,2016,south
Lake,15,4002,2,0,22,2016,north
Lassen,11,2,2608,3,7,2016,north
Madera,0,302,1,188,8,2016,south
Mariposa,1,100,2,0,22,2016,south
Mendocino,2,166,4,1,33,2016,north
Merced,0,1496,0,0,1,2016,south
Modoc,4,1,1,0,382,2016,north
Mono,0,0,0,0,0,2016,north
Monterey,227,4259,132127,1,10,2016,south
Napa,54,81,1,0,3,2016,north
Nevada,5,22,3,4,10,2016,north
Placer,3,59,5649,2,9,2016,north
Plumas,0,0,0,0,0,2016,north
Riverside,166,1724,3,0,195,2016,south
Sacramento,1,509,0,0,32,2016,north
San Benito,98,91,0,0,83,2016,south
San Bernardino,4,7,3,1,4,2016,south
San Diego,7873,41,9,0,40,2016,south
San Francisco,0,0,0,0,0,2016,north
San Joaquin,0,378,0,0,0,2016,north
San Luis Obispo,103,431,1,46236,34,2016,south
San Mateo,0,17,3,0,0,2016,north
Santa Clara,4504,237,1,0,14,2016,north
Santa Cruz,1,12,1,0,1,2016,north
Shasta,7,115,3,15,340,2016,north
Siskiyou,1,831,6,5,1,2016,north
Solano,0,72,0,0,1,2016,north
Sonoma,3,74,6,0,1549,2016,north
Stanislaus,1,280,0,0,0,2016,north
Tehama,10,1096,4,0,0,2016,north
Trinity,0,2,0,0,2,2016,north
Tulare,0,198,1,1,29,2016,south
Tuolumne,1092,148,7,9,6,2016,south
Yolo,0,372,0,0,5733,2016,north
Yuba,2,596,1,2,1,2016,north
