county,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >,year,region
Alameda,$0 ,"$14,700 ","$17,710 ",$0 ,$0 ,$0 ,$0 ,2016,north
Alpine,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Amador,"$6,070 ","$281,000 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,2016,north
Butte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Calaveras,"$2,761 ","$5,248 ","$57,000 ",$0 ,"$340,000 ",$0 ,$0 ,2016,south
Colusa,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Contra Costa,$50 ,"$1,900 ","$9,500 ",$0 ,$0 ,$0 ,$0 ,2016,north
Del Norte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
El Dorado,"$13,665 ","$217,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Fresno,$135 ,"$10,201 ","$2,000 ","$36,556 ",$0 ,"$185,275 ","$578,750 ",2016,south
Glenn,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Humboldt,"$13,550 ","$318,617 ","$915,000 ",$0 ,"$347,901 ",$0 ,$0 ,2016,north
Imperial,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Inyo,$0 ,$350 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,south
Lake,"$168,728 ",$300 ,"$410,000 ",$0 ,$0 ,"$105,000,000 ",$0 ,2016,north
Lassen,"$200,300 ","$110,000 ","$5,000 ",$0 ,$0 ,"$400,000 ",$0 ,2016,north
Madera,"$10,850 ","$4,775 ","$284,300 ",$0 ,$0 ,$0 ,$0 ,2016,south
Mariposa,"$1,310 ","$43,200 ","$3,900 ",$0 ,$0 ,$0 ,$0 ,2016,south
Mendocino,"$180,746 ","$252,688 ","$260,000 ",$0 ,$0 ,$0 ,$0 ,2016,north
Merced,"$1,200 ","$10,200 ","$161,100 ",$0 ,$0 ,"$5,000 ",$0 ,2016,south
Modoc,$2 ,"$150,000 ",$0 ,$0 ,$2 ,$0 ,$0 ,2016,north
Mono,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Monterey,"$6,401 ","$11,600 ",$500 ,"$83,000 ",$0 ,"$775,200 ","$10,345,582 ",2016,south
Napa,$120 ,"$200,000 ","$100,000 ",$0 ,$0 ,$0 ,$0 ,2016,north
Nevada,"$603,762 ","$477,159 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Placer,"$27,350 ","$214,850 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Plumas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Riverside,"$2,000 ",$620 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,2016,south
Sacramento,$0 ,"$1,201 ",$0 ,$0 ,"$20,000 ",$0 ,$0 ,2016,north
San Benito,$0 ,"$29,102 ",$500 ,$0 ,$0 ,$0 ,$0 ,2016,south
San Bernardino,"$624,045 ","$5,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
San Diego,"$178,210 ","$285,700 ","$4,500 ",$0 ,$0 ,$0 ,"$3,818,350 ",2016,south
San Francisco,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
San Joaquin,$0 ,"$1,800 ",$0 ,$136 ,$0 ,$0 ,$0 ,2016,south
San Luis Obispo,"$3,100 ","$54,560 ","$3,000 ","$2,500 ",$0 ,$0 ,"$12,152,551 ",2016,south
San Mateo,"$15,200 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Santa Clara,"$3,700 ","$1,022 ","$50,000 ",$500 ,$0 ,"$220,000 ",$0 ,2016,north
Santa Cruz,"$6,603 ","$2,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Shasta,"$112,500 ","$48,701 ","$2,510 ",$0 ,"$52,000 ",$0 ,$0 ,2016,north
Sierra,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Siskiyou,"$5,801 ","$1,900 ","$1,800 ",$0 ,"$286,211 ",$0 ,$0 ,2016,north
Solano,$100 ,"$1,003 ","$2,000 ",$0 ,$0 ,$0 ,$0 ,2016,north
Sonoma,"$126,100 ","$539,006 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Stanislaus,$100 ,"$1,700 ","$5,750 ","$1,000 ",$0 ,$0 ,$0 ,2016,south
Sutter,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Tehama,"$7,950 ","$407,800 ","$13,500 ",$0 ,"$5,000 ",$0 ,$0 ,2016,north
Trinity,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north
Tulare,$502 ,"$2,662 ","$5,500 ",$0 ,$0 ,$0 ,$0 ,2016,south
Tuolumne,"$7,461 ","$28,902 ","$4,000 ",$0 ,$0 ,$0 ,$0 ,2016,south
Yolo,$0 ,"$1,900 ",$0 ,$0 ,$0 ,$0 ,"$5,000,000 ",2016,north
Yuba,"$17,000 ","$177,020 ","$3,000 ",$0 ,$0 ,$0 ,$0 ,2016,north
