county,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year,region
Alameda,0,0,0,8,4,0,4,0,0,0,16,7,2016,north
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,2016,
Amador,2,0,17,6,7,1,7,0,0,3,5,9,2016,north
Butte,0,0,0,0,0,0,0,0,0,0,0,0,2016,north
Calaveras,1,3,22,9,14,0,12,2,0,1,21,9,2016,south
Colusa,1,1,0,0,0,0,0,0,0,0,0,2,2016,north
Contra Costa,0,0,0,4,6,0,1,0,0,0,15,2,2016,north
Del Norte,7,2,1,0,1,1,0,1,0,0,14,1,2016,north
El Dorado,27,4,34,15,20,0,11,0,0,1,41,16,2016,north
Fresno,27,1,14,18,5,4,10,0,0,1,20,6,2016,south
Glenn,1,0,0,0,1,0,0,0,0,0,1,3,2016,north
Humboldt,12,6,11,10,4,0,20,2,0,0,31,9,2016,north
Imperial,0,0,0,0,0,0,0,0,0,0,0,0,2016,
Inyo,0,2,1,0,1,0,1,1,0,0,9,0,2016,south
Kings,0,0,0,0,0,0,0,0,0,1,1,0,2016,south
Lake,16,1,5,13,6,0,6,0,0,2,20,5,2016,north
Lassen,2,2,8,0,1,4,3,0,0,0,6,5,2016,north
Madera,5,0,11,4,11,1,27,0,0,1,6,15,2016,south
Mariposa,2,0,15,3,7,0,5,1,0,0,13,14,2016,south
Mendocino,7,5,24,14,9,0,15,1,1,0,29,13,2016,north
Merced,0,1,3,2,1,0,2,0,0,0,20,6,2016,south
Modoc,0,0,0,0,1,1,2,0,1,0,2,1,2016,north
Mono,0,0,0,0,0,0,0,0,0,0,0,0,2016,
Monterey,5,2,3,12,3,0,6,1,0,1,14,11,2016,south
Napa,4,1,2,8,2,0,6,1,0,0,17,5,2016,north
Nevada,7,10,26,10,11,1,16,2,0,0,35,7,2016,north
Placer,5,10,31,9,16,2,13,2,0,4,33,8,2016,north
Plumas,0,0,1,0,1,1,0,0,0,0,1,0,2016,north
Riverside,13,7,6,5,5,2,22,5,0,1,63,4,2016,south
Sacramento,2,0,0,3,4,0,1,1,0,0,7,3,2016,north
San Benito,1,0,1,3,5,0,6,0,0,0,2,5,2016,south
San Bernardino,4,15,10,6,2,3,21,0,1,0,30,5,2016,south
San Diego,10,7,14,16,8,5,17,2,0,3,36,13,2016,south
San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,2016,
San Joaquin,0,0,0,1,1,0,0,0,1,0,7,3,2016,north/south
San Luis Obispo,8,7,13,17,20,0,22,0,0,3,37,19,2016,south
San Mateo,0,2,1,3,1,0,7,0,0,2,5,2,2016,north
Santa Clara,0,1,2,1,4,0,5,0,0,2,17,5,2016,north
Santa Cruz,2,3,1,8,2,0,3,0,0,0,11,2,2016,north
Shasta,13,5,24,7,6,9,14,2,0,3,22,9,2016,north
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,2016,north
Siskiyou,3,8,20,10,5,21,59,1,1,3,22,7,2016,north
Solano,0,0,0,2,4,0,0,0,0,0,3,2,2016,north
Sonoma,8,10,7,13,12,0,21,2,0,0,27,21,2016,north
Stanislaus,0,1,0,2,1,1,1,0,0,0,10,2,2016,north/south
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,2016,north
Tehama,2,1,5,9,13,2,5,0,0,0,19,3,2016,north
Trinity,0,0,4,4,0,0,0,0,0,1,6,3,2016,north
Tulare,28,1,6,5,3,1,4,1,0,1,14,7,2016,south
Tuolumne,1,0,21,6,8,2,8,3,0,2,20,8,2016,south
Yolo,0,0,6,4,4,0,0,0,0,0,6,2,2016,north
Yuba,4,2,10,0,10,0,5,1,0,1,26,2,2016,north
