county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,brush,grass,timber,woodland,other,arson,campfire,debris_burning,elec._power,equip._use,ltng.,misc.,p-w-f,railroad,smoking,undet.,vehicle,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Alameda,0,0,0,8,4,0,4,0,0,0,16,7,10,20,9,0,0,0,0,0,0,0,70,20,0,1,0,0,0,39,40,0,164,0,0,6,$0 ,$0 ,$0 ,"$11,300 ","$1,200 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$9,910 ","$10,000 ",$0 ,"$14,700 ","$17,710 ",$0 ,$0 ,$0 ,$0 ,2016,north,Alameda_2016
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Alpine_2016
Amador,2,0,17,6,7,1,7,0,0,3,5,9,29,21,6,1,0,0,0,3,0,8,2,41,3,18,0,0,0,260,48,0,118,6,1,258,$0 ,$0 ,$0 ,"$6,000 ",$700 ,$0 ,"$200,000 ",$0 ,$0 ,$70 ,"$20,000 ","$80,300 ","$6,070 ","$281,000 ",$0 ,"$20,000 ",$0 ,$0 ,$0 ,2016,north,Amador_2016
Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Butte_2016
Calaveras,1,3,22,9,14,0,12,2,0,1,21,9,54,28,9,0,3,0,0,0,0,13,344,540,0,8,0,0,0,92,456,372,1046,2,1,32,$0 ,$0 ,"$1,270 ","$1,400 ","$286,300 ",$0 ,"$1,077 ",$0 ,$0 ,$20 ,"$24,786 ","$90,156 ","$2,761 ","$5,248 ","$57,000 ",$0 ,"$340,000 ",$0 ,$0 ,2016,north,Calaveras_2016
Colusa,1,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Colusa_2016
Contra Costa,0,0,0,4,6,0,1,0,0,0,15,2,13,10,5,0,0,0,0,0,0,0,57,9,0,7,0,0,0,148,3,0,224,0,0,0,$0 ,$0 ,$0 ,$250 ,"$1,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$9,500 ",$0 ,$50 ,"$1,900 ","$9,500 ",$0 ,$0 ,$0 ,$0 ,2016,north,Contra Costa_2016
Del Norte,7,2,1,0,1,1,0,1,0,0,14,1,23,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,103,0,0,2,1,0,102,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,Del Norte_2016
El Dorado,27,4,34,15,20,0,11,0,0,1,41,16,115,49,4,1,0,0,0,25,0,19,206,94,0,2,0,0,1,21,3,6,62,179,5,119,$850 ,$0 ,"$2,550 ","$50,170 ","$80,000 ",$0 ,"$32,250 ",$0 ,$0 ,$0 ,"$60,200 ","$4,995 ","$13,665 ","$217,350 ",$0 ,$0 ,$0 ,$0 ,$0 ,2016,north,El Dorado_2016
Fresno,27,1,14,18,5,4,10,0,0,1,20,6,56,37,3,7,0,2,1,"9,507",1,6,152,3,150,24,0,0,123,"3,422",180,10160,3401,1,2,4,"$758,025 ",$0 ,"$2,020 ","$3,656 ",$0 ,$0 ,$1 ,$0 ,$0 ,"$25,000 ","$17,200 ","$7,015 ",$135 ,"$10,201 ","$2,000 ","$36,556 ",$0 ,"$185,275 ","$578,750 ",2016,south,Fresno_2016
