county,arson_x,campfire_x,debris_burning_x,equip._use_x,ltng._x,misc._x,p-w-f_x,powerline_x,railroad_x,smoking_x,undet._x,vehicle_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,arson_y,campfire_y,debris_burning_y,equip_use_y,ltng_y,misc._y,p-w-f_y,powerline_y,railroad_y,smoking_y,undet._y,vehicle_y,brush,grass,timber,woodland,other,arson,campfire,debris_burning,equip._use,ltng.,misc.,p-w-f,power-_line,rail-road,smoking,undet.,vehicle,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Alameda,0,0,1,8,0,12,0,1,0,21,2,2,12,26,4,2,1,0,0,0,0,0,21,0,206,0,100,0,0,516,7,0,693,0,0,157,0,0,0,100400,0,93300,0,20000,0,0,50750,0,2500,101250,100,110000,50600,0,0,2010,1,Alameda_2010
Amador,0,0,15,4,0,19,0,2,0,0,1,0,25,15,1,0,0,0,0,0,0,6,7,0,28,0,1,0,0,0,0,1,31,0,7,3,0,0,5000,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,2010,1,Amador_2010
Butte,8,1,13,14,0,24,0,3,0,2,18,1,38,40,6,1,0,0,0,33,0,8,25,0,74,0,0,0,1,48,2,4,98,14,2,72,1500,0,2,1350,0,155002,0,500,0,0,301500,0,106000,33852,320002,0,0,0,0,2010,1,Butte_2010
Calaveras,7,2,10,12,2,24,0,8,0,2,18,0,45,38,1,1,0,0,0,5,2,8,66,2,124,0,6,0,1,16,0,2,149,7,2,69,3200,200,1552,42865,800,1175,0,5800,0,20,"$41,1$51",0,31772,53791,11200,0,0,96763,31772,2010,0,Calaveras_2010
Colusa,1,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Colusa_2010
Contra Costa,0,1,1,2,0,25,0,1,0,9,1,1,26,10,2,2,0,0,0,0,0,0,4,0,314,0,1,0,0,87,3,0,19,180,0,210,0,5000,0,5000,0,56000,0,0,0,0,8500,0,5000,5000,8500,56000,0,0,0,2010,1,Contra Costa_2010
Del Norte,6,0,0,0,0,12,0,1,0,0,5,0,17,7,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,1,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1,Del Norte_2010
E. San Joaquin,0,0,0,0,0,1,0,2,0,0,3,1,3,3,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,10,0,17,0,0,0,0,0,0,0,0,300,0,250,0,0,700,7000,50,1200,7000,0,0,8250,50,2010,0,E. San Joaquin_2010
E. Stanislaus,7,0,1,3,0,9,0,1,0,2,8,1,15,16,1,0,0,0,0,50,0,0,6,0,5,0,1,0,1,11,1,0,71,0,0,3,19800,0,0,1100,0,400,0,45700,0,100,1500,200,50,48950,19800,0,0,68800,50,2010,0,E. Stanislaus_2010
E. Trinity,0,0,2,2,0,5,0,1,2,2,0,0,9,5,0,0,0,0,0,0,0,0,9,0,5,0,0,0,2,1,0,4,2,1,8,1,0,0,0,0,0,500,0,0,0,200,1000,0,500,1200,0,0,0,0,0,2010,1,E. Trinity_2010
