NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Power- line,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Amador,"$5,000 ",$0 ,$0 ,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
El Dorado,"$52,650 ",$0 ,$0 ,"$2,200 ",$0 ,$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,"$50,400 ",$0 ,2010,north 
Sacramento,"$3,800 ",$0 ,$0 ,"$1,000 ","$2,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Amador - El Dorado,"$61,450 ",$0 ,$0 ,"$8,200 ","$2,800 ",$0 ,$50 ,$0 ,$0 ,$0 ,$0 ,"$50,400 ",$0 ,2010,north 
Butte,"$459,854 ","$1,500 ",$0 ,$2 ,"$1,350 ",$0 ,"$155,002 ",$0 ,$500 ,$0 ,$0 ,"$301,500 ",$0 ,2010,north 
Plumas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Tehama,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Butte,"$459,854 ","$1,500 ",$0 ,$2 ,"$1,350 ",$0 ,"$155,002 ",$0 ,$500 ,$0 ,$0 ,"$301,500 ",$0 ,2010,north 
Del Norte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Humboldt,"$278,870 ",$0 ,"$1,200 ",$0 ,$150 ,$0 ,"$275,020 ",$0 ,$700 ,$0 ,$0 ,"$1,800 ",$0 ,2010,north 
Siskiyou,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
W. Trinity,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Humboldt-Del Norte,"$278,870 ",$0 ,"$1,200 ",$0 ,$150 ,$0 ,"$275,020 ",$0 ,$700 ,$0 ,$0 ,"$1,800 ",$0 ,2010,north 
Lassen,"$63,080 ",$24 ,$0 ,$2 ,"$60,000 ","$1,201 ","$1,835 ",$0 ,$0 ,$0 ,$18 ,$0 ,$0 ,2010,north 
Modoc,"$1,364 ",$8 ,$0 ,$4 ,$0 ,"$1,250 ",$52 ,$0 ,$0 ,$0 ,$0 ,$50 ,$0 ,2010,north 
Plumas,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$10 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Lassen-Modoc,"$64,454 ",$32 ,$0 ,$6 ,"$60,000 ","$2,451 ","$1,897 ",$0 ,$0 ,$0 ,$18 ,$50 ,$0 ,2010,north 
Mendocino,"$31,710 ","$1,210 ",$0 ,$0 ,"$3,700 ",$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,"$6,300 ","$20,000 ",2010,north 
Trinity,$0 ,$0 ,$0 ,$0 ,$0 ,$40 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Mendocino,"$31,710 ","$1,210 ",$0 ,$0 ,"$3,700 ",$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,"$6,300 ","$20,000 ",2010,north 
Nevada,"$16,000 ",$0 ,$0 ,$0 ,"$9,500 ",$0 ,$0 ,$0 ,"$5,000 ",$0 ,$0 ,"$1,,500",$0 ,2010,north 
Placer,"$37,560 ",$200 ,$0 ,"$10,000 ","$2,050 ",$0 ,"$13,001 ",$0 ,$0 ,$0 ,$0 ,"$12,309 ",$0 ,2010,north 
Sierra,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",$0 ,2010,north 
Yuba,"$17,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,"$7,500 ",$0 ,2010,north 
Nevada-Tyba-Placer,"$81,060 ",$200 ,$0 ,"$10,000 ","$11,550 ",$0 ,"$23,001 ",$0 ,"$5,000 ",$0 ,$0 ,"$31,309 ",$0 ,2010,north 
San Mateo,"$16,040 ",$0 ,$0 ,$0 ,$0 ,$0 ,$100 ,$0 ,$0 ,$0 ,$0 ,"$1,500 ",$0 ,2010,north 
Santa Cruz,"$200,951 ",$1 ,$0 ,$700 ,$0 ,$0 ,"$198,000 ",$0 ,$0 ,$0 ,$0 ,$50 ,"$2,200 ",2010,north 
San Mateo-Santa Cruz,"$202,551 ",$1 ,$0 ,$700 ,$0 ,$0 ,"$198,100 ",$0 ,$0 ,$0 ,$0 ,"$1,550 ","$2,200 ",2010,north 
Alameda,"$264,450 ",$0 ,$0 ,$0 ,"$100,400 ",$0 ,"$93,300 ",$0 ,"$20,000 ",$0 ,$0 ,"$50,750 ",$0 ,2010,north 
Contra Costa,"$74,500 ",$0 ,"$5,000 ",$0 ,"$5,000 ",$0 ,"$56,000 ",$0 ,$0 ,$0 ,$0 ,"$8,500 ",$0 ,2010,north 
Santa Clara,"$5,400 ",$0 ,$0 ,"$1,000 ","$2,900 ",$0 ,"$1,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
W. San Joaquin,"$32,100 ",$0 ,$0 ,$0 ,"$11,000 ",$0 ,"$6,500 ",$0 ,"$14,500 ",$0 ,$0 ,$100 ,$0 ,2010,north 
W. Stanislaus,"$142,300 ",$0 ,$0 ,$0 ,"$133,500 ",$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,"$8,100 ",$500 ,2010,north 
Santa Clara,"$518,750 ",$0 ,"$5,000 ","$1,000 ","$252,800 ",$0 ,"$157,500 ",$0 ,"$34,500 ",$0 ,$0 ,"$67,450 ",$500 ,2010,north 
E. Trinity,"$1,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,$0 ,$0 ,$200 ,"$1,000 ",$0 ,2010,north 
Shasta,"$101,950 ",$0 ,$0 ,"$3,500 ","$64,200 ",$0 ,"$6,700 ",$0 ,$0 ,$0 ,$0 ,"$27,550 ",$0 ,2010,north 
Shasta-Trinity,"$103,,650",$0 ,$0 ,"$3,500 ","$64,200 ",$0 ,"$7,200 ",$0 ,$0 ,$0 ,$200 ,"$28,550 ",$0 ,2010,north 
Siskiyou,"$7,050 ",$0 ,$0 ,$500 ,$50 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,500 ",2010,north 
Siskiyou,"$7,050 ",$0 ,$0 ,$500 ,$50 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,500 ",2010,north 
Colusa,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Lake,"$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,000 ",$0 ,2010,north 
Napa,"$201,725 ",$0 ,$0 ,$0 ,"$200,025 ",$0 ,$0 ,$0 ,$200 ,$0 ,$0 ,"$1,500 ",$0 ,2010,north 
Solano,"$11,150 ",$0 ,$0 ,$0 ,"$10,250 ",$0 ,$400 ,$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,2010,north 
Sonoma,"$340,240 ",$0 ,$0 ,$40 ,"$100,750 ",$0 ,"$15,000 ",$0 ,"$224,450 ",$0 ,$0 ,$0 ,$0 ,2010,north 
Yolo,$2 ,$0 ,$0 ,$0 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Sonoma-Lake-Napa,"$554,117 ",$0 ,$0 ,$40 ,"$311,027 ",$0 ,"$15,400 ",$0 ,"$2,244,650 ",$0 ,$0 ,"$3,000 ",$0 ,2010,north 
Glenn,"$4,,000",$0 ,$0 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north 
Tehama,"$50,400 ",$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north 
Tehema-Glenn,"$54,400 ",$0 ,$0 ,"$5,200 ","$14,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north 
Fresno,"$302,622 ",$0 ,$0 ,"$14,000 ","$6,000 ",$0 ,"$2,222 ",$0 ,$500 ,$0 ,$0 ,"$278,200 ","$1,700 ",2010,south
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,south
Fresno-Kings,"$302,622 ",$0 ,$0 ,"$14,000 ","$6,000 ",$0 ,"$2,222 ",$0 ,$500 ,$0 ,$0 ,"$278,200 ","$1,700 ",2010,south
