SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip.  Use,,Ltng.,Misc.,P-W-F,Power -line,,Railroad,Smoking,Undet.,Vehicle,year,region 
Fresno,"$302,622 ",$0 ,$0 ,"$14,000 ","$6,000 ",,$0 ,"$2,222 ",$0 ,$500 ,,$0 ,$0 ,"$278,200 ","$1,700 ",2010,south
Kings,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,2010,south
Fresno-Kings,"$302,622 ",$0 ,$0 ,"$14,000 ","$6,000 ",,$0 ,"$2,222 ",$0 ,$500 ,,$0 ,$0 ,"$278,200 ","$1,700 ",2010,south
Madera,"$5,340 ",$0 ,$0 ,"$2,000 ",$0 ,,$0 ,$500 ,$0 ,$0 ,,$0 ,$0 ,"$2,840 ",$0 ,2010,south
Mariposa,"$20,,296",$0 ,$0 ,"$10,200 ","$5,000 ",,$0 ,"$4,996 ",$0 ,$0 ,,$0 ,$0 ,$100 ,$0 ,2010,south
Merced,"$49,700 ",$0 ,$0 ,$0 ,"$2,700 ",,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,"$47,000 ",$0 ,2010,south
Madera-Mariposa,"$75,336 ",$0 ,$0 ,"$12,200 ","$7,700 ",,$0 ,"$5,496 ",$0 ,$0 ,,$0 ,$0 ,"$49,940 ",$0 ,2010,south
Riverside,"$53,475 ",$0 ,$0 ,$0 ,"$1,000 ",,$0 ,"$35,450 ",$0 ,"$5,025 ",,$0 ,$0 ,"$12,000 ",$0 ,2010,south
Riverside,"$53,475 ",$0 ,$0 ,$0 ,"$1,000 ",,$0 ,"$35,450 ",$0 ,"$5,025 ",,$0 ,$0 ,"$12,000 ",$0 ,2010,south
Monterey,"$27,750 ",$0 ,$0 ,"$2,000 ","$18,200 ",,$0 ,"$7,350 ",$0 ,$0 ,,$0 ,$0 ,$200 ,$0 ,2010,south
San Benito,"$62,015 ","$50,000 ",$0 ,$0 ,$0 ,,$0 ,"$12,000 ",$0 ,$15 ,,$0 ,$0 ,$0 ,$0 ,2010,south
Sa Benito-Monterey,"$89,765 ","$50,000 ",$0 ,"$2,000 ","$18,200 ",,$0 ,"$19,350 ",$0 ,$15 ,,$0 ,$0 ,$200 ,$0 ,2010,south
Inyo,"$7,500 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,"$7,500 ",2010,south
San Bernardino,"$5,800 ",$400 ,$0 ,$0 ,$400 ,,$0 ,$0 ,$0 ,"$1,000 ",,$0 ,$0 ,"$4,000 ",$0 ,2010,south
San Bernardino,"$13,300 ",$400 ,$0 ,$0 ,$400 ,,$0 ,$0 ,$0 ,"$1,000 ",,$0 ,$0 ,"$4,000 ","$7,500 ",2010,south
San Diego,"$35,550 ",$0 ,$0 ,$0 ,"$5,700 ",,$0 ,"$9,300 ",$0 ,$0 ,,$0 ,$0 ,"$10,550 ","$10,000 ",2010,south
San Diego,"$35,550 ",$0 ,$0 ,$0 ,"$5,700 ",,$0 ,"$9,300 ",$0 ,$0 ,,$0 ,$0 ,"$10,550 ","$10,000 ",2010,south
San Luis Obispo,"$54,268 ",$0 ,$0 ,"$1,566 ","$40,900 ",,$0 ,"$3,501 ",$0 ,$0 ,,$0 ,$0 ,$801 ,"$7,500 ",2010,south
San Luis Obispo,"$54,268 ",$0 ,$0 ,"$1,566 ","$40,900 ",,$0 ,"$3,501 ",$0 ,$0 ,,$0 ,$0 ,$801 ,"$7,500 ",2010,south
Tulare,"$57,895 ","$6,100 ",$0 ,$0 ,"$23,090 ",,$620 ,"$28,085 ",$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,2010,south
Tulare,"$57,895 ","$6,100 ",$0 ,$0 ,"$23,090 ",,$620 ,"$28,085 ",$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,2010,south
Calaveras,"$96,763 ","$3,200 ",$200 ,"$1,552 ","$42,865 ",,$800 ,"$1,175 ",$0 ,"$5,800 ",,$0 ,$20 ,"$41,1$51",$0 ,2010,south
E. San Joaquin,"$8,250 ",$0 ,$0 ,$0 ,$0 ,,$0 ,$300 ,$0 ,$250 ,,$0 ,$0 ,$700 ,"$7,000 ",2010,south
E. Stanislaus,"$68,800 ","$19,800 ",$0 ,$0 ,"$1,100 ",,$0 ,$400 ,$0 ,"$45,700 ",,$0 ,$100 ,"$1,500 ",$200 ,2010,south
Tuolumne,"$123,502 ",$0 ,$0 ,$400 ,"$9,450 ",,$0 ,"$16,200 ",$0 ,$500 ,,$0 ,$0 ,"$52,752 ","$44,200 ",2010,south
Tuoumne-Calaveras,"$297,315 ","$23,000 ",$200 ,"$1,952 ","$53,415 ",,$800 ,"$18,075 ",$0 ,"$52,250 ",,$0 ,$120 ,"$96,103 ","$51,400 ",2010,south
