NORTHERN REGION,Total,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,Power-line,P-W-F,Rail-road,Smoking,Undet.,Vehicle,year ,region 
Amador,"$4,200 ",$0 ,$0 ,$200 ,$0 ,$0 ,"$1,000 ",$0 ,$0 ,$0 ,$0 ,"$3,000 ",$0 ,2011,north
El Dorado,"$55,400 ",$0 ,$0 ,"$10,000 ","$3,100 ",$0 ,"$9,700 ","$2,500 ",$0 ,$0 ,$0 ,$100 ,"$30,000 ",2011,north
Sacramento,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
San Joaquin,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Amador-El Dorado,"$59,600 ",$0 ,$0 ,"$10,200 ","$3,100 ",$0 ,"$10,700 ","$2,500 ",$0 ,$0 ,$0 ,"$3,100 ","$30,000 ",2011,north
Butte,"$125,600 ",$0 ,$0 ,"$32,000 ","$46,400 ",$0 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,"$25,200 ","$20,000 ",2011,north
Plumas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Tehama,"$2,500 ",$0 ,$0 ,$0 ,"$2,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Butte,"$128,100 ",$0 ,$0 ,"$32,000 ","$48,900 ",$0 ,"$2,000 ",$0 ,$0 ,$0 ,$0 ,"$25,200 ","$20,000 ",2011,north
Del Norte,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Humboldt,"$133,938 ",$0 ,$0 ,$400 ,"$30,000 ",$0 ,$37 ,"$1,000 ",$0 ,$0 ,"$1,000 ","$100,001 ","$1,500 ",2011,north
Siskiyou,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
W. Trinity,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Humboldt-Del Norte,"$133,938 ",$0 ,$0 ,$400 ,"$30,000 ",$0 ,$37 ,"$1,000 ",$0 ,$0 ,"$1,000 ","$100,001 ","$1,500 ",2011,north
Lassen,"$9,916 ",$100 ,$0 ,"$9,022 ",$300 ,$274 ,$10 ,$10 ,$0 ,$0 ,$0 ,$200 ,$0 ,2011,north
Modoc,"$1,882 ",$0 ,$0 ,$500 ,$200 ,$50 ,$32 ,$0 ,$0 ,$0 ,$0 ,"$1,100 ",$0 ,2011,north
Plumas,$750 ,$0 ,$0 ,$750 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2011,north
Lassen-Modoc,"$12,548 ",$100 ,$0 ,"$10,272 ",$500 ,$324 ,$42 ,$10 ,$0 ,$0 ,$0 ,"$1,300 ",$0 ,2011,north
